시나리오 ID,시나리오 타이틀,상황,시나리오 의도,시나리오 메시지,leaf 좌표,1차 선택,1차 의도,1차 메시지,시간,에너지,위임,도메인,기본점수,추가점수,더 자세히 선택,더 자세히 의도,더 자세히 메시지,검토 선택,검토 의도,검토 학생 나레티브,점수,합산점수,매칭 그룹,직접 매칭 카드,직접 매칭 보너스,직접 매칭 노트,획득 역량카드,EXP 보상,[검수참고] results.text,[검수참고] results.summary,[검수참고] results.lesson,최종점수,최종등급,[검수참고] finals.item,[검수참고] finals.awareness,최종보정점수,최종보정유형,최종보정사유,CUT6 보정 피드백,리플레이 제안,등급컷_95_85_75_60,카드획득여부,인간중심 축,획득 인간중심역량,획득 도메인카드,카드 지급 메모,획득 성장카드,리플레이 카드상태
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A1R1,A. 내 이야기를 먼저 찾아본다,내 자리에서 시작했다 — AI를 쓰더라도 나를 대신 소개하게 하지 않았다.,"완벽하지 않아도 내 단어, 내 기억, 내 초안에서 시작한다.",2,1,++,++,10,25,A1. 나를 떠올리는 단어에서 시작해 직접 글을 쓴다,내가 고른 단어에서 글이 시작됐다 — 자기 안에서 재료를 찾는 것이 자기소개의 출발점이다.,내가 고른 단어를 바탕으로 직접 이어 썼다. 단어마다 뭔가 설명하려는 문장이 있었지만 연결이 어색하거나 설명이 부족한 곳도 있었다.,R1. 그대로 제출,검토를 건너뛰었다 — 내가 하지 않은 말이나 내 말투와 다른 표현을 확인하지 못했다.,직접 고른 단어와 내 말로 이어 쓴 자기소개를 그대로 냈다. 일부 문장이 갑자기 튀거나 왜 그 단어가 나를 보여주는지 이해하기 어려운 부분이 남았다.,10,70,자기성찰,,,,"자기지식, 정리력",26,내가 고른 단어를 바탕으로 직접 이어 썼다. 단어마다 뭔가 설명하려는 문장이 있었지만 연결이 어색하거나 설명이 부족한 곳도 있었다.,내가 고른 단어로 시작한 자기소개,자기 단어에서 글이 시작됐다 — 어색해도 내 재료가 들어간 자리다.,89,A,처음의 나 카드,내가 고른 기억이 글 안에 남았다.,19,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,"좋은 방향의 선택이 많았고, 한두 지점을 더 확인하면 더 단단해질 수 있어요.",다시 해본다면 마지막 확인을 한 단계 더 깊게 해 보세요.,A,Y,중심잡기,주체성,"자기이해, 표현력",최종점수 89점 경로: 인간중심역량 1종과 도메인/성장 2종 지급.,,
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A1R2,A. 내 이야기를 먼저 찾아본다,내 자리에서 시작했다 — AI를 쓰더라도 나를 대신 소개하게 하지 않았다.,"완벽하지 않아도 내 단어, 내 기억, 내 초안에서 시작한다.",5,4,++,++,10,25,A1. 나를 떠올리는 단어에서 시작해 직접 글을 쓴다,내가 고른 단어에서 글이 시작됐다 — 자기 안에서 재료를 찾는 것이 자기소개의 출발점이다.,내가 고른 단어를 바탕으로 직접 이어 썼다. 단어마다 뭔가 설명하려는 문장이 있었지만 연결이 어색하거나 설명이 부족한 곳도 있었다.,R2. 한 번 읽고 이상한 곳만 표시,내가 하지 않은 말이나 내 말투와 다른 표현을 표시했다.,"단어마다 짧은 설명을 덧붙이고 문장 흐름을 다시 봤다. 내가 고른 단어와 설명이 더 잘 이어져, 내가 어떤 사람인지 조금 더 또렷하게 보이는 자기소개가 됐다.",18,78,자기성찰,,,,"자기지식, 정리력, 검수능력",30,내가 고른 단어를 바탕으로 직접 이어 썼다. 단어마다 뭔가 설명하려는 문장이 있었지만 연결이 어색하거나 설명이 부족한 곳도 있었다.,내가 고른 단어로 시작한 자기소개,자기 단어에서 글이 시작됐다 — 어색해도 내 재료가 들어간 자리다.,95,S,처음의 나 카드,조금 고치니 내 말이 더 또렷해졌다.,17,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,자기 기준을 세우고 마지막 확인까지 해낸 선택이라 결과의 완성도가 높아요.,다시 해본다면 같은 주제를 다른 방식으로 풀어 보며 선택의 차이를 비교해 보세요.,S,Y,중심잡기,주체성,"자기이해, 표현력, 검토력",최종점수 95점 경로: 인간중심역량 1종과 도메인/성장 3종 지급.,,
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A1R3,A. 내 이야기를 먼저 찾아본다,내 자리에서 시작했다 — AI를 쓰더라도 나를 대신 소개하게 하지 않았다.,"완벽하지 않아도 내 단어, 내 기억, 내 초안에서 시작한다.",15,11,++,++,10,25,A1. 나를 떠올리는 단어에서 시작해 직접 글을 쓴다,내가 고른 단어에서 글이 시작됐다 — 자기 안에서 재료를 찾는 것이 자기소개의 출발점이다.,내가 고른 단어를 바탕으로 직접 이어 썼다. 단어마다 뭔가 설명하려는 문장이 있었지만 연결이 어색하거나 설명이 부족한 곳도 있었다.,R3. 처음부터 다시 읽고 내 얘기인지 확인,처음부터 다시 읽으며 정말 내 이야기인지 확인했다.,AI에게 읽고 궁금한 점을 물어보게 한 뒤 내가 답할 수 있는 내용만 보충했다. 독자가 궁금해할 부분을 발견하고 실제로 답할 수 있는 내용만 골라 채운 자기소개가 됐다.,30,90,자기성찰,자기지식,5,자기 경험을 직접 고르고 끝까지 확인하는 자리 — 자기지식 카드와 강한 매칭,"자기지식, 정리력, 표현력, 자기검증",30,내가 고른 단어를 바탕으로 직접 이어 썼다. 단어마다 뭔가 설명하려는 문장이 있었지만 연결이 어색하거나 설명이 부족한 곳도 있었다.,내가 고른 단어로 시작한 자기소개,자기 단어에서 글이 시작됐다 — 어색해도 내 재료가 들어간 자리다.,98,S,내 말 카드,내가 직접 고른 말이라 게시판에 붙어도 괜찮았다.,8,합산 유지 또는 미세 조정,단계별 선택의 의미가 최종 결과에 거의 그대로 반영된 경로.,자기 기준을 세우고 마지막 확인까지 해낸 선택이라 결과의 완성도가 높아요.,다시 해본다면 같은 주제를 다른 방식으로 풀어 보며 선택의 차이를 비교해 보세요.,S,Y,중심잡기,주체성,"자기이해, 표현력, 검토력",최종점수 98점 경로: 인간중심역량 1종과 도메인/성장 3종 지급.,,
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A2R1,A. 내 이야기를 먼저 찾아본다,내 자리에서 시작했다 — AI를 쓰더라도 나를 대신 소개하게 하지 않았다.,"완벽하지 않아도 내 단어, 내 기억, 내 초안에서 시작한다.",2,1,+,+,10,12,A2. 나를 소개할 만한 일을 떠올려 짧은 이야기로 쓴다,실제로 겪은 일에서 글이 나왔다 — 경험이 자기소개의 근거가 된다.,실제로 겪은 일을 짧게 적은 이야기형 초안이 만들어졌다. 사건은 보이지만 그 일이 왜 나를 보여주는지는 아직 분명하지 않았다.,R1. 그대로 제출,검토를 건너뛰었다 — 내가 하지 않은 말이나 내 말투와 다른 표현을 확인하지 못했다.,실제로 겪은 일을 짧게 적은 이야기를 그대로 냈다. 경험은 들어 있지만 읽는 사람이 그 경험에서 내 특징을 스스로 짐작해야 하는 자기소개가 됐다.,10,57,자기성찰 / 표현·소통,,,,"자기지식, 표현력",16,실제로 겪은 일을 짧게 적은 이야기형 초안이 만들어졌다. 사건은 보이지만 그 일이 왜 나를 보여주는지는 아직 분명하지 않았다.,실제 경험이 들어간 자기소개,경험이 들어오면 자기소개에 무게가 생긴다 — 왜 그 경험인지가 연결될 때 글이 완성된다.,70,C,다듬은 자기소개 카드,내 말투는 그대로고 표현 두 군데가 매끄러워졌다.,13,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,출발은 했지만 중요한 확인 과정이 일부 비어 있어요. 다음에는 내가 책임질 수 있는 근거를 더 남겨 보세요.,다시 해본다면 그대로 진행하기 전에 이상한 부분을 표시하거나 처음부터 다시 확인해 보세요.,C,Y,중심잡기,주체성,"자기이해, 표현력",최종점수 70점 경로: 인간중심역량 1종과 도메인/성장 2종 지급.,,
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A2R2,A. 내 이야기를 먼저 찾아본다,내 자리에서 시작했다 — AI를 쓰더라도 나를 대신 소개하게 하지 않았다.,"완벽하지 않아도 내 단어, 내 기억, 내 초안에서 시작한다.",5,4,+,+,10,12,A2. 나를 소개할 만한 일을 떠올려 짧은 이야기로 쓴다,실제로 겪은 일에서 글이 나왔다 — 경험이 자기소개의 근거가 된다.,실제로 겪은 일을 짧게 적은 이야기형 초안이 만들어졌다. 사건은 보이지만 그 일이 왜 나를 보여주는지는 아직 분명하지 않았다.,R2. 한 번 읽고 이상한 곳만 표시,내가 하지 않은 말이나 내 말투와 다른 표현을 표시했다.,이 일이 왜 나를 보여주는지 한 문장을 덧붙였다. 경험과 내 특징이 연결되어 친구들이 나를 조금 더 이해하기 쉬운 자기소개가 됐다.,18,65,자기성찰 / 표현·소통,,,,"자기지식, 표현력, 검수능력",22,실제로 겪은 일을 짧게 적은 이야기형 초안이 만들어졌다. 사건은 보이지만 그 일이 왜 나를 보여주는지는 아직 분명하지 않았다.,실제 경험이 들어간 자기소개,경험이 들어오면 자기소개에 무게가 생긴다 — 왜 그 경험인지가 연결될 때 글이 완성된다.,75,B,AI 표현 검수 카드,AI가 다듬은 표현 중 내 말투에 맞는 것만 남겼다.,10,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,"핵심 방향은 잡았지만, 검토나 자기 기준을 더 분명히 하면 결과가 더 좋아질 수 있어요.",다시 해본다면 내가 직접 확인한 근거를 하나 더 넣어 보세요.,B,Y,중심잡기,주체성,"자기이해, 표현력",최종점수 75점 경로: 인간중심역량 1종과 도메인/성장 2종 지급.,,
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A2R3,A. 내 이야기를 먼저 찾아본다,내 자리에서 시작했다 — AI를 쓰더라도 나를 대신 소개하게 하지 않았다.,"완벽하지 않아도 내 단어, 내 기억, 내 초안에서 시작한다.",15,11,+,++,10,12,A2. 나를 소개할 만한 일을 떠올려 짧은 이야기로 쓴다,실제로 겪은 일에서 글이 나왔다 — 경험이 자기소개의 근거가 된다.,실제로 겪은 일을 짧게 적은 이야기형 초안이 만들어졌다. 사건은 보이지만 그 일이 왜 나를 보여주는지는 아직 분명하지 않았다.,R3. 처음부터 다시 읽고 내 얘기인지 확인,처음부터 다시 읽으며 정말 내 이야기인지 확인했다.,"AI에게 이야기를 읽고 떠오르는 내 특징을 물어본 뒤 맞는 것만 골랐다. AI가 제안한 특징 중 실제 나와 맞는 것만 골라, 경험과 성격이 연결된 자기소개가 됐다.",30,77,자기성찰 / 표현·소통,,,,"자기지식, 표현력, 검수능력, 자기검증",22,실제로 겪은 일을 짧게 적은 이야기형 초안이 만들어졌다. 사건은 보이지만 그 일이 왜 나를 보여주는지는 아직 분명하지 않았다.,실제 경험이 들어간 자기소개,경험이 들어오면 자기소개에 무게가 생긴다 — 왜 그 경험인지가 연결될 때 글이 완성된다.,81,B,함께 다듬은 카드,"AI는 표현을 밀어 줬고, 내용은 내가 붙잡았다.",4,합산 유지 또는 미세 조정,단계별 선택의 의미가 최종 결과에 거의 그대로 반영된 경로.,"핵심 방향은 잡았지만, 검토나 자기 기준을 더 분명히 하면 결과가 더 좋아질 수 있어요.",다시 해본다면 내가 직접 확인한 근거를 하나 더 넣어 보세요.,B,Y,중심잡기,주체성,"자기이해, 표현력",최종점수 81점 경로: 인간중심역량 1종과 도메인/성장 2종 지급.,,
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A3R1,A. 내 이야기를 먼저 찾아본다,내 자리에서 시작했다 — AI를 쓰더라도 나를 대신 소개하게 하지 않았다.,"완벽하지 않아도 내 단어, 내 기억, 내 초안에서 시작한다.",2,1,0,0,10,0,A3. 서툴어도 일단 초안을 쓴 뒤 필요한 도움만 받는다,짧고 서툴어도 내가 먼저 썼다 — 내 말투는 살아 있지만 더 다듬을 여지가 남는다.,짧고 서툴지만 내가 직접 쓴 초안이 만들어졌다. 내 말투는 살아 있었지만 내용이 부족하거나 반복되는 부분이 있었다.,R1. 그대로 제출,검토를 건너뛰었다 — 내가 하지 않은 말이나 내 말투와 다른 표현을 확인하지 못했다.,짧고 어색해도 그대로 냈다. 내 말투는 살아 있지만 친구들이 나를 알기에는 정보가 부족하거나 정리가 덜 된 자기소개가 됐다.,10,45,자기성찰,,,,자기지식,8,짧고 서툴지만 내가 직접 쓴 초안이 만들어졌다. 내 말투는 살아 있었지만 내용이 부족하거나 반복되는 부분이 있었다.,내 말투가 살아 있는 초안,"서툴어도 먼저 썼다 — 내 말투는 살아 있고, 더 다듬을 자리도 보인다.",48,D,흩어진 자기소개,내 생각은 있었지만 한곳에 모이지 않았다.,3,합산 유지 또는 미세 조정,단계별 선택의 의미가 최종 결과에 거의 그대로 반영된 경로.,이번 결과는 부족했던 과정을 알아차리는 출발점이에요. 다시 시도하며 내 기준과 확인 과정을 세워 볼 수 있어요.,다시 해본다면 빠른 결과보다 내가 직접 확인할 수 있는 자료나 경험에서 시작해 보세요.,D,Y,,,,"D 경로: 회복력 지급. 결과 화면에서 다시 도전해 볼지 묻고, 리플레이 선택 시 도전력 후보로 표시.",회복력,도전력 후보
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A3R2,A. 내 이야기를 먼저 찾아본다,내 자리에서 시작했다 — AI를 쓰더라도 나를 대신 소개하게 하지 않았다.,"완벽하지 않아도 내 단어, 내 기억, 내 초안에서 시작한다.",3,3,0,0,10,0,A3. 서툴어도 일단 초안을 쓴 뒤 필요한 도움만 받는다,짧고 서툴어도 내가 먼저 썼다 — 내 말투는 살아 있지만 더 다듬을 여지가 남는다.,짧고 서툴지만 내가 직접 쓴 초안이 만들어졌다. 내 말투는 살아 있었지만 내용이 부족하거나 반복되는 부분이 있었다.,R2. 한 번 읽고 이상한 곳만 표시,내가 하지 않은 말이나 내 말투와 다른 표현을 표시했다.,"다시 읽어보고 빠진 내용을 추가하거나 반복을 줄였다. 처음보다 구체적인 내용이 들어가고 어색한 부분이 줄어, 서툴지만 나를 보여주는 힘이 커진 자기소개가 됐다.",18,53,자기성찰,,,,"자기지식, 정리력",16,짧고 서툴지만 내가 직접 쓴 초안이 만들어졌다. 내 말투는 살아 있었지만 내용이 부족하거나 반복되는 부분이 있었다.,내 말투가 살아 있는 초안,"서툴어도 먼저 썼다 — 내 말투는 살아 있고, 더 다듬을 자리도 보인다.",65,C,다시 묶은 카드,읽어 보니 어디가 이상한지 조금 보였다.,12,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,출발은 했지만 중요한 확인 과정이 일부 비어 있어요. 다음에는 내가 책임질 수 있는 근거를 더 남겨 보세요.,다시 해본다면 그대로 진행하기 전에 이상한 부분을 표시하거나 처음부터 다시 확인해 보세요.,C,Y,성찰하기,성찰적 사고,"표현력, 자기이해",최종점수 65점 경로: 인간중심역량 1종과 도메인/성장 2종 지급.,,
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A3R3,A. 내 이야기를 먼저 찾아본다,내 자리에서 시작했다 — AI를 쓰더라도 나를 대신 소개하게 하지 않았다.,"완벽하지 않아도 내 단어, 내 기억, 내 초안에서 시작한다.",13,10,0,+,10,0,A3. 서툴어도 일단 초안을 쓴 뒤 필요한 도움만 받는다,짧고 서툴어도 내가 먼저 썼다 — 내 말투는 살아 있지만 더 다듬을 여지가 남는다.,짧고 서툴지만 내가 직접 쓴 초안이 만들어졌다. 내 말투는 살아 있었지만 내용이 부족하거나 반복되는 부분이 있었다.,R3. 처음부터 다시 읽고 내 얘기인지 확인,처음부터 다시 읽으며 정말 내 이야기인지 확인했다.,AI에게 추가하거나 줄이면 좋을 곳을 표시하게 한 뒤 내가 고른 부분만 고쳤다. AI의 제안을 모두 따르지 않고 내게 맞는 내용만 골라 보충하거나 줄인 자기소개가 됐다.,30,65,자기성찰,자기성찰,5,흩어진 생각을 다시 묶어 보는 자리 — 자기성찰 카드와 강한 매칭,"자기지식, 정리력, 자기성찰, 검수능력",22,짧고 서툴지만 내가 직접 쓴 초안이 만들어졌다. 내 말투는 살아 있었지만 내용이 부족하거나 반복되는 부분이 있었다.,내 말투가 살아 있는 초안,"서툴어도 먼저 썼다 — 내 말투는 살아 있고, 더 다듬을 자리도 보인다.",75,B,고쳐 잡은 나 카드,흩어진 말 중에서 진짜 쓰고 싶은 말을 골랐다.,10,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,"핵심 방향은 잡았지만, 검토나 자기 기준을 더 분명히 하면 결과가 더 좋아질 수 있어요.",다시 해본다면 내가 직접 확인한 근거를 하나 더 넣어 보세요.,B,Y,성찰하기,성찰적 사고,"표현력, 자기이해",최종점수 75점 경로: 인간중심역량 1종과 도메인/성장 2종 지급.,,
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,B1R1,B. AI에게 시작을 도움받는다,AI로 시작을 열었다 — 내가 질문에 답하고 내 경험을 넣지 않으면 글이 일반적으로 흐를 수 있다.,"AI를 질문자, 구조 제공자, 초안 제공자로 쓰면서 시작을 도움받는다.",2,1,--,--,10,0,B1. AI에게 자기소개 질문을 받고 답해 글을 만든다,AI 질문에 답하며 글이 시작됐다 — 답이 짧거나 경험이 없으면 글이 일반적으로 흐를 수 있다.,AI가 준 질문에 답한 내용을 바탕으로 자기소개 초안이 만들어졌다. 시작은 쉬웠지만 답이 짧거나 경험이 빠진 자리가 있었다.,R1. 그대로 제출,검토를 건너뛰었다 — 내가 하지 않은 말이나 내 말투와 다른 표현을 확인하지 못했다.,AI가 준 질문에 답한 내용을 그대로 냈다. 질문에 답한 내용은 들어 있지만 왜 그렇게 생각하는지나 실제 경험은 부족한 자기소개가 됐다.,10,30,인식·해석,,,,,8,AI가 준 질문에 답한 내용을 바탕으로 자기소개 초안이 만들어졌다. 시작은 쉬웠지만 답이 짧거나 경험이 빠진 자리가 있었다.,AI 질문에서 시작한 자기소개,AI 질문이 시작을 도왔다 — 내 이유와 경험이 들어가야 내 자기소개가 된다.,15,D,,내가 안 적은 자기소개에는 내가 거의 없었다.,-15,근거/검토 부족 페널티,"검토, 근거 확인, 자기 기준 형성이 부족한 경로.",이번 결과는 부족했던 과정을 알아차리는 출발점이에요. 다시 시도하며 내 기준과 확인 과정을 세워 볼 수 있어요.,다시 해본다면 빠른 결과보다 내가 직접 확인할 수 있는 자료나 경험에서 시작해 보세요.,D,Y,,,,"D 경로: 회복력 지급. 결과 화면에서 다시 도전해 볼지 묻고, 리플레이 선택 시 도전력 후보로 표시.",회복력,도전력 후보
