scenario_id,leaf,tier1,tier2,review,reviewSupplement,reviewLabel,resourceCost_time,resourceCost_energy,expReward,competencyCards,axisDelta_requireCard,axisDelta_bonusPoint,axisDelta_note,finals_score,finals_grade,finals_item,finals_delegation,finals_knowledge,finals_awareness,finals_cut6Feedback,finals_replaySuggestion,finals_cardEarned,finals_humanCentricAxis,finals_humanCentricTag,finals_domainCards,finals_growthCard,finals_replayCardStatus,finals_expReward,finals_shortFeedback,finals_reportFeedback,finals_earnedCards,finals_adjustedScore,finals_adjustedType,finals_adjustedReason,finals_reportPathSummary,finals_cartoonCaption1,finals_cartoonCaption2,finals_cartoonCaption3,finals_cartoonCaption4,finals_cartoonCaption5,finals_reportReflection,finals_reportCardSummary,finals_reportStrengthTags,finals_reportGrowthTags
selfintro,A1R1,A,A1,R1,직접 고른 단어와 내 말로 이어 쓴 자기소개를 그대로 냈다. 일부 문장이 갑자기 튀거나 왜 그 단어가 나를 보여주는지 이해하기 어려운 부분이 남았다.,다 썼으니 그대로 제출한다,19,16,25,자기지식;정리력,,,,86,A,처음의 나 카드,++,++,내가 고른 단어에서 출발해 글 안에 내 기억이 남았어요. 다만 바로 넘겨 어색한 연결은 확인하지 못했어요.,"좋은 방향의 선택이 많았고, 한두 지점을 더 확인하면 더 단단해질 수 있어요.",다시 해본다면 마지막 확인을 한 단계 더 깊게 해 보세요.,true,중심잡기,주체성,자기이해;표현력,,,26,내가 고른 단어에서 출발해 글 안에 내 기억이 남았어요.,내가 고른 단어에서 출발해 글 안에 내 기억이 남았어요. 다만 바로 넘겨 어색한 연결은 확인하지 못했어요.,"자기이해, 표현력",19,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,내 이야기 찾기 → 내 단어로 쓰기 → 그대로 진행하기,자기소개를 써야 하는 상황이 생겼다.,AI보다 먼저 내 이야기를 떠올렸다.,내가 고른 단어에서 글을 시작했다.,내가 고른 단어로 시작한 자기소개,그대로 내며 마지막 확인을 건너뛰었다.,내 말에서 시작했더라도 마지막 확인이 부족하면 소개의 힘이 약해진다.,[중심잡기] 주체성 · 자기이해 · 표현력,"주체성;자기이해, 표현력",검토 필요
selfintro,A1R2,A,A1,R2,"단어마다 짧은 설명을 덧붙이고 문장 흐름을 다시 봤다. 내가 고른 단어와 설명이 더 잘 이어져, 내가 어떤 사람인지 조금 더 또렷하게 보이는 자기소개가 됐다.",단어마다 짧은 설명을 덧붙이고 문장 흐름을 다시 본다,22,19,27,자기지식;정리력;검수능력,,,,91,A,처음의 나 카드,++,++,내가 고른 단어와 설명이 어색하게 이어진 곳을 고쳤어요. 내 말은 살아 있고 글의 흐름도 조금 더 자연스러워졌어요.,자기 기준을 세우고 마지막 확인까지 해낸 선택이라 결과의 완성도가 높아요.,다시 해본다면 같은 주제를 다른 방식으로 풀어 보며 선택의 차이를 비교해 보세요.,true,중심잡기,주체성,자기이해;표현력;검토력,,,30,내가 고른 단어와 설명이 어색하게 이어진 곳을 고쳤어요.,내가 고른 단어와 설명이 어색하게 이어진 곳을 고쳤어요. 내 말은 살아 있고 글의 흐름도 조금 더 자연스러워졌어요.,"자기이해, 표현력, 검토력",17,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,내 이야기 찾기 → 내 단어로 쓰기 → 한 번 확인하기,자기소개를 써야 하는 상황이 생겼다.,AI보다 먼저 내 이야기를 떠올렸다.,내가 고른 단어에서 글을 시작했다.,내가 고른 단어로 시작한 자기소개,이상한 표현과 흐름을 한 번 확인했다.,"내 이야기를 먼저 세우고, 마지막에 책임질 수 있는 말만 남겼다.",[중심잡기] 주체성 · 자기이해 · 표현력 · 검토력,"주체성;자기이해, 표현력, 검토력",확장 가능
selfintro,A1R3,A,A1,R3,AI에게 읽고 궁금한 점을 물어보게 한 뒤 내가 답할 수 있는 내용만 보충했다. 독자가 궁금해할 부분을 발견하고 실제로 답할 수 있는 내용만 골라 채운 자기소개가 됐다.,AI에게 읽고 궁금한 점을 물어보게 한 뒤 내가 답할 수 있는 내용만 보충한다,27,23,30,자기지식;정리력;표현력;자기검증,자기지식,5,자기 경험을 직접 고르고 끝까지 확인하는 자리 — 자기지식 카드와 강한 매칭,97,S,내 말 카드,++,++,처음부터 다시 읽으며 정말 내 이야기인지 확인했어요. 친구가 물어봐도 내가 설명할 수 있는 자기소개가 됐어요.,자기 기준을 세우고 마지막 확인까지 해낸 선택이라 결과의 완성도가 높아요.,다시 해본다면 같은 주제를 다른 방식으로 풀어 보며 선택의 차이를 비교해 보세요.,true,중심잡기,주체성,자기이해;표현력;검토력,,,30,처음부터 다시 읽으며 정말 내 이야기인지 확인했어요.,처음부터 다시 읽으며 정말 내 이야기인지 확인했어요. 친구가 물어봐도 내가 설명할 수 있는 자기소개가 됐어요.,"자기이해, 표현력, 검토력",8,합산 유지 또는 미세 조정,단계별 선택의 의미가 최종 결과에 거의 그대로 반영된 경로.,내 이야기 찾기 → 내 단어로 쓰기 → 깊게 확인하기,자기소개를 써야 하는 상황이 생겼다.,AI보다 먼저 내 이야기를 떠올렸다.,내가 고른 단어에서 글을 시작했다.,내가 고른 단어로 시작한 자기소개,다시 읽으며 내가 답할 수 있는 내용만 남겼다.,"내 이야기를 먼저 세우고, 마지막에 책임질 수 있는 말만 남겼다.",[중심잡기] 주체성 · 자기이해 · 표현력 · 검토력,"주체성;자기이해, 표현력, 검토력",확장 가능
selfintro,A2R1,A,A2,R1,실제로 겪은 일을 짧게 적은 이야기를 그대로 냈다. 경험은 들어 있지만 읽는 사람이 그 경험에서 내 특징을 스스로 짐작해야 하는 자기소개가 됐다.,이야기만 그대로 제출한다,18,15,18,자기지식;표현력,,,,78,B,다듬은 자기소개 카드,+,++,실제로 겪은 일이 들어가 글의 재료는 단단했어요. 다만 바로 넘겨 그 일이 왜 나를 보여주는지는 흐릿하게 남았어요.,출발은 했지만 중요한 확인 과정이 일부 비어 있어요. 다음에는 내가 책임질 수 있는 근거를 더 남겨 보세요.,다시 해본다면 그대로 진행하기 전에 이상한 부분을 표시하거나 처음부터 다시 확인해 보세요.,true,중심잡기,주체성,자기이해;표현력,,,16,실제로 겪은 일이 들어가 글의 재료는 단단했어요.,실제로 겪은 일이 들어가 글의 재료는 단단했어요. 다만 바로 넘겨 그 일이 왜 나를 보여주는지는 흐릿하게 남았어요.,"자기이해, 표현력",13,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,내 이야기 찾기 → 내 경험으로 쓰기 → 그대로 진행하기,자기소개를 써야 하는 상황이 생겼다.,AI보다 먼저 내 이야기를 떠올렸다.,내 경험을 짧은 이야기로 옮겼다.,실제 경험이 들어간 자기소개,그대로 내며 마지막 확인을 건너뛰었다.,내 말에서 시작했더라도 마지막 확인이 부족하면 소개의 힘이 약해진다.,[중심잡기] 주체성 · 자기이해 · 표현력,"주체성;자기이해, 표현력",검토 필요
selfintro,A2R2,A,A2,R2,이 일이 왜 나를 보여주는지 한 문장을 덧붙였다. 경험과 내 특징이 연결되어 친구들이 나를 조금 더 이해하기 쉬운 자기소개가 됐다.,이 일이 왜 나를 보여주는지 한 문장 덧붙인다,21,18,20,자기지식;표현력;검수능력,,,,86,A,AI 표현 검수 카드,+,++,경험 뒤에 이유를 붙이니 친구들이 나를 조금 더 이해하기 쉬워졌어요. 아직 한두 문장은 더 또렷하게 만들 수 있어요.,경험과 이유를 연결해 자기소개의 힘이 살아났어요. 한 단계 더 확인하면 더 단단해질 수 있어요.,다시 해본다면 내가 직접 확인한 근거를 하나 더 넣어 보세요.,true,중심잡기,주체성,자기이해;표현력;검토력,,,22,경험 뒤에 이유를 붙이니 친구들이 나를 조금 더 이해하기 쉬워졌어요.,경험 뒤에 이유를 붙이니 친구들이 나를 조금 더 이해하기 쉬워졌어요. 아직 한두 문장은 더 또렷하게 만들 수 있어요.,"자기이해, 표현력, 검토력",10,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,내 이야기 찾기 → 내 경험으로 쓰기 → 한 번 확인하기,자기소개를 써야 하는 상황이 생겼다.,AI보다 먼저 내 이야기를 떠올렸다.,내 경험을 짧은 이야기로 옮겼다.,실제 경험이 들어간 자기소개,이상한 표현과 흐름을 한 번 확인했다.,"내 경험은 들어갔지만, 왜 그것이 나를 보여주는지 더 분명히 할 필요가 있다.",[중심잡기] 주체성 · 자기이해 · 표현력,"주체성;자기이해, 표현력",확장 가능
selfintro,A2R3,A,A2,R3,"AI에게 이야기를 읽고 떠오르는 내 특징을 물어본 뒤 맞는 것만 골랐다. AI가 제안한 특징 중 실제 나와 맞는 것만 골라, 경험과 성격이 연결된 자기소개가 됐다.",AI에게 이 이야기를 읽고 떠오르는 내 특징을 물어본 뒤 맞는 것만 고른다,26,22,23,자기지식;표현력;검수능력;자기검증,,,,92,A,함께 다듬은 카드,+,++,경험과 내 특징이 이어지는지 처음부터 다시 확인했어요. 사건을 나열한 글에서 나를 설명하는 글로 가까워졌어요.,경험을 고르고 다시 확인해 자기소개의 근거가 분명해졌어요.,다시 해본다면 내가 직접 확인한 근거를 하나 더 넣어 보세요.,true,중심잡기,주체성,자기이해;표현력;검토력,,,22,경험과 내 특징이 이어지는지 처음부터 다시 확인했어요.,경험과 내 특징이 이어지는지 처음부터 다시 확인했어요. 사건을 나열한 글에서 나를 설명하는 글로 가까워졌어요.,"자기이해, 표현력, 검토력",4,합산 유지 또는 미세 조정,단계별 선택의 의미가 최종 결과에 거의 그대로 반영된 경로.,내 이야기 찾기 → 내 경험으로 쓰기 → 깊게 확인하기,자기소개를 써야 하는 상황이 생겼다.,AI보다 먼저 내 이야기를 떠올렸다.,내 경험을 짧은 이야기로 옮겼다.,실제 경험이 들어간 자기소개,다시 읽으며 내가 답할 수 있는 내용만 남겼다.,"내 경험은 들어갔지만, 왜 그것이 나를 보여주는지 더 분명히 할 필요가 있다.",[중심잡기] 주체성 · 자기이해 · 표현력,"주체성;자기이해, 표현력",확장 가능
selfintro,A3R1,A,A3,R1,짧고 어색해도 그대로 냈다. 내 말투는 살아 있지만 친구들이 나를 알기에는 정보가 부족하거나 정리가 덜 된 자기소개가 됐다.,짧거나 어색해도 그대로 제출한다,15,12,12,자기지식,,,,62,C,흩어진 자기소개,+,+,서툴어도 내 초안에서 시작한 점은 좋았어요. 하지만 바로 넘겨 생각이 흩어진 부분과 부족한 설명이 그대로 남았어요.,이번 결과는 부족했던 과정을 알아차리는 출발점이에요. 다시 시도하며 내 기준과 확인 과정을 세워 볼 수 있어요.,다시 해본다면 빠른 결과보다 내가 직접 확인할 수 있는 자료나 경험에서 시작해 보세요.,true,,,자기이해,회복력,도전력 후보,8,서툴어도 내 초안에서 시작한 점은 좋았어요.,서툴어도 내 초안에서 시작한 점은 좋았어요. 하지만 바로 넘겨 생각이 흩어진 부분과 부족한 설명이 그대로 남았어요.,자기이해,3,합산 유지 또는 미세 조정,단계별 선택의 의미가 최종 결과에 거의 그대로 반영된 경로.,내 이야기 찾기 → 먼저 초안 쓰기 → 그대로 진행하기,자기소개를 써야 하는 상황이 생겼다.,AI보다 먼저 내 이야기를 떠올렸다.,서툴어도 먼저 내 초안을 만들었다.,내 말투가 살아 있는 초안,그대로 내며 마지막 확인을 건너뛰었다.,내 말에서 시작했더라도 마지막 확인이 부족하면 소개의 힘이 약해진다.,회복력,,검토 필요
selfintro,A3R2,A,A3,R2,"다시 읽어보고 빠진 내용을 추가하거나 반복을 줄였다. 처음보다 구체적인 내용이 들어가고 어색한 부분이 줄어, 서툴지만 나를 보여주는 힘이 커진 자기소개가 됐다.",다시 읽어보고 빠진 내용을 추가하거나 반복을 줄인다,18,15,14,자기지식;정리력,,,,76,B,다시 묶은 카드,+,+,다시 읽으며 빠진 내용과 반복되는 표현을 조금 줄였어요. 서툴지만 나를 보여주는 힘이 전보다 커졌어요.,출발은 했지만 중요한 확인 과정이 일부 비어 있어요. 다음에는 내가 책임질 수 있는 근거를 더 남겨 보세요.,다시 해본다면 그대로 진행하기 전에 이상한 부분을 표시하거나 처음부터 다시 확인해 보세요.,true,성찰하기,성찰적 사고,자기이해;표현력,,,16,다시 읽으며 빠진 내용과 반복되는 표현을 조금 줄였어요.,다시 읽으며 빠진 내용과 반복되는 표현을 조금 줄였어요. 서툴지만 나를 보여주는 힘이 전보다 커졌어요.,"자기이해, 표현력",12,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,내 이야기 찾기 → 먼저 초안 쓰기 → 한 번 확인하기,자기소개를 써야 하는 상황이 생겼다.,AI보다 먼저 내 이야기를 떠올렸다.,서툴어도 먼저 내 초안을 만들었다.,내 말투가 살아 있는 초안,이상한 표현과 흐름을 한 번 확인했다.,"내 경험은 들어갔지만, 왜 그것이 나를 보여주는지 더 분명히 할 필요가 있다.",[성찰하기] 성찰적 사고 · 표현력 · 자기이해,"성찰적 사고;표현력, 자기이해",직접 근거 보강
selfintro,A3R3,A,A3,R3,AI에게 추가하거나 줄이면 좋을 곳을 표시하게 한 뒤 내가 고른 부분만 고쳤다. AI의 제안을 모두 따르지 않고 내게 맞는 내용만 골라 보충하거나 줄인 자기소개가 됐다.,AI에게 추가하거나 줄이면 좋을 곳을 표시하게 한 뒤 내가 고른 부분만 고친다,23,19,17,자기지식;정리력;자기성찰;검수능력,자기성찰,5,흩어진 생각을 다시 묶어 보는 자리 — 자기성찰 카드와 강한 매칭,85,A,고쳐 잡은 나 카드,+,+,부족한 초안을 끝까지 다시 보며 진짜 쓰고 싶은 말을 골랐어요. 완벽하진 않아도 내 기준으로 고친 글이 됐어요.,"좋은 방향의 선택이 많았고, 한두 지점을 더 확인하면 더 단단해질 수 있어요.",다시 해본다면 내가 직접 확인한 근거를 하나 더 넣어 보세요.,true,성찰하기,성찰적 사고,자기이해;표현력;검토력,,,22,부족한 초안을 끝까지 다시 보며 진짜 쓰고 싶은 말을 골랐어요.,부족한 초안을 끝까지 다시 보며 진짜 쓰고 싶은 말을 골랐어요. 완벽하진 않아도 내 기준으로 고친 글이 됐어요.,"자기이해, 표현력, 검토력",10,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,내 이야기 찾기 → 먼저 초안 쓰기 → 깊게 확인하기,자기소개를 써야 하는 상황이 생겼다.,AI보다 먼저 내 이야기를 떠올렸다.,서툴어도 먼저 내 초안을 만들었다.,내 말투가 살아 있는 초안,다시 읽으며 내가 답할 수 있는 내용만 남겼다.,"내 경험은 들어갔지만, 왜 그것이 나를 보여주는지 더 분명히 할 필요가 있다.",[성찰하기] 성찰적 사고 · 표현력 · 자기이해,"성찰적 사고;표현력, 자기이해",확장 가능
selfintro,B1R1,B,B1,R1,AI가 준 질문에 답한 내용을 그대로 냈다. 질문에 답한 내용은 들어 있지만 왜 그렇게 생각하는지나 실제 경험은 부족한 자기소개가 됐다.,답한 내용을 그대로 제출한다,9,7,8,,,,,28,D,,+,0,"AI 질문에 답하긴 했지만 바로 넘겨, 내 경험보다 AI가 채운 말이 더 크게 보였어요.",이번 결과는 부족했던 과정을 알아차리는 출발점이에요. 다시 시도하며 내 기준과 확인 과정을 세워 볼 수 있어요.,다시 해본다면 빠른 결과보다 내가 직접 확인할 수 있는 자료나 경험에서 시작해 보세요.,true,,,,회복력,도전력 후보,8,"AI 질문에 답하긴 했지만 바로 넘겨, 내 경험보다 AI가 채운 말이 더 크게 보였어요.","AI 질문에 답하긴 했지만 바로 넘겨, 내 경험보다 AI가 채운 말이 더 크게 보였어요.",,-15,근거/검토 부족 페널티,"검토, 근거 확인, 자기 기준 형성이 부족한 경로.",AI로 시작 열기 → AI 질문에 답하기 → 그대로 진행하기,자기소개를 써야 하는 상황이 생겼다.,AI의 도움으로 글의 시작을 열었다.,AI 질문에 답하며 글감을 만들었다.,AI 질문에서 시작한 자기소개,그대로 내며 마지막 확인을 건너뛰었다.,내 말에서 시작했더라도 마지막 확인이 부족하면 소개의 힘이 약해진다.,회복력,,검토 필요
