scenarioId,scenario_title,category,categoryName,learningMessage,domainLabel,aiSuitability,timeBudgetSec,situation,leaf,tier1_id,tier1_label,tier2_id,tier2_label,review_id,review_label,tier1_time,tier1_energy,tier2_time,tier2_energy,review_time,review_energy,total_time,total_energy,tier1_points,tier2_points,review_points,finalScore,grade,expReward,competencyCards,humanCentricAxis,humanCentricTag,domainCards,growthCard,tier1_desc,tier1_lesson,tier2_desc,tier2_lesson,review_desc,review_lesson,result_text,result_summary,awareness,shortFeedback,cut6Feedback,reviewSupplement,reportReflection,reportPathSummary,reportFeedback,replaySuggestion,cartoonCaption1,cartoonCaption2,cartoonCaption3,cartoonCaption4,cartoonCaption5
bookreport,독후감 쓰기,1,국어,AI가 써 준 독후감에는 내가 읽지 않은 느낌이 섞일 수 있다.,문해,mid,600,월요일까지 독후감을 써야 하는데 책을 아직 다 읽지 못했다. 그래도 읽은 부분 중 기억나는 장면은 있다. 시간이 많지 않아 지금부터 어떻게 써야 내가 읽고 느낀 독후감이라고 말할 수 있을지 정해야 한다.,A1R1,A,책을 더 읽고 내가 기억나는 장면부터 찾는다,A1,시간이 부족해도 기억나는 장면 하나와 느낌을 짧게 쓴다,R1,시간이 없어서 지금 글을 그대로 낸다,0,0,14,12,2,1,16,13,25,22,10,68,B,5,주체성;문해력;맥락적 사고,융합하기,맥락적 사고,문해력;문해력,,"시간이 걸리고 힘도 들지만, 내가 읽은 내용에서 독후감을 시작할 수 있다.",내가 읽은 데서 출발했다 — AI보다 내 기억을 먼저 꺼냈다.,직접 읽었지만 왜 그렇게 느꼈는지는 부족할 수 있다.,끝까지 읽었지만 느낌의 이유까지는 덜 적었다.,"가장 빠르지만, 내가 읽고 생각한 흔적이 충분한지는 보지 못한다.",확인 없이 냈다 — 빠르지만 빈 곳을 못 봤다.,직접 읽었지만 왜 그렇게 느꼈는지는 부족할 수 있다.,시간이 부족해 느낀 점만 짧게 적었다.,내가 읽은 데서 출발했다 — AI보다 내 기억을 먼저 꺼냈다.,AI 도움 없이 기억나는 장면과 느낌을 짧게 써서 내 힘으로 시작했다. 다만 다시 살펴보지 않고 제출해서 장면을 왜 골랐는지는 잘 드러나지 않는다.,AI 도움 없이 기억나는 장면과 느낌을 짧게 써서 내 힘으로 시작했다. 다만 다시 살펴보지 않고 제출해서 장면을 왜 골랐는지는 잘 드러나지 않는다.,,확인 없이 냈다 — 빠르지만 빈 곳을 못 봤다.,"책을 더 읽고, 내가 기억하는 장면부터  → 시간이 부족해 느낀 점만 짧게 적었다. → 시간이 없어 글을 그대로 냈다.",,"다시 한다면, 내기 전에 한 번만 더 읽고 그 장면을 왜 골랐는지 한 줄 보태 보자.",월요일까지 독후감을 내야 하는데 어린왕자를 아직 다 못 읽었다.,"책을 더 읽고, 내가 기억하는 장면부터 찾기로 했다.",시간이 부족해 느낀 점만 짧게 적었다.,시간이 없어 글을 그대로 냈다.,AI 도움 없이 기억나는 장면과 느낌을 짧게 써서 내 힘으로 시작했다. 다만 다시 살펴보지 않고 제출해서 장면을 왜 골랐는지는 잘 드러나지 않는다.
bookreport,독후감 쓰기,1,국어,AI가 써 준 독후감에는 내가 읽지 않은 느낌이 섞일 수 있다.,문해,mid,600,월요일까지 독후감을 써야 하는데 책을 아직 다 읽지 못했다. 그래도 읽은 부분 중 기억나는 장면은 있다. 시간이 많지 않아 지금부터 어떻게 써야 내가 읽고 느낀 독후감이라고 말할 수 있을지 정해야 한다.,A1R2,A,책을 더 읽고 내가 기억나는 장면부터 찾는다,A1,시간이 부족해도 기억나는 장면 하나와 느낌을 짧게 쓴다,R2,내가 읽은 장면과 내 느낌이 들어갔는지 본다,0,0,14,12,5,4,19,16,25,22,18,74,B,6,주체성;문해력;맥락적 사고;검토력,융합하기,맥락적 사고,문해력;문해력;검토력,,"시간이 걸리고 힘도 들지만, 내가 읽은 내용에서 독후감을 시작할 수 있다.",내가 읽은 데서 출발했다 — AI보다 내 기억을 먼저 꺼냈다.,직접 읽었지만 왜 그렇게 느꼈는지는 부족할 수 있다.,끝까지 읽었지만 느낌의 이유까지는 덜 적었다.,"줄거리나 AI 문장이 아니라, 내가 읽고 느낀 글인지 확인한다.",내 장면과 느낌이 들어갔는지 한 번 더 봤다.,직접 읽었지만 왜 그렇게 느꼈는지는 부족할 수 있다.,시간이 부족해 느낀 점만 짧게 적었다.,내가 읽은 데서 출발했다 — AI보다 내 기억을 먼저 꺼냈다.,"기억나는 장면과 느낌을 짧게 쓴 뒤, 내가 읽은 장면과 느낌이 들어갔는지 확인했다. 빠진 느낌을 조금 덧붙였지만 장면을 고른 이유까지 깊게 고치지는 못했다.","기억나는 장면과 느낌을 짧게 쓴 뒤, 내가 읽은 장면과 느낌이 들어갔는지 확인했다. 빠진 느낌을 조금 덧붙였지만 장면을 고른 이유까지 깊게 고치지는 못했다.",,내 장면과 느낌이 들어갔는지 한 번 더 봤다.,"책을 더 읽고, 내가 기억하는 장면부터  → 시간이 부족해 느낀 점만 짧게 적었다. → 내 장면과 느낌이 글에 들어갔는지 살폈다",,"다시 한다면, 느낌만 덧붙이지 말고 그 장면을 고른 까닭까지 한 문장 더 써 보자.",월요일까지 독후감을 내야 하는데 어린왕자를 아직 다 못 읽었다.,"책을 더 읽고, 내가 기억하는 장면부터 찾기로 했다.",시간이 부족해 느낀 점만 짧게 적었다.,내 장면과 느낌이 글에 들어갔는지 살폈다.,"기억나는 장면과 느낌을 짧게 쓴 뒤, 내가 읽은 장면과 느낌이 들어갔는지 확인했다. 빠진 느낌을 조금 덧붙였지만 장면을 고른 이유까지 깊게 고치지는 못했다."
bookreport,독후감 쓰기,1,국어,AI가 써 준 독후감에는 내가 읽지 않은 느낌이 섞일 수 있다.,문해,mid,600,월요일까지 독후감을 써야 하는데 책을 아직 다 읽지 못했다. 그래도 읽은 부분 중 기억나는 장면은 있다. 시간이 많지 않아 지금부터 어떻게 써야 내가 읽고 느낀 독후감이라고 말할 수 있을지 정해야 한다.,A1R3,A,책을 더 읽고 내가 기억나는 장면부터 찾는다,A1,시간이 부족해도 기억나는 장면 하나와 느낌을 짧게 쓴다,R3,선생님이 물었을 때 그 장면을 내 말로 설명할 수 있는지 본다,0,0,14,12,10,8,24,20,25,22,30,78,A,6,주체성;문해력;맥락적 사고;검토력,융합하기,맥락적 사고,문해력;문해력;검토력,,"시간이 걸리고 힘도 들지만, 내가 읽은 내용에서 독후감을 시작할 수 있다.",내가 읽은 데서 출발했다 — AI보다 내 기억을 먼저 꺼냈다.,직접 읽었지만 왜 그렇게 느꼈는지는 부족할 수 있다.,끝까지 읽었지만 느낌의 이유까지는 덜 적었다.,읽은 장면과 AI가 알려준 장면을 구분하고 내 말로 말할 수 있는지 본다.,내 말로 설명되는지까지 확인하니 글이 단단해졌다.,직접 읽었지만 왜 그렇게 느꼈는지는 부족할 수 있다.,시간이 부족해 느낀 점만 짧게 적었다.,내가 읽은 데서 출발했다 — AI보다 내 기억을 먼저 꺼냈다.,짧게 쓴 글을 선생님이 물어본다고 생각하며 내 말로 설명해 보았다. 글은 길지 않아도 내가 읽은 장면과 느낌을 직접 말할 수 있다.,짧게 쓴 글을 선생님이 물어본다고 생각하며 내 말로 설명해 보았다. 글은 길지 않아도 내가 읽은 장면과 느낌을 직접 말할 수 있다.,,내 말로 설명되는지까지 확인하니 글이 단단해졌다.,"책을 더 읽고, 내가 기억하는 장면부터  → 시간이 부족해 느낀 점만 짧게 적었다. → 내가 읽은 장면을 말로 설명할 수 있는지",,이미 잘했어. 다음엔 마음에 남은 장면을 두 개로 늘려 비교해 보는 것도 재미있겠다.,월요일까지 독후감을 내야 하는데 어린왕자를 아직 다 못 읽었다.,"책을 더 읽고, 내가 기억하는 장면부터 찾기로 했다.",시간이 부족해 느낀 점만 짧게 적었다.,내가 읽은 장면을 말로 설명할 수 있는지 확인했다.,짧게 쓴 글을 선생님이 물어본다고 생각하며 내 말로 설명해 보았다. 글은 길지 않아도 내가 읽은 장면과 느낌을 직접 말할 수 있다.
bookreport,독후감 쓰기,1,국어,AI가 써 준 독후감에는 내가 읽지 않은 느낌이 섞일 수 있다.,문해,mid,600,월요일까지 독후감을 써야 하는데 책을 아직 다 읽지 못했다. 그래도 읽은 부분 중 기억나는 장면은 있다. 시간이 많지 않아 지금부터 어떻게 써야 내가 읽고 느낀 독후감이라고 말할 수 있을지 정해야 한다.,A2R1,A,책을 더 읽고 내가 기억나는 장면부터 찾는다,A2,내가 읽은 쪽에서 마음에 남은 장면 하나를 고른다,R1,시간이 없어서 지금 글을 그대로 낸다,0,0,16,14,2,1,18,15,25,34,10,76,A,6,주체성;문해력;창의적 사고;표현력,융합하기,창의적 사고,문해력;표현력,,"시간이 걸리고 힘도 들지만, 내가 읽은 내용에서 독후감을 시작할 수 있다.",내가 읽은 데서 출발했다 — AI보다 내 기억을 먼저 꺼냈다.,"모든 내용을 쓰려 하지 않고, 내 감상의 중심 장면을 잡는다.",중심 장면 하나를 잡으니 내 감상이 또렷해졌다.,"가장 빠르지만, 내가 읽고 생각한 흔적이 충분한지는 보지 못한다.",확인 없이 냈다 — 빠르지만 빈 곳을 못 봤다.,"모든 내용을 쓰려 하지 않고, 내 감상의 중심 장면을 잡는다.",장미·여우·별 여행 중 기억에 남는 장면 하나를 골랐다.,내가 읽은 데서 출발했다 — AI보다 내 기억을 먼저 꺼냈다.,마음에 남은 장면을 고르고 왜 그 장면인지 이유까지 적었다. 하지만 제출 전에 다시 살피지 않아 이유와 느낌이 충분히 이어졌는지는 확인하지 못했다.,마음에 남은 장면을 고르고 왜 그 장면인지 이유까지 적었다. 하지만 제출 전에 다시 살피지 않아 이유와 느낌이 충분히 이어졌는지는 확인하지 못했다.,,확인 없이 냈다 — 빠르지만 빈 곳을 못 봤다.,"책을 더 읽고, 내가 기억하는 장면부터  → 장미·여우·별 여행 중 기억에 남는 장면 → 시간이 없어 글을 그대로 냈다.",,"다시 한다면, 내기 전에 이유와 느낌이 잘 이어지는지 소리 내어 한 번 읽어 보자.",월요일까지 독후감을 내야 하는데 어린왕자를 아직 다 못 읽었다.,"책을 더 읽고, 내가 기억하는 장면부터 찾기로 했다.",장미·여우·별 여행 중 기억에 남는 장면 하나를 골랐다.,시간이 없어 글을 그대로 냈다.,마음에 남은 장면을 고르고 왜 그 장면인지 이유까지 적었다. 하지만 제출 전에 다시 살피지 않아 이유와 느낌이 충분히 이어졌는지는 확인하지 못했다.
bookreport,독후감 쓰기,1,국어,AI가 써 준 독후감에는 내가 읽지 않은 느낌이 섞일 수 있다.,문해,mid,600,월요일까지 독후감을 써야 하는데 책을 아직 다 읽지 못했다. 그래도 읽은 부분 중 기억나는 장면은 있다. 시간이 많지 않아 지금부터 어떻게 써야 내가 읽고 느낀 독후감이라고 말할 수 있을지 정해야 한다.,A2R2,A,책을 더 읽고 내가 기억나는 장면부터 찾는다,A2,내가 읽은 쪽에서 마음에 남은 장면 하나를 고른다,R2,내가 읽은 장면과 내 느낌이 들어갔는지 본다,0,0,16,14,5,4,21,18,25,34,18,84,A,7,주체성;문해력;창의적 사고;표현력;검토력,융합하기,창의적 사고,문해력;표현력;검토력,,"시간이 걸리고 힘도 들지만, 내가 읽은 내용에서 독후감을 시작할 수 있다.",내가 읽은 데서 출발했다 — AI보다 내 기억을 먼저 꺼냈다.,"모든 내용을 쓰려 하지 않고, 내 감상의 중심 장면을 잡는다.",중심 장면 하나를 잡으니 내 감상이 또렷해졌다.,"줄거리나 AI 문장이 아니라, 내가 읽고 느낀 글인지 확인한다.",내 장면과 느낌이 들어갔는지 한 번 더 봤다.,"모든 내용을 쓰려 하지 않고, 내 감상의 중심 장면을 잡는다.",장미·여우·별 여행 중 기억에 남는 장면 하나를 골랐다.,내가 읽은 데서 출발했다 — AI보다 내 기억을 먼저 꺼냈다.,"마음에 남은 장면과 그 이유를 적고, 내 느낌이 빠졌는지 다시 보았다. 어색하거나 빈 부분을 조금 고쳐 장면과 생각이 더 잘 이어진다.","마음에 남은 장면과 그 이유를 적고, 내 느낌이 빠졌는지 다시 보았다. 어색하거나 빈 부분을 조금 고쳐 장면과 생각이 더 잘 이어진다.",,내 장면과 느낌이 들어갔는지 한 번 더 봤다.,"책을 더 읽고, 내가 기억하는 장면부터  → 장미·여우·별 여행 중 기억에 남는 장면 → 내 장면과 느낌이 글에 들어갔는지 살폈다",,잘 고쳤어. 다음엔 그 장면이 내게 남긴 생각을 한 줄 더 깊이 적어 보면 좋겠다.,월요일까지 독후감을 내야 하는데 어린왕자를 아직 다 못 읽었다.,"책을 더 읽고, 내가 기억하는 장면부터 찾기로 했다.",장미·여우·별 여행 중 기억에 남는 장면 하나를 골랐다.,내 장면과 느낌이 글에 들어갔는지 살폈다.,"마음에 남은 장면과 그 이유를 적고, 내 느낌이 빠졌는지 다시 보았다. 어색하거나 빈 부분을 조금 고쳐 장면과 생각이 더 잘 이어진다."
bookreport,독후감 쓰기,1,국어,AI가 써 준 독후감에는 내가 읽지 않은 느낌이 섞일 수 있다.,문해,mid,600,월요일까지 독후감을 써야 하는데 책을 아직 다 읽지 못했다. 그래도 읽은 부분 중 기억나는 장면은 있다. 시간이 많지 않아 지금부터 어떻게 써야 내가 읽고 느낀 독후감이라고 말할 수 있을지 정해야 한다.,A2R3,A,책을 더 읽고 내가 기억나는 장면부터 찾는다,A2,내가 읽은 쪽에서 마음에 남은 장면 하나를 고른다,R3,선생님이 물었을 때 그 장면을 내 말로 설명할 수 있는지 본다,0,0,16,14,10,8,26,22,25,34,30,90,S,7,주체성;문해력;창의적 사고;표현력;검토력,융합하기,창의적 사고,문해력;표현력;검토력,,"시간이 걸리고 힘도 들지만, 내가 읽은 내용에서 독후감을 시작할 수 있다.",내가 읽은 데서 출발했다 — AI보다 내 기억을 먼저 꺼냈다.,"모든 내용을 쓰려 하지 않고, 내 감상의 중심 장면을 잡는다.",중심 장면 하나를 잡으니 내 감상이 또렷해졌다.,읽은 장면과 AI가 알려준 장면을 구분하고 내 말로 말할 수 있는지 본다.,내 말로 설명되는지까지 확인하니 글이 단단해졌다.,"모든 내용을 쓰려 하지 않고, 내 감상의 중심 장면을 잡는다.",장미·여우·별 여행 중 기억에 남는 장면 하나를 골랐다.,내가 읽은 데서 출발했다 — AI보다 내 기억을 먼저 꺼냈다.,마음에 남은 장면을 고른 이유와 느낌을 내 말로 설명해 보았다. AI 도움 없이 내가 읽고 생각한 내용을 분명하게 보여 준다.,마음에 남은 장면을 고른 이유와 느낌을 내 말로 설명해 보았다. AI 도움 없이 내가 읽고 생각한 내용을 분명하게 보여 준다.,,내 말로 설명되는지까지 확인하니 글이 단단해졌다.,"책을 더 읽고, 내가 기억하는 장면부터  → 장미·여우·별 여행 중 기억에 남는 장면 → 내가 읽은 장면을 말로 설명할 수 있는지",,정말 잘했어. 다음엔 다른 장면도 골라 내 말로 설명해 보는 길도 해볼까.,월요일까지 독후감을 내야 하는데 어린왕자를 아직 다 못 읽었다.,"책을 더 읽고, 내가 기억하는 장면부터 찾기로 했다.",장미·여우·별 여행 중 기억에 남는 장면 하나를 골랐다.,내가 읽은 장면을 말로 설명할 수 있는지 확인했다.,마음에 남은 장면을 고른 이유와 느낌을 내 말로 설명해 보았다. AI 도움 없이 내가 읽고 생각한 내용을 분명하게 보여 준다.
bookreport,독후감 쓰기,1,국어,AI가 써 준 독후감에는 내가 읽지 않은 느낌이 섞일 수 있다.,문해,mid,600,월요일까지 독후감을 써야 하는데 책을 아직 다 읽지 못했다. 그래도 읽은 부분 중 기억나는 장면은 있다. 시간이 많지 않아 지금부터 어떻게 써야 내가 읽고 느낀 독후감이라고 말할 수 있을지 정해야 한다.,A3R1,A,책을 더 읽고 내가 기억나는 장면부터 찾는다,A3,이해 안 된 장면만 AI에게 쉽게 설명해 달라고 묻고 다시 책을 본다,R1,시간이 없어서 지금 글을 그대로 낸다,0,0,12,10,2,1,14,11,25,28,10,74,B,6,주체성;문해력;통합적 사고;탐색력,융합하기,통합적 사고,문해력;탐색력,,"시간이 걸리고 힘도 들지만, 내가 읽은 내용에서 독후감을 시작할 수 있다.",내가 읽은 데서 출발했다 — AI보다 내 기억을 먼저 꺼냈다.,"막힌 부분을 AI에게 물어보고, 다시 내 말로 이해해 본다.",막힌 곳만 AI에 묻고 다시 내 말로 돌아왔다.,"가장 빠르지만, 내가 읽고 생각한 흔적이 충분한지는 보지 못한다.",확인 없이 냈다 — 빠르지만 빈 곳을 못 봤다.,"막힌 부분을 AI에게 물어보고, 다시 내 말로 이해해 본다.",이해 안 된 장면만 AI에게 묻고 내 말로 바꿨다.,내가 읽은 데서 출발했다 — AI보다 내 기억을 먼저 꺼냈다.,"이해가 안 된 장면은 AI 설명을 참고했지만, 다시 책을 보고 내 느낌을 정리하는 과정은 부족했다. 설명을 듣고 바로 제출해서 내 생각으로 바꾼 흔적이 약하다.","이해가 안 된 장면은 AI 설명을 참고했지만, 다시 책을 보고 내 느낌을 정리하는 과정은 부족했다. 설명을 듣고 바로 제출해서 내 생각으로 바꾼 흔적이 약하다.",,확인 없이 냈다 — 빠르지만 빈 곳을 못 봤다.,"책을 더 읽고, 내가 기억하는 장면부터  → 이해 안 된 장면만 AI에게 묻고 내 말 → 시간이 없어 글을 그대로 냈다.",,"다시 한다면, AI 설명을 듣고 책을 다시 본 뒤 내 느낌으로 한 줄 바꿔 적어 보자.",월요일까지 독후감을 내야 하는데 어린왕자를 아직 다 못 읽었다.,"책을 더 읽고, 내가 기억하는 장면부터 찾기로 했다.",이해 안 된 장면만 AI에게 묻고 내 말로 바꿨다.,시간이 없어 글을 그대로 냈다.,"이해가 안 된 장면은 AI 설명을 참고했지만, 다시 책을 보고 내 느낌을 정리하는 과정은 부족했다. 설명을 듣고 바로 제출해서 내 생각으로 바꾼 흔적이 약하다."
bookreport,독후감 쓰기,1,국어,AI가 써 준 독후감에는 내가 읽지 않은 느낌이 섞일 수 있다.,문해,mid,600,월요일까지 독후감을 써야 하는데 책을 아직 다 읽지 못했다. 그래도 읽은 부분 중 기억나는 장면은 있다. 시간이 많지 않아 지금부터 어떻게 써야 내가 읽고 느낀 독후감이라고 말할 수 있을지 정해야 한다.,A3R2,A,책을 더 읽고 내가 기억나는 장면부터 찾는다,A3,이해 안 된 장면만 AI에게 쉽게 설명해 달라고 묻고 다시 책을 본다,R2,내가 읽은 장면과 내 느낌이 들어갔는지 본다,0,0,12,10,5,4,17,14,25,28,18,82,A,6,주체성;문해력;통합적 사고;탐색력;검토력,융합하기,통합적 사고,문해력;탐색력;검토력,,"시간이 걸리고 힘도 들지만, 내가 읽은 내용에서 독후감을 시작할 수 있다.",내가 읽은 데서 출발했다 — AI보다 내 기억을 먼저 꺼냈다.,"막힌 부분을 AI에게 물어보고, 다시 내 말로 이해해 본다.",막힌 곳만 AI에 묻고 다시 내 말로 돌아왔다.,"줄거리나 AI 문장이 아니라, 내가 읽고 느낀 글인지 확인한다.",내 장면과 느낌이 들어갔는지 한 번 더 봤다.,"막힌 부분을 AI에게 물어보고, 다시 내 말로 이해해 본다.",이해 안 된 장면만 AI에게 묻고 내 말로 바꿨다.,내가 읽은 데서 출발했다 — AI보다 내 기억을 먼저 꺼냈다.,"AI 설명을 보고 막힌 장면을 이해한 뒤, 내가 읽은 장면과 느낌이 들어갔는지 확인했다. 아직 깊은 설명은 아니지만 AI 말을 그대로 옮기지 않으려는 시도가 보인다.","AI 설명을 보고 막힌 장면을 이해한 뒤, 내가 읽은 장면과 느낌이 들어갔는지 확인했다. 아직 깊은 설명은 아니지만 AI 말을 그대로 옮기지 않으려는 시도가 보인다.",,내 장면과 느낌이 들어갔는지 한 번 더 봤다.,"책을 더 읽고, 내가 기억하는 장면부터  → 이해 안 된 장면만 AI에게 묻고 내 말 → 내 장면과 느낌이 글에 들어갔는지 살폈다",,좋아. 다음엔 AI 설명을 안 보고 그 장면을 내 말로 다시 설명해 보면 더 단단해져.,월요일까지 독후감을 내야 하는데 어린왕자를 아직 다 못 읽었다.,"책을 더 읽고, 내가 기억하는 장면부터 찾기로 했다.",이해 안 된 장면만 AI에게 묻고 내 말로 바꿨다.,내 장면과 느낌이 글에 들어갔는지 살폈다.,"AI 설명을 보고 막힌 장면을 이해한 뒤, 내가 읽은 장면과 느낌이 들어갔는지 확인했다. 아직 깊은 설명은 아니지만 AI 말을 그대로 옮기지 않으려는 시도가 보인다."
bookreport,독후감 쓰기,1,국어,AI가 써 준 독후감에는 내가 읽지 않은 느낌이 섞일 수 있다.,문해,mid,600,월요일까지 독후감을 써야 하는데 책을 아직 다 읽지 못했다. 그래도 읽은 부분 중 기억나는 장면은 있다. 시간이 많지 않아 지금부터 어떻게 써야 내가 읽고 느낀 독후감이라고 말할 수 있을지 정해야 한다.,A3R3,A,책을 더 읽고 내가 기억나는 장면부터 찾는다,A3,이해 안 된 장면만 AI에게 쉽게 설명해 달라고 묻고 다시 책을 본다,R3,선생님이 물었을 때 그 장면을 내 말로 설명할 수 있는지 본다,0,0,12,10,10,8,22,18,25,28,30,88,A,7,주체성;문해력;통합적 사고;탐색력;검토력,융합하기,통합적 사고,문해력;탐색력;검토력,,"시간이 걸리고 힘도 들지만, 내가 읽은 내용에서 독후감을 시작할 수 있다.",내가 읽은 데서 출발했다 — AI보다 내 기억을 먼저 꺼냈다.,"막힌 부분을 AI에게 물어보고, 다시 내 말로 이해해 본다.",막힌 곳만 AI에 묻고 다시 내 말로 돌아왔다.,읽은 장면과 AI가 알려준 장면을 구분하고 내 말로 말할 수 있는지 본다.,내 말로 설명되는지까지 확인하니 글이 단단해졌다.,"막힌 부분을 AI에게 물어보고, 다시 내 말로 이해해 본다.",이해 안 된 장면만 AI에게 묻고 내 말로 바꿨다.,내가 읽은 데서 출발했다 — AI보다 내 기억을 먼저 꺼냈다.,"AI 설명을 단서로 삼아 다시 책을 보고, 막혔던 장면을 나만의 생각과 표현으로 설명해 보았다. 도움은 받았지만 마지막에는 내가 이해한 말로 정리했다.","AI 설명을 단서로 삼아 다시 책을 보고, 막혔던 장면을 나만의 생각과 표현으로 설명해 보았다. 도움은 받았지만 마지막에는 내가 이해한 말로 정리했다.",,내 말로 설명되는지까지 확인하니 글이 단단해졌다.,"책을 더 읽고, 내가 기억하는 장면부터  → 이해 안 된 장면만 AI에게 묻고 내 말 → 내가 읽은 장면을 말로 설명할 수 있는지",,잘했어. 다음엔 다른 막힌 장면도 같은 방법으로 풀어 보는 것도 해볼까.,월요일까지 독후감을 내야 하는데 어린왕자를 아직 다 못 읽었다.,"책을 더 읽고, 내가 기억하는 장면부터 찾기로 했다.",이해 안 된 장면만 AI에게 묻고 내 말로 바꿨다.,내가 읽은 장면을 말로 설명할 수 있는지 확인했다.,"AI 설명을 단서로 삼아 다시 책을 보고, 막혔던 장면을 나만의 생각과 표현으로 설명해 보았다. 도움은 받았지만 마지막에는 내가 이해한 말로 정리했다."
bookreport,독후감 쓰기,1,국어,AI가 써 준 독후감에는 내가 읽지 않은 느낌이 섞일 수 있다.,문해,mid,600,월요일까지 독후감을 써야 하는데 책을 아직 다 읽지 못했다. 그래도 읽은 부분 중 기억나는 장면은 있다. 시간이 많지 않아 지금부터 어떻게 써야 내가 읽고 느낀 독후감이라고 말할 수 있을지 정해야 한다.,B1R1,B,AI에게 안 읽은 부분의 줄거리를 짧게 물어본다,B1,AI가 알려 준 내용에서 내가 읽은 부분과 안 읽은 부분을 나눈다,R1,시간이 없어서 지금 글을 그대로 낸다,0,0,8,7,2,1,10,8,16,22,10,72,B,6,적응성;탐색력;통합적 사고;분석력,융합하기,통합적 사고,탐색력;분석력,,"빠르게 빈 부분을 알 수 있지만, 내가 읽은 장면과 AI가 알려준 장면이 섞일 수 있다.",AI로 빈 곳을 메웠다 — 다만 내 장면과 섞이지 않게 갈라야 한다.,AI가 알려준 내용과 내가 읽은 내용을 구분한다.,AI 것과 내 것을 갈라 두니 섞이지 않았다.,"가장 빠르지만, 내가 읽고 생각한 흔적이 충분한지는 보지 못한다.",확인 없이 냈다 — 빠르지만 빈 곳을 못 봤다.,AI가 알려준 내용과 내가 읽은 내용을 구분한다.,읽은 장면과 안 읽은 장면을 나눠 보았다.,AI로 빈 곳을 메웠다 — 다만 내 장면과 섞이지 않게 갈라야 한다.,AI 줄거리를 읽은 부분과 안 읽은 부분으로 나누어 보았지만 거기서 멈췄다. 다시 책이나 내 느낌으로 돌아가지 않아 독후감의 주인이 분명하지 않다.,AI 줄거리를 읽은 부분과 안 읽은 부분으로 나누어 보았지만 거기서 멈췄다. 다시 책이나 내 느낌으로 돌아가지 않아 독후감의 주인이 분명하지 않다.,,확인 없이 냈다 — 빠르지만 빈 곳을 못 봤다.,안 읽은 부분을 AI에게 물어 빈 곳을  → 읽은 장면과 안 읽은 장면을 나눠 보았다 → 시간이 없어 글을 그대로 냈다.,,"다시 한다면, 나눈 다음 멈추지 말고 내가 읽은 장면 하나로 돌아가 느낌을 보태 보자.",월요일까지 독후감을 내야 하는데 어린왕자를 아직 다 못 읽었다.,안 읽은 부분을 AI에게 물어 빈 곳을 채웠다.,읽은 장면과 안 읽은 장면을 나눠 보았다.,시간이 없어 글을 그대로 냈다.,AI 줄거리를 읽은 부분과 안 읽은 부분으로 나누어 보았지만 거기서 멈췄다. 다시 책이나 내 느낌으로 돌아가지 않아 독후감의 주인이 분명하지 않다.
