scenario_id,leaf,tier1,tier2,review,reviewSupplement,reviewLabel,resourceCost_time,resourceCost_energy,expReward,competencyCards,axisDelta_requireCard,axisDelta_bonusPoint,axisDelta_note,finals_score,finals_grade,finals_item,finals_delegation,finals_knowledge,finals_awareness,finals_cut6Feedback,finals_replaySuggestion,finals_cardEarned,finals_humanCentricAxis,finals_humanCentricTag,finals_domainCards,finals_growthCard,finals_replayCardStatus,finals_expReward,finals_shortFeedback,finals_reportFeedback,finals_earnedCards,finals_adjustedScore,finals_adjustedType,finals_adjustedReason,finals_reportPathSummary,finals_cartoonCaption1,finals_cartoonCaption2,finals_cartoonCaption3,finals_cartoonCaption4,finals_cartoonCaption5,finals_reportReflection,finals_reportCardSummary,finals_reportStrengthTags,finals_reportGrowthTags
bookreport,A1R1,A,A1,R1,⟨TODO⟩,시간이 없어서 지금 글을 그대로 낸다,16,13,5,주체성;문해력;맥락적 사고,,,,68,B,,내가 직접,,⟨TODO⟩,AI 도움 없이 기억나는 장면과 느낌을 짧게 써서 내 힘으로 시작했다. 다만 다시 살펴보지 않고 제출해서 장면을 왜 골랐는지는 잘 드러나지 않는다.,⟨TODO⟩,true,융합하기,맥락적 사고,문해력;문해력,,,5,⟨TODO⟩,⟨TODO⟩,,,,,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,,
bookreport,A1R2,A,A1,R2,⟨TODO⟩,내가 읽은 장면과 내 느낌이 들어갔는지 본다,19,16,6,주체성;문해력;맥락적 사고;검토력,,,,74,B,,내가 직접,,⟨TODO⟩,"기억나는 장면과 느낌을 짧게 쓴 뒤, 내가 읽은 장면과 느낌이 들어갔는지 확인했다. 빠진 느낌을 조금 덧붙였지만 장면을 고른 이유까지 깊게 고치지는 못했다.",⟨TODO⟩,true,융합하기,맥락적 사고,문해력;문해력;검토력,,,6,⟨TODO⟩,⟨TODO⟩,,,,,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,,
bookreport,A1R3,A,A1,R3,⟨TODO⟩,선생님이 물었을 때 그 장면을 내 말로 설명할 수 있는지 본다,24,20,6,주체성;문해력;맥락적 사고;검토력,,,,78,A,,내가 직접,,⟨TODO⟩,짧게 쓴 글을 선생님이 물어본다고 생각하며 내 말로 설명해 보았다. 글은 길지 않아도 내가 읽은 장면과 느낌을 직접 말할 수 있다.,⟨TODO⟩,true,융합하기,맥락적 사고,문해력;문해력;검토력,,,6,⟨TODO⟩,⟨TODO⟩,,,,,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,,
bookreport,A2R1,A,A2,R1,⟨TODO⟩,시간이 없어서 지금 글을 그대로 낸다,18,15,6,주체성;문해력;창의적 사고;표현력,,,,76,A,,내가 직접,,⟨TODO⟩,마음에 남은 장면을 고르고 왜 그 장면인지 이유까지 적었다. 하지만 제출 전에 다시 살피지 않아 이유와 느낌이 충분히 이어졌는지는 확인하지 못했다.,⟨TODO⟩,true,융합하기,창의적 사고,문해력;표현력,,,6,⟨TODO⟩,⟨TODO⟩,,,,,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,,
bookreport,A2R2,A,A2,R2,⟨TODO⟩,내가 읽은 장면과 내 느낌이 들어갔는지 본다,21,18,7,주체성;문해력;창의적 사고;표현력;검토력,,,,84,A,,내가 직접,,⟨TODO⟩,"마음에 남은 장면과 그 이유를 적고, 내 느낌이 빠졌는지 다시 보았다. 어색하거나 빈 부분을 조금 고쳐 장면과 생각이 더 잘 이어진다.",⟨TODO⟩,true,융합하기,창의적 사고,문해력;표현력;검토력,,,7,⟨TODO⟩,⟨TODO⟩,,,,,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,,
bookreport,A2R3,A,A2,R3,⟨TODO⟩,선생님이 물었을 때 그 장면을 내 말로 설명할 수 있는지 본다,26,22,7,주체성;문해력;창의적 사고;표현력;검토력,,,,90,S,,내가 직접,,⟨TODO⟩,마음에 남은 장면을 고른 이유와 느낌을 내 말로 설명해 보았다. AI 도움 없이 내가 읽고 생각한 내용을 분명하게 보여 준다.,⟨TODO⟩,true,융합하기,창의적 사고,문해력;표현력;검토력,,,7,⟨TODO⟩,⟨TODO⟩,,,,,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,,
bookreport,A3R1,A,A3,R1,⟨TODO⟩,시간이 없어서 지금 글을 그대로 낸다,14,11,6,주체성;문해력;통합적 사고;탐색력,,,,74,B,,내가 직접 →부분 위임,,⟨TODO⟩,"이해가 안 된 장면은 AI 설명을 참고했지만, 다시 책을 보고 내 느낌을 정리하는 과정은 부족했다. 설명을 듣고 바로 제출해서 내 생각으로 바꾼 흔적이 약하다.",⟨TODO⟩,true,융합하기,통합적 사고,문해력;탐색력,,,6,⟨TODO⟩,⟨TODO⟩,,,,,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,,
bookreport,A3R2,A,A3,R2,⟨TODO⟩,내가 읽은 장면과 내 느낌이 들어갔는지 본다,17,14,6,주체성;문해력;통합적 사고;탐색력;검토력,,,,82,A,,내가 직접 →부분 위임,,⟨TODO⟩,"AI 설명을 보고 막힌 장면을 이해한 뒤, 내가 읽은 장면과 느낌이 들어갔는지 확인했다. 아직 깊은 설명은 아니지만 AI 말을 그대로 옮기지 않으려는 시도가 보인다.",⟨TODO⟩,true,융합하기,통합적 사고,문해력;탐색력;검토력,,,6,⟨TODO⟩,⟨TODO⟩,,,,,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,,
bookreport,A3R3,A,A3,R3,⟨TODO⟩,선생님이 물었을 때 그 장면을 내 말로 설명할 수 있는지 본다,22,18,7,주체성;문해력;통합적 사고;탐색력;검토력,,,,88,A,,내가 직접 →부분 위임,,⟨TODO⟩,"AI 설명을 단서로 삼아 다시 책을 보고, 막혔던 장면을 나만의 생각과 표현으로 설명해 보았다. 도움은 받았지만 마지막에는 내가 이해한 말로 정리했다.",⟨TODO⟩,true,융합하기,통합적 사고,문해력;탐색력;검토력,,,7,⟨TODO⟩,⟨TODO⟩,,,,,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,,
bookreport,B1R1,B,B1,R1,⟨TODO⟩,시간이 없어서 지금 글을 그대로 낸다,10,8,6,적응성;탐색력;통합적 사고;분석력,,,,72,B,,부분 위임 →직접쪽,,⟨TODO⟩,AI 줄거리를 읽은 부분과 안 읽은 부분으로 나누어 보았지만 거기서 멈췄다. 다시 책이나 내 느낌으로 돌아가지 않아 독후감의 주인이 분명하지 않다.,⟨TODO⟩,true,융합하기,통합적 사고,탐색력;분석력,,,6,⟨TODO⟩,⟨TODO⟩,,,,,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,⟨TODO⟩,,
