번호,구분,시나리오,위치,수정 전,수정 후,피터공 판단
1,텍스트,AI 시대에 내 진로는?,finals.A1R1.reportReflection,"AI는 가능성을 넓혔고, 마지막 선택은 내 관심과 기준에 남겨 두었다.","가능성은 내가 좋아하는 것에서 나왔고, 마지막 선택도 내 관심과 기준에 남겨 두었다.",
2,텍스트,AI 시대에 내 진로는?,finals.A1R2.cartoonCaption5,AI가 한 부분과 내가 판단한 부분을 나눴다.,낯선 이름과 이상해 보이는 정보만 골라 확인했다.,
3,텍스트,AI 시대에 내 진로는?,finals.A1R2.reportReflection,"AI는 가능성을 넓혔고, 마지막 선택은 내 관심과 기준에 남겨 두었다.","가능성은 내가 좋아하는 것에서 나왔고, 마지막 선택도 내 관심과 기준에 남겨 두었다.",
4,텍스트,AI 시대에 내 진로는?,finals.A1R3.reportReflection,"AI는 가능성을 넓혔고, 마지막 선택은 내 관심과 기준에 남겨 두었다.","가능성은 내가 좋아하는 것에서 나왔고, 마지막 선택도 내 관심과 기준에 남겨 두었다.",
5,텍스트,AI 시대에 내 진로는?,finals.A2R2.cartoonCaption5,AI가 한 부분과 내가 판단한 부분을 나눴다.,낯선 이름과 이상해 보이는 정보만 골라 확인했다.,
6,텍스트,AI 시대에 내 진로는?,finals.A3R1.cut6Feedback,이번 결과는 부족했던 과정을 알아차리는 출발점이에요. 다시 시도하며 내 기준과 확인 과정을 세워 볼 수 있어요.,"좋은 방향의 선택이 많았고, 한두 지점을 더 확인하면 더 단단해질 수 있어요.",
7,텍스트,AI 시대에 내 진로는?,finals.A3R2.cartoonCaption5,AI가 한 부분과 내가 판단한 부분을 나눴다.,낯선 이름과 이상해 보이는 정보만 골라 확인했다.,
8,텍스트,AI 시대에 내 진로는?,finals.C1R2.cartoonCaption5,AI가 한 부분과 내가 판단한 부분을 나눴다.,낯선 이름과 이상해 보이는 정보만 골라 확인했다.,
9,텍스트,AI 시대에 내 진로는?,finals.C2R2.cartoonCaption5,AI가 한 부분과 내가 판단한 부분을 나눴다.,낯선 이름과 이상해 보이는 정보만 골라 확인했다.,
10,텍스트,AI 시대에 내 진로는?,finals.C3R2.cartoonCaption5,AI가 한 부분과 내가 판단한 부분을 나눴다.,낯선 이름과 이상해 보이는 정보만 골라 확인했다.,
11,구조(카드·등급·태그),AI 시대에 내 진로는?,reviews[2].discountTags.domain,검토력 · 자기이해 · 탐색력,검토력 · 자기이해 · 탐색력 · 분석력,
12,구조(카드·등급·태그),AI 시대에 내 진로는?,tier2.A[2].discountTags.humanCentric,성찰하기,융합하기,
13,구조(카드·등급·태그),어린왕자 독후감,finals.A3R1.domainCards,문해력 · 탐색력,문해력 · 분석력,
14,구조(카드·등급·태그),어린왕자 독후감,finals.B2R1.cardEarned,켬(true),끔(false),
15,구조(카드·등급·태그),어린왕자 독후감,finals.B2R1.domainCards,문해력,(없음),
16,텍스트,어린왕자 독후감,finals.B3R1.cartoonCaption3,소개된 장면 중 궁금한 부분을 찾아 읽었다.,읽다가 궁금한 점을 AI에게 물으며 내 생각을 정리했다.,
17,텍스트,어린왕자 독후감,finals.B3R2.cartoonCaption3,소개된 장면 중 궁금한 부분을 찾아 읽었다.,읽다가 궁금한 점을 AI에게 물으며 내 생각을 정리했다.,
18,텍스트,어린왕자 독후감,finals.B3R3.cartoonCaption3,소개된 장면 중 궁금한 부분을 찾아 읽었다.,읽다가 궁금한 점을 AI에게 물으며 내 생각을 정리했다.,
