scenario_id,leaf,tier1,tier2,review,t2_delegation_label,t2_delegation_delta,raw_time,raw_energy,mult_time,mult_energy,discount_time_위+3,discount_energy_도+3,discount_time_위-3,discount_energy_도-3
selfintro,A1R1,A,A1,R1,++,2,90,80,54,48,48,42,60,54
selfintro,A1R2,A,A1,R2,++,2,98,86,59,52,53,46,65,58
selfintro,A1R3,A,A1,R3,++,2,112,95,67,57,61,51,73,63
selfintro,A2R1,A,A2,R1,+,1,65,55,39,33,33,27,45,39
selfintro,A2R2,A,A2,R2,+,1,72,60,43,36,37,30,49,42
selfintro,A2R3,A,A2,R3,+,1,88,70,53,42,47,36,59,48
selfintro,A3R1,A,A3,R1,0,0,50,40,30,24,24,18,36,30
selfintro,A3R2,A,A3,R2,0,0,58,46,35,28,29,22,41,34
selfintro,A3R3,A,A3,R3,0,0,73,58,44,35,38,29,50,41
selfintro,B1R1,B,B1,R1,--,-2,30,15,18,9,12,3,24,15
selfintro,B1R2,B,B1,R2,--,-2,38,21,23,13,17,7,29,19
selfintro,B1R3,B,B1,R3,--,-2,53,32,32,19,26,13,38,25
selfintro,B2R1,B,B2,R1,0,0,45,28,27,17,21,11,33,23
selfintro,B2R2,B,B2,R2,0,0,53,34,32,20,26,14,38,26
selfintro,B2R3,B,B2,R3,0,0,68,45,41,27,35,21,47,33
selfintro,B3R1,B,B3,R1,+,1,40,35,24,21,18,15,30,27
selfintro,B3R2,B,B3,R2,+,1,47,41,28,25,22,19,34,31
selfintro,B3R3,B,B3,R3,+,1,62,52,37,31,31,25,43,37
selfintro,C1R1,C,C1,R1,-,-1,25,18,15,11,9,5,21,17
selfintro,C1R2,C,C1,R2,-,-1,33,24,20,14,14,8,26,20
selfintro,C1R3,C,C1,R3,-,-1,50,36,30,22,24,16,36,28
selfintro,C2R1,C,C2,R1,-,-1,35,25,21,15,15,9,27,21
selfintro,C2R2,C,C2,R2,-,-1,43,31,26,19,20,13,32,25
selfintro,C2R3,C,C2,R3,-,-1,58,43,35,26,29,20,41,32
selfintro,C3R1,C,C3,R1,--,-2,12,8,7,5,1,0,13,11
selfintro,C3R2,C,C3,R2,--,-2,20,14,12,8,6,2,18,14
selfintro,C3R3,C,C3,R3,--,-2,35,25,21,15,15,9,27,21
groupwork,A1R1,A,A1,R1,++,2,95,85,57,51,51,45,63,57
