시나리오 ID,시나리오 타이틀,상황,시나리오 의도,시나리오 메시지,leaf 좌표,1차 선택,1차 의도,1차 메시지,1차 시간비용,1차 에너지비용,1차 위임판단력 변화,1차 도메인지식 변화,tier1 베이스,tier1 변수,더 자세히 선택,더 자세히 의도,더 자세히 메시지,더 자세히 시간비용,더 자세히 에너지비용,더 자세히 위임판단력 변화,더 자세히 도메인지식 변화,tier2 베이스,tier2 변수,검토 선택,검토 의도,검토 학생 narrative (Cut5/Cut6 메인),검토 시간비용,검토 에너지비용,검토 위임판단력 변화,검토 도메인지식 변화,review 점수,합산 점수 (t1.base+var + t2.base+var + review),매칭 그룹 (matchGroups),직접 매칭 카드 (axisDelta.requireCard),직접 매칭 보너스 (axisDelta.bonusPoint),직접 매칭 노트 (axisDelta.note),획득 역량카드 목록 (competencyCards),EXP 보상 (expRewards),[검수참고] results.text,[검수참고] results.summary,[검수참고] results.lesson,[검수참고·코드미사용] finals.score,[검수참고] finals.grade,[검수참고] finals.item,[검수참고] finals.awareness
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A1R1,A. 직접 쓴다,내 손으로 직접 했다 — 자기 일은 자기가 한다.,내 추억과 관심사를 떠올려서 내 말로 쓴다.,25,20,+,+,20,8,A1. 추억과 관심사를 정리해 자기 말로 쓴다,내 경험을 들여다봤다 — 자기 안에서 글이 나온다.,초등학교 때 축구하다가 처음 골을 넣었던 일과 요즘 그림 그리는 걸 좋아한다는 말을 넣었다. 글은 조금 느리게 나왔지만 읽어 보니 내 얘기 같았다.,12,10,++,++,20,10,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,떠올린 추억과 관심사를 자기 말로 묶어 그대로 냈다. 자기 자리가 글에 들어왔다.,2,1,++,++,10,68,자기성찰,,,,"자기지식, 정리력",25,초등학교 때 축구하다가 처음 골을 넣었던 일과 요즘 그림 그리는 걸 좋아한다는 말을 넣었다. 글은 조금 느리게 나왔지만 읽어 보니 내 얘기 같았다.,내 경험이 들어간 자기소개,자기소개는 자기가 가장 잘 안다 — 위임할 일이 아니었다.,92,S,처음의 나 카드,내가 고른 기억이 글 안에 남았다.
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A1R2,A. 직접 쓴다,내 손으로 직접 했다 — 자기 일은 자기가 한다.,내 추억과 관심사를 떠올려서 내 말로 쓴다.,25,20,+,+,20,8,A1. 추억과 관심사를 정리해 자기 말로 쓴다,내 경험을 들여다봤다 — 자기 안에서 글이 나온다.,초등학교 때 축구하다가 처음 골을 넣었던 일과 요즘 그림 그리는 걸 좋아한다는 말을 넣었다. 글은 조금 느리게 나왔지만 읽어 보니 내 얘기 같았다.,12,10,++,++,20,10,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽으며 길어진 한 문장을 둘로 나눴다. 자기 글이 더 또렷해졌다.,5,4,++,++,20,78,자기성찰,,,,"자기지식, 정리력, 검수능력",27,초등학교 때 축구하다가 처음 골을 넣었던 일과 요즘 그림 그리는 걸 좋아한다는 말을 넣었다. 글은 조금 느리게 나왔지만 읽어 보니 내 얘기 같았다.,내 경험이 들어간 자기소개,자기소개는 자기가 가장 잘 안다 — 위임할 일이 아니었다.,95,S,처음의 나 카드,조금 고치니 내 말이 더 또렷해졌다.
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A1R3,A. 직접 쓴다,내 손으로 직접 했다 — 자기 일은 자기가 한다.,내 추억과 관심사를 떠올려서 내 말로 쓴다.,25,20,+,+,20,8,A1. 추억과 관심사를 정리해 자기 말로 쓴다,내 경험을 들여다봤다 — 자기 안에서 글이 나온다.,초등학교 때 축구하다가 처음 골을 넣었던 일과 요즘 그림 그리는 걸 좋아한다는 말을 넣었다. 글은 조금 느리게 나왔지만 읽어 보니 내 얘기 같았다.,12,10,++,++,20,10,R3. 처음부터 다시 읽고 내 얘기인지 확인,처음부터 다시 읽으니 빠진 것이 보였다. 도메인지식 +3,처음부터 다시 읽고 올해 해 보고 싶은 일을 한 줄 더 넣었다. 자기 자리가 한 단계 깊어졌다.,15,11,++,++,30,88,자기성찰,자기지식,5,자기 경험을 직접 고르고 끝까지 확인하는 자리 — 자기지식 카드와 강한 매칭,"자기지식, 정리력, 표현력, 자기검증",30,초등학교 때 축구하다가 처음 골을 넣었던 일과 요즘 그림 그리는 걸 좋아한다는 말을 넣었다. 글은 조금 느리게 나왔지만 읽어 보니 내 얘기 같았다.,내 경험이 들어간 자기소개,자기소개는 자기가 가장 잘 안다 — 위임할 일이 아니었다.,98,S,내 말 카드,내가 직접 고른 말이라 게시판에 붙어도 괜찮았다.
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A2R1,A. 직접 쓴다,내 손으로 직접 했다 — 자기 일은 자기가 한다.,내 추억과 관심사를 떠올려서 내 말로 쓴다.,25,20,+,+,20,8,A2. 자기 말로 쓰다가 한두 표현만 AI에 다듬어 달라 한다,자기 글에 AI 손이 점만 닿았다 — 내용은 내 것이고 표현이 매끄러워졌다.,직접 자기 말로 쓰다가 한두 표현이 어색해서 AI에게 다듬어 달라 했다. 내 말투는 그대로인데 한두 문장이 매끄러워졌다.,6,6,+,+,20,7,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,자기 말로 쓰다가 어색한 한두 표현만 AI에 다듬어 받았다. 내용은 자기 안에서 나왔다.,2,1,+,+,10,65,자기성찰 / 표현·소통,,,,"자기지식, 표현력",18,직접 자기 말로 쓰다가 한두 표현이 어색해서 AI에게 다듬어 달라 했다. 내 말투는 그대로인데 한두 문장이 매끄러워졌다.,내 글에 AI 손이 점만 닿은 자기소개,AI는 자기 글의 표현을 점만 손볼 때 도구가 된다 — 내용은 내 일.,70,A,다듬은 자기소개 카드,내 말투는 그대로고 표현 두 군데가 매끄러워졌다.
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A2R2,A. 직접 쓴다,내 손으로 직접 했다 — 자기 일은 자기가 한다.,내 추억과 관심사를 떠올려서 내 말로 쓴다.,25,20,+,+,20,8,A2. 자기 말로 쓰다가 한두 표현만 AI에 다듬어 달라 한다,자기 글에 AI 손이 점만 닿았다 — 내용은 내 것이고 표현이 매끄러워졌다.,직접 자기 말로 쓰다가 한두 표현이 어색해서 AI에게 다듬어 달라 했다. 내 말투는 그대로인데 한두 문장이 매끄러워졌다.,6,6,+,+,20,7,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽으며 AI가 바꾼 한 표현이 자기 말투와 달라 원래 말로 되돌렸다.,5,4,+,+,20,75,자기성찰 / 표현·소통,,,,"자기지식, 표현력, 검수능력",20,직접 자기 말로 쓰다가 한두 표현이 어색해서 AI에게 다듬어 달라 했다. 내 말투는 그대로인데 한두 문장이 매끄러워졌다.,내 글에 AI 손이 점만 닿은 자기소개,AI는 자기 글의 표현을 점만 손볼 때 도구가 된다 — 내용은 내 일.,75,A,AI 표현 검수 카드,AI가 다듬은 표현 중 내 말투에 맞는 것만 남겼다.
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A2R3,A. 직접 쓴다,내 손으로 직접 했다 — 자기 일은 자기가 한다.,내 추억과 관심사를 떠올려서 내 말로 쓴다.,25,20,+,+,20,8,A2. 자기 말로 쓰다가 한두 표현만 AI에 다듬어 달라 한다,자기 글에 AI 손이 점만 닿았다 — 내용은 내 것이고 표현이 매끄러워졌다.,직접 자기 말로 쓰다가 한두 표현이 어색해서 AI에게 다듬어 달라 했다. 내 말투는 그대로인데 한두 문장이 매끄러워졌다.,6,6,+,+,20,7,R3. 처음부터 다시 읽고 내 얘기인지 확인,처음부터 다시 읽으니 빠진 것이 보였다. 도메인지식 +3,AI가 다듬은 문장과 처음 쓴 문장을 나란히 두고 자기 말투에 맞는 쪽을 골랐다.,15,11,+,++,30,85,자기성찰 / 표현·소통,,,,"자기지식, 표현력, 검수능력, 자기검증",23,직접 자기 말로 쓰다가 한두 표현이 어색해서 AI에게 다듬어 달라 했다. 내 말투는 그대로인데 한두 문장이 매끄러워졌다.,내 글에 AI 손이 점만 닿은 자기소개,AI는 자기 글의 표현을 점만 손볼 때 도구가 된다 — 내용은 내 일.,81,A,함께 다듬은 카드,"AI는 표현을 밀어 줬고, 내용은 내가 붙잡았다."
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A3R1,A. 직접 쓴다,내 손으로 직접 했다 — 자기 일은 자기가 한다.,내 추억과 관심사를 떠올려서 내 말로 쓴다.,25,20,+,+,20,8,A3. 떠오르는 대로 쓰고 바로 끝낸다,떠오르는 대로 내보냈다 — 자기 안에서 끌어냈지만 정리 없이 나갔다.,생각나는 대로 쓰다 보니 문장이 길어졌다가 갑자기 끝났다. 농구 얘기도 있고 게임 얘기도 있는데 서로 잘 이어지지는 않았다.,2,1,0,+,20,3,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,떠오르는 대로 적고 그대로 냈다. 자기 안에서 나왔지만 묶이지 않은 채 흩어졌다.,2,1,0,0,10,61,자기성찰,,,,자기지식,12,생각나는 대로 쓰다 보니 문장이 길어졌다가 갑자기 끝났다. 농구 얘기도 있고 게임 얘기도 있는데 서로 잘 이어지지는 않았다.,흩어진 자기소개,자기 안에서 끌어냈지만 정리 없이 흩어졌다 — 자기 글이라도 묶지 않으면 자기가 안 보인다.,48,C,흩어진 자기소개,내 생각은 있었지만 한곳에 모이지 않았다.
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A3R2,A. 직접 쓴다,내 손으로 직접 했다 — 자기 일은 자기가 한다.,내 추억과 관심사를 떠올려서 내 말로 쓴다.,25,20,+,+,20,8,A3. 떠오르는 대로 쓰고 바로 끝낸다,떠오르는 대로 내보냈다 — 자기 안에서 끌어냈지만 정리 없이 나갔다.,생각나는 대로 쓰다 보니 문장이 길어졌다가 갑자기 끝났다. 농구 얘기도 있고 게임 얘기도 있는데 서로 잘 이어지지는 않았다.,2,1,0,+,20,3,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽으며 갑자기 끝나는 문장을 찾아 한 줄을 덧붙였다.,3,3,0,0,20,71,자기성찰,,,,"자기지식, 정리력",14,생각나는 대로 쓰다 보니 문장이 길어졌다가 갑자기 끝났다. 농구 얘기도 있고 게임 얘기도 있는데 서로 잘 이어지지는 않았다.,흩어진 자기소개,자기 안에서 끌어냈지만 정리 없이 흩어졌다 — 자기 글이라도 묶지 않으면 자기가 안 보인다.,57,B,다시 묶은 카드,읽어 보니 어디가 이상한지 조금 보였다.
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A3R3,A. 직접 쓴다,내 손으로 직접 했다 — 자기 일은 자기가 한다.,내 추억과 관심사를 떠올려서 내 말로 쓴다.,25,20,+,+,20,8,A3. 떠오르는 대로 쓰고 바로 끝낸다,떠오르는 대로 내보냈다 — 자기 안에서 끌어냈지만 정리 없이 나갔다.,생각나는 대로 쓰다 보니 문장이 길어졌다가 갑자기 끝났다. 농구 얘기도 있고 게임 얘기도 있는데 서로 잘 이어지지는 않았다.,2,1,0,+,20,3,R3. 처음부터 다시 읽고 내 얘기인지 확인,처음부터 다시 읽으니 빠진 것이 보였다. 도메인지식 +3,흩어진 얘기 중 가장 쓰고 싶은 하나를 골라 글의 중심을 다시 잡았다.,13,10,0,+,30,81,자기성찰,자기성찰,5,흩어진 생각을 다시 묶어 보는 자리 — 자기성찰 카드와 강한 매칭,"자기지식, 정리력, 자기성찰, 검수능력",17,생각나는 대로 쓰다 보니 문장이 길어졌다가 갑자기 끝났다. 농구 얘기도 있고 게임 얘기도 있는데 서로 잘 이어지지는 않았다.,흩어진 자기소개,자기 안에서 끌어냈지만 정리 없이 흩어졌다 — 자기 글이라도 묶지 않으면 자기가 안 보인다.,65,B,고쳐 잡은 나 카드,흩어진 말 중에서 진짜 쓰고 싶은 말을 골랐다.
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,B1R1,B. AI에게 부탁한다,AI에 위임했다 — 자기소개를 AI에 시킬 일인지 따져봐야 한다.,AI에게 정보를 주고 자기소개 글을 받아 본다.,6,5,-,-,20,4,B1. AI에게 이름만 주고 만들어 달라고 한다,AI에 다 맡겼다 — 내 빈자리를 가짜로 메운다.,AI가 내 이름을 넣어 반듯한 자기소개를 써 줬다. 그런데 글 안에는 내가 말한 적 없는 봉사활동과 독서 습관이 들어 있었다.,2,1,--,-,20,1,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,이름만 주고 받은 AI 글을 그대로 냈다. 자기 자리에 자기가 없는 글이 들어갔다.,2,1,--,--,10,55,인식·해석,,,,,8,AI가 내 이름을 넣어 반듯한 자기소개를 써 줬다. 그런데 글 안에는 내가 말한 적 없는 봉사활동과 독서 습관이 들어 있었다.,겉은 반듯하지만 내가 빠진 자기소개,AI에 자기소개를 시키면 내가 아닌 사람이 인사하게 된다.,15,D,,내가 안 적은 자기소개에는 내가 거의 없었다.
