시나리오,경로,등급,"새 규칙(선택 시점 획득, 중복 차단 반영)",기존 finals(결말 일괄),중복 차단된 장수,차이
selfintro,A1R1,A,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 자기이해,인간중심: [중심잡기] 주체성 / 도메인: 자기이해 / 도메인: 표현력,,새 규칙에만:  | finals에만: 표현력
selfintro,A1R2,A,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 자기이해 / 검토 도메인: 검토력,인간중심: [중심잡기] 주체성 / 도메인: 자기이해 / 도메인: 표현력 / 도메인: 검토력,,새 규칙에만:  | finals에만: 표현력
selfintro,A1R3,S,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 자기이해 / 검토 도메인: 검토력,인간중심: [중심잡기] 주체성 / 도메인: 자기이해 / 도메인: 표현력 / 도메인: 검토력,,새 규칙에만:  | finals에만: 표현력
selfintro,A2R1,B,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 자기이해,인간중심: [중심잡기] 주체성 / 도메인: 자기이해 / 도메인: 표현력,,새 규칙에만:  | finals에만: 표현력
selfintro,A2R2,A,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 자기이해 / 검토 도메인: 검토력,인간중심: [중심잡기] 주체성 / 도메인: 자기이해 / 도메인: 표현력 / 도메인: 검토력,,새 규칙에만:  | finals에만: 표현력
selfintro,A2R3,A,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 자기이해 / 검토 도메인: 검토력,인간중심: [중심잡기] 주체성 / 도메인: 자기이해 / 도메인: 표현력 / 도메인: 검토력,,새 규칙에만:  | finals에만: 표현력
selfintro,A3R1,C,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 표현력,(없음),,"새 규칙에만: [중심잡기] 주체성, 표현력 | finals에만:"
selfintro,A3R2,B,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 표현력 / 검토 도메인: 검토력,인간중심: [성찰하기] 성찰적 사고 / 도메인: 자기이해 / 도메인: 표현력,,"새 규칙에만: [중심잡기] 주체성, 검토력 | finals에만: [성찰하기] 성찰적 사고, 자기이해"
selfintro,A3R3,A,T1 인간중심: [중심잡기] 주체성 / T2 도메인: 표현력 / 검토 도메인: 검토력,인간중심: [성찰하기] 성찰적 사고 / 도메인: 자기이해 / 도메인: 표현력 / 도메인: 검토력,,"새 규칙에만: [중심잡기] 주체성 | finals에만: [성찰하기] 성찰적 사고, 자기이해"
selfintro,B1R1,D,(없음),(없음),,동일
selfintro,B1R2,D,검토 도메인: 검토력,(없음),,새 규칙에만: 검토력 | finals에만:
selfintro,B1R3,C,검토 도메인: 검토력,도메인: 자기이해,,새 규칙에만: 검토력 | finals에만: 자기이해
selfintro,B2R1,C,(없음),(없음),,동일
selfintro,B2R2,C,검토 도메인: 검토력,인간중심: [융합하기] 맥락적 사고 / 도메인: 자기이해 / 도메인: 표현력,,"새 규칙에만: 검토력 | finals에만: [융합하기] 맥락적 사고, 자기이해, 표현력"
selfintro,B2R3,B,검토 도메인: 검토력,인간중심: [융합하기] 맥락적 사고 / 도메인: 자기이해 / 도메인: 표현력 / 도메인: 검토력,,"새 규칙에만:  | finals에만: [융합하기] 맥락적 사고, 자기이해, 표현력"
selfintro,B3R1,B,T2 도메인: 검토력 / T2 인간중심: [융합하기] 통합적 사고,인간중심: [융합하기] 통합적 사고 / 도메인: 자기이해 / 도메인: 표현력,,"새 규칙에만: 검토력 | finals에만: 자기이해, 표현력"
