episode_id,choice_index,icon_type,title,meaning
soldier,1,envelope,군인의 편지,개인의 감정과 체험을 기록으로 남긴다
soldier,2,newspaper,신문 보도,공식적 사실 기록을 남긴다
soldier,3,camera,사진,시각적 증거를 남긴다
soldier,4,mic,구술 인터뷰,살아있는 목소리를 기록으로 남긴다
student,1,notebook,초등학생의 일기,아이의 시선으로 본 일상을 기록으로 남긴다
student,2,screen,뉴스 보도,공식 보도를 통한 사실 기록을 남긴다
student,3,camera,사진,시각적 장면을 기록으로 남긴다
student,4,mic,교사의 구술,어른의 시선으로 본 현장을 기록으로 남긴다
historian,1,book,학자의 일기,한 사람의 평생에 걸친 꿈을 기록으로 남긴다
historian,2,newspaper,신문 보도,학술적 사실과 정책 기록을 남긴다
historian,3,camera,사진,유적의 현재 모습을 시각적 증거로 남긴다
historian,4,mic,향토사학자 구술,현장의 살아있는 이야기를 기록으로 남긴다
