scenario_id,type,id,parent,label,desc,lesson,basePoint,varPoint,points,boostType,delegation,knowledge,delta_afterA_del,delta_afterA_know,delta_afterB_del,delta_afterB_know,delta_afterC_del,delta_afterC_know,stageCost_time,stageCost_energy,result_text,result_summary,result_lesson,result_deltaR2,result_deltaR3,result_basePoint,result_hiddenIssues,matchGroups,discountTags_humanCentric,discountTags_domain,discountTags_strongDomain
selfintro,tier1,A,,내 이야기를 먼저 찾아본다,"완벽하지 않아도 내 단어, 내 기억, 내 초안에서 시작한다.",내 자리에서 시작했다 — AI를 쓰더라도 나를 대신 소개하게 하지 않았다.,10,15,,,+,+,,,,,,,1,1,,,,,,,,,중심잡기,자기이해,
selfintro,tier1,B,,AI에게 시작을 도움받는다,"AI를 질문자, 구조 제공자, 초안 제공자로 쓰면서 시작을 도움받는다.",AI로 시작을 열었다 — 내가 질문에 답하고 내 경험을 넣지 않으면 글이 일반적으로 흐를 수 있다.,10,0,,,-,-,,,,,,,1,1,,,,,,,,,중심잡기,표현력,
selfintro,tier1,C,,AI에게 자기소개를 맡겨본다,AI에게 자기소개 결과물을 먼저 맡기는 길이다.,결과물부터 맡겼다 — 검토 단계에서 내 재료와 말투를 얼마나 되찾는지가 중요하다.,10,8,,,0,0,,,,,,,1,1,,,,,,,,,성찰하기,검토력,
selfintro,tier2,A1,A,나를 떠올리는 단어에서 시작해 직접 글을 쓴다,,내가 고른 단어에서 글이 시작됐다 — 자기 안에서 재료를 찾는 것이 자기소개의 출발점이다.,10,25,,,,,++,++,+,+,+,+,16,14,내가 고른 단어를 바탕으로 직접 이어 썼다. 단어마다 뭔가 설명하려는 문장이 있었지만 연결이 어색하거나 설명이 부족한 곳도 있었다.,내가 고른 단어로 시작한 자기소개,자기 단어에서 글이 시작됐다 — 어색해도 내 재료가 들어간 자리다.,3,6,,,자기성찰,중심잡기,자기이해;표현력,자기이해
selfintro,tier2,A2,A,나를 소개할 만한 일을 떠올려 짧은 이야기로 쓴다,,실제로 겪은 일에서 글이 나왔다 — 경험이 자기소개의 근거가 된다.,10,12,,,,,+,+,+,+,+,+,15,13,실제로 겪은 일을 짧게 적은 이야기형 초안이 만들어졌다. 사건은 보이지만 그 일이 왜 나를 보여주는지는 아직 분명하지 않았다.,실제 경험이 들어간 자기소개,경험이 들어오면 자기소개에 무게가 생긴다 — 왜 그 경험인지가 연결될 때 글이 완성된다.,5,11,,,자기성찰;표현·소통,중심잡기,자기이해;표현력,자기이해
selfintro,tier2,A3,A,서툴어도 일단 초안을 쓴 뒤 필요한 도움만 받는다,,짧고 서툴어도 내가 먼저 썼다 — 내 말투는 살아 있지만 더 다듬을 여지가 남는다.,10,0,,,,,0,+,-,0,0,0,12,10,짧고 서툴지만 내가 직접 쓴 초안이 만들어졌다. 내 말투는 살아 있었지만 내용이 부족하거나 반복되는 부분이 있었다.,내 말투가 살아 있는 초안,"서툴어도 먼저 썼다 — 내 말투는 살아 있고, 더 다듬을 자리도 보인다.",9,17,,,자기성찰,성찰하기,표현력;검토력,표현력
selfintro,tier2,B1,B,AI 질문에 떠오르는 만큼 답하고 글을 만든다,,AI 질문에 답하며 글이 시작됐다. 다만 답이 구체적이지 않으면 AI가 빈자리를 채워 일반적인 글로 흐를 수 있다.,10,0,,,,,-,-,--,-,--,-,6,5,AI가 준 질문에 답한 내용을 바탕으로 자기소개 초안이 만들어졌다. 시작은 쉬웠지만 답이 짧거나 경험이 빠진 자리가 있었다.,AI 질문에서 시작한 자기소개,AI 질문이 시작을 도왔다 — 내 이유와 경험이 들어가야 내 자기소개가 된다.,13,23,,AI 질문에 짧게만 답해 왜 그렇게 생각하는지가 빠진 자리가 있음;실제 경험이 없는 답이 그대로 글로 들어갈 수 있음;문장은 자연스럽지만 내 특징을 드러내는 내용이 약함,인식·해석,중심잡기,탐색력;자기이해,탐색력
selfintro,tier2,B2,B,AI에게 글의 순서를 받고 내 이야기에 맞게 바꾼다,,AI 구조에 내 이야기를 채웠다 — 틀은 정리됐지만 내용이 틀에 맞춰 들어간 느낌이 남을 수 있다.,10,5,,,,,0,0,0,0,0,0,8,6,AI가 준 자기소개 순서를 바탕으로 내 정보를 넣고 일부 순서를 바꿨다. 구조는 정리됐지만 빈칸을 채운 느낌이 남았다.,AI 구조에 내 이야기를 채운 자기소개,구조는 빌렸지만 내용은 내 것이었다 — 내가 말하고 싶은 부분이 잘 보이는지 확인이 필요하다.,8,15,,,인식·해석;표현·소통,융합하기,표현력;자기이해,표현력
selfintro,tier2,B3,B,AI 초안을 받고 좋아 보이는 문장과 내 메모를 섞어 글을 만든다,,AI 문장과 내 메모가 섞였다 — 어떤 표현이 내 이야기의 중심인지 확인하는 것이 핵심이다.,10,25,,,,,++,++,++,++,++,++,10,8,AI 초안에서 좋아 보이는 문장을 고르고 내가 쓴 짧은 메모를 함께 넣어 초안이 만들어졌다. 문장은 자연스럽지만 어느 표현이 내 이야기의 중심인지 흐릿했다.,AI 문장과 내 메모가 섞인 자기소개,AI 표현과 내 메모가 섞였다 — 내 메모의 표현이 살아 있는지 확인하는 것이 핵심이다.,5,12,,,인식·해석;표현·소통,융합하기,검토력;표현력,검토력
selfintro,tier2,C1,C,아무 정보 없이 AI에게 바로 써달라고 한다,,AI가 아무 정보 없이 만든 글에서 시작했다 — 문장은 매끄럽지만 내 이야기는 거의 없다.,10,-10,,,,,-,-,--,-,--,-,3,2,AI가 아무 정보 없이 만든 일반적인 자기소개 초안이 만들어졌다. 문장은 매끄럽지만 실제 나에 대한 정보는 거의 없었다.,AI가 상상한 학생의 자기소개,AI가 상상한 글에는 내가 없다 — 검토에서 얼마나 내 이야기를 되찾는지가 전부다.,5,12,,,인식·해석,성찰하기,검토력,검토력
selfintro,tier2,C2,C,내 정보 몇 가지만 넣어 AI에게 써달라고 한다,,기본 정보는 들어갔지만 이유와 맥락은 부족했다 — 검토에서 얼마나 채우는지가 중요하다.,10,5,,,,,0,0,0,0,0,0,5,4,"이름, 취미, 좋아하는 과목, 성격 같은 기본 정보를 바탕으로 AI가 만든 초안이 만들어졌다. 내 정보는 들어 있지만 이유와 맥락이 부족했다.",내 정보가 들어간 AI 자기소개,정보가 들어가도 이유가 없으면 글이 얕아진다 — 왜 그것을 좋아하는지가 내 자기소개를 만든다.,10,20,,기본 정보는 들어 있지만 이유와 경험이 빠진 자리가 있음;내가 실제로 어떤 사람인지보다 항목 나열로 보일 수 있음,인식·해석;표현·소통,성찰하기,자기이해;검토력,자기이해
selfintro,tier2,C3,C,AI 글을 받은 뒤 내 글로 다시 쓴다,,"AI 흐름을 참고해 다시 썼다 — 내가 동의하는 내용만 골랐는지, 내 이야기가 들어갔는지가 핵심이다.",10,15,,,,,+,+,+,+,+,+,11,9,AI 글의 흐름이나 표현을 참고하되 내가 동의하는 내용만 골라 다시 썼다. AI에서 출발했지만 일부 판단은 내가 한 상태였다.,AI 흐름을 참고해 다시 쓴 자기소개,AI 흐름에 맞추다 보면 내 이야기가 덜 들어갈 수 있다 — 내가 동의한 내용이 내 경험과 연결되는지 확인이 필요하다.,11,20,,AI 흐름을 따르다 내 이야기가 덜 들어간 부분이 남을 수 있음;내가 실제로 설명할 수 있는 문장인지 확인이 필요함,자기성찰;인식·해석,융합하기,표현력;검토력,검토력
selfintro,review,R1,,바로 반 게시판 글로 넘긴다,확인하지 않고 바로 넘겼다. 빠르게 끝났지만 어색한 표현이나 내가 책임지기 어려운 내용이 남을 수 있다.,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,,10,none,,,,,,,,,2,1,,,,,,,,,,,
selfintro,review,R2,,어색한 문장과 내 말투가 아닌 표현만 고친다,"어색한 문장과 내 말투가 아닌 표현을 골라 고쳤다. 글의 표면은 다듬었지만, 내용의 중심까지 모두 확인한 것은 아니다.",한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,,,18,explicit,,,,,,,,,5,4,,,,,,,,,성찰하기,검토력;표현력,검토력
selfintro,review,R3,,친구가 물어봐도 내가 설명할 수 있는 내용인지 다시 본다,친구가 물어봐도 내가 설명할 수 있는 내용인지 처음부터 다시 확인했다. 자기소개를 내가 책임질 수 있는 글로 만드는 검토다.,처음부터 다시 읽으니 빠진 것이 보였다. 도메인지식 +3,,,30,all,,,,,,,,,10,8,,,,,,,,,성찰하기,검토력;자기이해,검토력
groupwork,tier1,A,,모둠과 먼저 방향을 정한다,"모둠이 함께 발표 질문을 정하고, 역할을 나누고, 각자 맡은 내용을 이해하려는 길이다.",모둠 자리에서 시작했다 — 발표는 모둠이 함께 이해한 이야기일 때 단단하다.,10,15,,,+,+,,,,,,,1,1,,,,,,,,,중심잡기,협업력;소통력,
groupwork,tier1,B,,AI로 발표 준비를 빠르게 만들어본다,"AI에게 발표 개요, 슬라이드 문구, 발표 대본 같은 결과물을 빠르게 받아보는 길이다.",AI 결과물부터 받았다 — 우리 동네와 모둠 생각이 약해진다.,10,0,,,-,-,,,,,,,1,1,,,,,,,,,중심잡기,자료판단력,
groupwork,tier1,C,,각자 따로 준비하거나 발표 모양부터 만든다,"모둠 회의를 충분히 하지 않고 각자 자료를 찾거나, 발표 잘하는 친구에게 맡기거나, 슬라이드 디자인과 대본의 모양을 먼저 만드는 길이다.",회의 없이 또는 모양부터 만들었다 — 완성된 것처럼 보이는 발표와 모둠이 이해한 발표는 다르다.,10,8,,,0,0,,,,,,,1,1,,,,,,,,,성찰하기,협업력;검토력,
groupwork,tier2,A1,A,모둠원들과 발표 질문을 먼저 정한다,,모둠 질문에서 시작했다 — 발표의 중심이 잡힌다.,10,25,,,,,++,++,+,+,+,+,16,14,"모둠원들이 함께 정한 발표 질문 하나가 만들어진다. 예를 들어 “우리 동네에서 청소년이 안전하게 쉴 공간은 충분한가?”처럼 발표의 중심이 되는 질문은 생겼지만, 아직 자료와 역할은 정리되지 않았다.",모둠 질문 중심의 발표 준비,모둠 질문에서 시작했다 — 발표의 중심이 잡힌다.,3,6,93,,표현·소통,성찰하기,협업력;소통력,협업력
groupwork,tier2,A2,A,역할을 나누고 각자 맡을 내용을 정한다,,역할을 나눴다 — 나뉜 일이 발표 흐름과 어떻게 이어지는지가 다음 자리다.,10,12,,,,,+,+,+,+,+,+,14,12,"자료조사, 슬라이드, 발표, 정리 같은 역할이 나뉘고, 각자 맡을 내용이 정리된 역할 분담표가 만들어진다. 역할은 나뉘었지만, 각 역할이 발표의 전체 흐름과 어떻게 이어지는지는 아직 확인이 필요하다.",역할 분담 + 흐름 정합 발표 준비,역할을 나눴다 — 나뉜 일이 발표 흐름과 어떻게 이어지는지가 다음 자리다.,5,11,70,,표현·소통,성찰하기,협업력;학습력,협업력
groupwork,tier2,A3,A,내가 맡은 내용을 먼저 이해하고 말로 정리한다,,내 파트를 이해했다 — 말로 설명할 수 있어야 내 발표가 된다.,10,0,,,,,0,+,-,0,0,0,15,13,"내가 맡은 자료를 읽고 세 문장으로 정리하거나, 발표할 부분을 말로 연습한 초안이 만들어진다. 내 파트의 핵심은 잡혔지만, 설명하기 어려운 단어나 예상 질문은 아직 남아 있을 수 있다.",내 파트 이해 + 말로 설명 가능한 준비,내 파트를 이해했다 — 말로 설명할 수 있어야 내 발표가 된다.,9,17,49,,표현·소통;자기성찰,성찰하기,표현력;문해력,표현력
