시나리오,경로,1차 위임종류,2차 위임종류(보정),검토 깊이,최종점수(verdict),등급,단계합(참고),시간비용합,에너지비용합,1차점수,2차점수,검토점수,최종 위임변화,최종 지식변화
자기소개글,A1R1,내가 직접,내가 직접,R1 무검토(○),86,A,70,18,15,25,35,10,++,++
자기소개글,A1R2,내가 직접,내가 직접,R2 표면검토(◐),91,A,78,21,18,25,35,18,++,++
자기소개글,A1R3,내가 직접,내가 직접,R3 깊은검토(●),97,S,90,26,22,25,35,30,++,++
자기소개글,A2R1,내가 직접,내가 직접,R1 무검토(○),78,B,57,17,14,25,22,10,+,++
자기소개글,A2R2,내가 직접,내가 직접,R2 표면검토(◐),86,A,65,20,17,25,22,18,+,++
자기소개글,A2R3,내가 직접,내가 직접,R3 깊은검토(●),92,A,77,25,21,25,22,30,+,++
자기소개글,A3R1,내가 직접,내가 직접(→위임쪽),R1 무검토(○),62,C,45,14,11,25,10,10,+,+
자기소개글,A3R2,내가 직접,내가 직접(→위임쪽),R2 표면검토(◐),76,B,53,17,14,25,10,18,+,+
자기소개글,A3R3,내가 직접,내가 직접(→위임쪽),R3 깊은검토(●),85,A,65,22,18,25,10,30,+,+
자기소개글,B1R1,부분 위임,부분 위임(→직접쪽),R1 무검토(○),28,D,30,8,6,10,10,10,+,0
자기소개글,B1R2,부분 위임,부분 위임(→직접쪽),R2 표면검토(◐),45,D,38,11,9,10,10,18,+,0
자기소개글,B1R3,부분 위임,부분 위임(→직접쪽),R3 깊은검토(●),60,C,50,16,13,10,10,30,+,0
자기소개글,B2R1,부분 위임,부분 위임,R1 무검토(○),62,C,35,10,7,10,15,10,+,+
자기소개글,B2R2,부분 위임,부분 위임,R2 표면검토(◐),72,C,43,13,10,10,15,18,+,+
자기소개글,B2R3,부분 위임,부분 위임,R3 깊은검토(●),84,B,55,18,14,10,15,30,+,+
자기소개글,B3R1,부분 위임,부분 위임(→위임쪽),R1 무검토(○),78,B,55,12,9,10,35,10,++,+
자기소개글,B3R2,부분 위임,부분 위임(→위임쪽),R2 표면검토(◐),86,A,63,15,12,10,35,18,++,+
자기소개글,B3R3,부분 위임,부분 위임(→위임쪽),R3 깊은검토(●),95,S,75,20,16,10,35,30,++,+
자기소개글,C1R1,전체 위임,전체 위임(→위임쪽),R1 무검토(○),18,D,28,5,3,18,0,10,--,--
자기소개글,C1R2,전체 위임,전체 위임(→위임쪽),R2 표면검토(◐),32,D,36,8,6,18,0,18,--,--
자기소개글,C1R3,전체 위임,전체 위임(→위임쪽),R3 깊은검토(●),45,D,48,13,10,18,0,30,--,--
자기소개글,C2R1,전체 위임,전체 위임,R1 무검토(○),42,D,43,7,5,18,15,10,-,0
자기소개글,C2R2,전체 위임,전체 위임,R2 표면검토(◐),60,C,51,10,8,18,15,18,-,0
자기소개글,C2R3,전체 위임,전체 위임,R3 깊은검토(●),72,C,63,15,12,18,15,30,-,0
자기소개글,C3R1,전체 위임,전체 위임(→직접쪽),R1 무검토(○),66,C,53,13,10,18,25,10,+,+
자기소개글,C3R2,전체 위임,전체 위임(→직접쪽),R2 표면검토(◐),80,B,61,16,13,18,25,18,+,+
자기소개글,C3R3,전체 위임,전체 위임(→직접쪽),R3 깊은검토(●),90,A,73,21,17,18,25,30,+,+
모둠발표자료,A1R1,내가 직접,내가 직접,R1 무검토(○),86,A,70,18,15,25,35,10,++,++
모둠발표자료,A1R2,내가 직접,내가 직접,R2 표면검토(◐),91,A,78,21,18,25,35,18,++,++
모둠발표자료,A1R3,내가 직접,내가 직접,R3 깊은검토(●),97,S,90,26,22,25,35,30,++,++
모둠발표자료,A2R1,내가 직접,내가 직접,R1 무검토(○),78,B,57,16,13,25,22,10,+,+
모둠발표자료,A2R2,내가 직접,내가 직접,R2 표면검토(◐),85,A,65,19,16,25,22,18,+,+
모둠발표자료,A2R3,내가 직접,내가 직접,R3 깊은검토(●),91,A,77,24,20,25,22,30,+,+
모둠발표자료,A3R1,내가 직접,내가 직접(→직접쪽),R1 무검토(○),82,B,45,17,14,25,10,10,+,++
모둠발표자료,A3R2,내가 직접,내가 직접(→직접쪽),R2 표면검토(◐),88,A,53,20,17,25,10,18,+,++
모둠발표자료,A3R3,내가 직접,내가 직접(→직접쪽),R3 깊은검토(●),96,S,65,25,21,25,10,30,+,++
모둠발표자료,B1R1,부분 위임,부분 위임(→위임쪽),R1 무검토(○),24,D,20,7,5,10,0,10,-,0
모둠발표자료,B1R2,부분 위임,부분 위임(→위임쪽),R2 표면검토(◐),40,D,28,10,8,10,0,18,-,0
모둠발표자료,B1R3,부분 위임,부분 위임(→위임쪽),R3 깊은검토(●),55,D,40,15,12,10,0,30,-,0
모둠발표자료,B2R1,부분 위임,부분 위임(→위임쪽),R1 무검토(○),30,D,35,6,4,10,15,10,-,-
모둠발표자료,B2R2,부분 위임,부분 위임(→위임쪽),R2 표면검토(◐),48,D,43,9,7,10,15,18,-,-
모둠발표자료,B2R3,부분 위임,부분 위임(→위임쪽),R3 깊은검토(●),60,C,55,14,11,10,15,30,-,-
모둠발표자료,B3R1,부분 위임,부분 위임(→직접쪽),R1 무검토(○),76,B,55,12,10,10,35,10,++,+
모둠발표자료,B3R2,부분 위임,부분 위임(→직접쪽),R2 표면검토(◐),86,A,63,15,13,10,35,18,++,+
모둠발표자료,B3R3,부분 위임,부분 위임(→직접쪽),R3 깊은검토(●),95,S,75,20,17,10,35,30,++,+
모둠발표자료,C1R1,전체 위임,전체 위임(→직접쪽),R1 무검토(○),45,D,28,15,12,18,0,10,0,-
모둠발표자료,C1R2,전체 위임,전체 위임(→직접쪽),R2 표면검토(◐),58,D,36,18,15,18,0,18,0,-
모둠발표자료,C1R3,전체 위임,전체 위임(→직접쪽),R3 깊은검토(●),68,C,48,23,19,18,0,30,0,-
모둠발표자료,C2R1,전체 위임,전체 위임(→위임쪽),R1 무검토(○),35,D,43,10,8,18,15,10,-,-
모둠발표자료,C2R2,전체 위임,전체 위임(→위임쪽),R2 표면검토(◐),50,D,51,13,11,18,15,18,-,-
모둠발표자료,C2R3,전체 위임,전체 위임(→위임쪽),R3 깊은검토(●),62,C,63,18,15,18,15,30,-,-
모둠발표자료,C3R1,전체 위임,전체 위임,R1 무검토(○),28,D,38,14,11,18,10,10,0,-
모둠발표자료,C3R2,전체 위임,전체 위임,R2 표면검토(◐),45,D,46,17,14,18,10,18,0,-
모둠발표자료,C3R3,전체 위임,전체 위임,R3 깊은검토(●),60,C,58,22,18,18,10,30,0,-
어린왕자독후감,A1R1,내가 직접,내가 직접(→직접쪽),R1 무검토(○),86,A,70,20,17,25,35,10,+,++
어린왕자독후감,A1R2,내가 직접,내가 직접(→직접쪽),R2 표면검토(◐),91,A,78,23,20,25,35,18,+,++
어린왕자독후감,A1R3,내가 직접,내가 직접(→직접쪽),R3 깊은검토(●),97,S,90,28,24,25,35,30,+,++
어린왕자독후감,A2R1,내가 직접,내가 직접,R1 무검토(○),88,A,57,18,15,25,22,10,+,++
어린왕자독후감,A2R2,내가 직접,내가 직접,R2 표면검토(◐),93,A,65,21,18,25,22,18,+,++
어린왕자독후감,A2R3,내가 직접,내가 직접,R3 깊은검토(●),98,S,77,26,22,25,22,30,+,++
어린왕자독후감,A3R1,내가 직접,내가 직접(→직접쪽),R1 무검토(○),82,B,45,20,17,25,10,10,++,++
어린왕자독후감,A3R2,내가 직접,내가 직접(→직접쪽),R2 표면검토(◐),90,A,53,23,20,25,10,18,++,++
어린왕자독후감,A3R3,내가 직접,내가 직접(→직접쪽),R3 깊은검토(●),96,S,65,28,24,25,10,30,++,++
어린왕자독후감,B1R1,부분 위임,부분 위임(→위임쪽),R1 무검토(○),60,C,30,11,9,10,10,10,+,+
어린왕자독후감,B1R2,부분 위임,부분 위임(→위임쪽),R2 표면검토(◐),73,C,38,14,12,10,10,18,+,+
어린왕자독후감,B1R3,부분 위임,부분 위임(→위임쪽),R3 깊은검토(●),82,B,50,19,16,10,10,30,+,+
어린왕자독후감,B2R1,부분 위임,부분 위임(→직접쪽),R1 무검토(○),66,C,35,11,9,10,15,10,+,+
어린왕자독후감,B2R2,부분 위임,부분 위임(→직접쪽),R2 표면검토(◐),78,B,43,14,12,10,15,18,+,+
어린왕자독후감,B2R3,부분 위임,부분 위임(→직접쪽),R3 깊은검토(●),88,A,55,19,16,10,15,30,+,+
어린왕자독후감,B3R1,부분 위임,부분 위임(→직접쪽),R1 무검토(○),82,B,55,14,11,10,35,10,+,+
어린왕자독후감,B3R2,부분 위임,부분 위임(→직접쪽),R2 표면검토(◐),90,A,63,17,14,10,35,18,+,+
어린왕자독후감,B3R3,부분 위임,부분 위임(→직접쪽),R3 깊은검토(●),97,S,75,22,18,10,35,30,+,+
어린왕자독후감,C1R1,전체 위임,전체 위임(→위임쪽),R1 무검토(○),14,D,28,6,4,18,0,10,--,--
어린왕자독후감,C1R2,전체 위임,전체 위임(→위임쪽),R2 표면검토(◐),28,D,36,9,7,18,0,18,--,--
어린왕자독후감,C1R3,전체 위임,전체 위임(→위임쪽),R3 깊은검토(●),60,C,48,14,11,18,0,30,--,--
