번호,구분,시나리오,위치,수정 전,수정 후,피터공 판단
1,텍스트(보류),자기소개 글,B1R1.reportReflection,내 말에서 시작했더라도 마지막 확인이 부족하면 소개의 힘이 약해진다.,"AI 질문에 답하며 이야기는 모았지만, 확인 없이 올려서 이 글이 정말 나다운지 모른 채 끝났다.",
2,텍스트(보류),자기소개 글,C2R1.reportReflection,내 말에서 시작했더라도 마지막 확인이 부족하면 소개의 힘이 약해진다.,글은 AI가 썼고 나는 정보 몇 가지만 줬다. 확인도 없이 냈으니 내 소개라고 말하기 어렵다.,
3,텍스트(보류),자기소개 글,C3R1.reportReflection,내 말에서 시작했더라도 마지막 확인이 부족하면 소개의 힘이 약해진다.,"AI 글을 내 글로 다시 쓴 건 좋았지만, 확인 없이 내서 다시 쓴 의미가 절반만 남았다.",
4,텍스트(보류),자기소개 글,B2R1.reportReflection,내 말에서 시작했더라도 마지막 확인이 부족하면 소개의 힘이 약해진다.,순서는 AI에게 받았어도 채운 이야기는 내 것이었다. 그런데 마지막 확인을 건너뛰어 그 장점이 드러나지 못했다.,
5,텍스트(보류),자기소개 글,A3R2.reportReflection,"내 경험은 들어갔지만, 왜 그것이 나를 보여주는지 더 분명히 할 필요가 있다.","서툴러도 직접 쓴 초안이 글의 중심을 잡았다. 표현은 다듬었지만, 이 글이 나를 잘 보여주는지까지는 확인하지 못했다.",
6,텍스트(보류),자기소개 글,C2R2.replaySuggestion,다시 해본다면 그대로 진행하기 전에 이상한 부분을 표시하거나 처음부터 다시 확인해 보세요.,"다시 해본다면 어색한 표현을 고치는 데서 한 발 더 나아가, 내용이 정말 내 이야기인지까지 확인해 보세요.",
7,텍스트(보류),모둠 발표 자료,A2R1.reportReflection,"발표 모양은 빨리 만들었지만, 함께 설명할 수 있는지 확인하는 과정이 부족했다.","역할은 빠르게 나눴지만, 각자 맡은 내용이 하나의 발표로 이어지는지 확인하는 과정이 부족했다.",
8,텍스트(보류),모둠 발표 자료,A1R2.awareness,빠진 출처와 어색한 슬라이드를 고치며 모둠 질문이 더 잘 보였어요. 발표 흐름 전체는 한 번 더 맞출 수 있어요.,모둠 질문에 맞춰 모은 자료에서 빠진 출처와 어색한 부분을 고치며 질문이 더 잘 보였어요. 발표 흐름 전체는 한 번 더 맞출 수 있어요.,
9,텍스트(보류),모둠 발표 자료,A1R2.shortFeedback,빠진 출처와 어색한 슬라이드를 고치며 모둠 질문이 더 잘 보였어요.,모둠 질문에 맞춰 모은 자료의 빠진 출처와 어색한 부분을 고치며 질문이 더 잘 보였어요.,
10,등급-톤,어린왕자 독후감,A3R1.cut6Feedback,이번 결과는 부족했던 과정을 알아차리는 출발점이에요. 다시 시도하며 내 기준과 확인 과정을 세워 볼 수 있어요.,이해되지 않는 부분을 붙들고 직접 쓴 과정이 글에 힘을 줬어요. 내기 전에 한 번만 더 확인했다면 더 단단해졌을 거예요.,
11,등급-톤,어린왕자 독후감,B1R3.cut6Feedback,이번 결과는 부족했던 과정을 알아차리는 출발점이에요. 다시 시도하며 내 기준과 확인 과정을 세워 볼 수 있어요.,요약으로 길을 잡고 중요한 장면을 직접 확인한 균형이 좋았어요. 직접 읽는 부분을 조금 더 늘리면 다음 글이 더 단단해질 거예요.,
12,카드 표기,어린왕자 독후감,A2R2.reportCardSummary,[중심잡기] 주체성 · 문해력 · 표현력,[중심잡기] 주체성 · 문해력 · 검토력,
