경로,1차,2차,검토,〈컷1〉분류,〈컷1〉제목,〈컷1〉상황텍스트,〈컷2〉1차 라벨,〈컷2〉1차 설명,〈컷3〉깊은선택 라벨,〈컷4〉2차 결과물,〈컷4〉결과 요약,〈컷5〉검토 라벨,〈컷5〉검토 학생narrative,〈컷6〉등급,〈컷6〉점수,〈컷6〉짧은피드백,〈컷6〉Cut6피드백,〈컷6〉다시하기제안(C·D),〈카드획득〉인간중심축,〈카드획득〉인간중심태그,〈카드획득〉도메인카드,〈카드획득〉성장카드,〈카드획득〉카드명(아이템),〈리포트〉학습메시지,〈리포트〉리포트피드백,〈리포트〉만화컷1,〈리포트〉만화컷2,〈리포트〉만화컷3,〈리포트〉만화컷4,〈리포트〉만화컷5,〈내부〉1차 위임변화,〈내부〉1차 지식변화,〈내부〉1차 기본점수,〈내부〉1차 변수점수,〈내부〉2차 시간비용,〈내부〉2차 에너지비용,〈내부〉경로 시간비용,〈내부〉경로 에너지비용,〈내부〉EXP,〈내부〉매칭 요구카드,〈내부〉매칭 보너스,〈미사용〉1차 메시지,〈미사용〉깊은선택 메시지,〈미사용〉결과 교훈,〈미사용〉획득역량카드(레거시),〈미사용〉획득카드정리,〈미사용〉보정점수,〈미사용〉보정유형,〈미사용〉보정사유,〈미사용〉매칭 노트
A1R1,A,A1,R1,진로,AI 시대에 내 진로는?,"학기 말 진로 상담을 앞두고 머릿속이 복잡해졌다. AI 때문에 일자리가 사라진다는 말도 들리고, 영어 공부도 실시간 번역이 되면 굳이 해야 하는지 헷갈린다. 어떤 직업이 살아남을지 모르겠고, AI를 안 쓰면 나만 뒤처지는 건 아닌지 걱정된다.",내가 끌리는 것과 걱정하는 것부터 찾아본다,"내가 좋아하는 것, 자주 신경 쓰는 문제, 막연하게 불안한 말을 먼저 살펴보는 길이다.",내가 자주 보는 것과 좋아하는 것을 적어본다,"내가 자주 보는 콘텐츠, 좋아하는 활동, 계속 찾아보게 되는 주제들이 적힌 관심 목록이 만들어진다. 아직 직업으로 정리되지는 않았지만, 내가 어디에 자주 마음을 쓰는지는 보이기 시작한다.",관심 목록 — 마음이 쓰이는 자리,좋아하는 것만 적고 그대로 제출한다,"내 취향은 보이지만, 왜 그것이 나에게 중요한지나 진로탐구와 어떻게 이어지는지는 약한 보고서가 된다.",B,84,내가 자주 보고 좋아하는 것에서 출발해 기준의 씨앗은 생겼어요.,"좋은 방향의 선택이 많았고, 한두 지점을 더 확인하면 더 단단해질 수 있어요.",다시 해본다면 마지막 확인을 한 단계 더 깊게 해 보세요.,중심잡기,주체성,탐색력;자기이해,,AI 시대 질문 카드,미래가 불안해도 마지막 판단은 내가 해야 한다.,내가 자주 보고 좋아하는 것에서 출발해 기준의 씨앗은 생겼어요. 다만 그대로 정리해 실제로 해볼 활동은 아직 약해요.,AI 시대의 진로를 고민해야 하는 상황이 생겼다.,내 관심과 걱정에서 진로 탐색을 시작했다.,내가 자주 보는 것과 좋아하는 것을 적었다.,관심 목록 — 마음이 쓰이는 자리,그럴듯한 결과를 곧 내 진로처럼 받아들였다.,+,+,10,15,14,12,17,14,25,,,내 관심과 걱정에서 시작했다 — 진로탐구는 남의 추천이 아니라 내 질문에서 자란다.,내 관심부터 적었다 — 어디에 마음이 쓰이는지가 진로의 출발점이다.,내 관심부터 적었다 — 어디에 마음이 쓰이는지가 진로의 출발점이다.,진로탐색;정보분석,"탐색력, 분석력",19,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,
A1R2,A,A1,R2,진로,AI 시대에 내 진로는?,"학기 말 진로 상담을 앞두고 머릿속이 복잡해졌다. AI 때문에 일자리가 사라진다는 말도 들리고, 영어 공부도 실시간 번역이 되면 굳이 해야 하는지 헷갈린다. 어떤 직업이 살아남을지 모르겠고, AI를 안 쓰면 나만 뒤처지는 건 아닌지 걱정된다.",내가 끌리는 것과 걱정하는 것부터 찾아본다,"내가 좋아하는 것, 자주 신경 쓰는 문제, 막연하게 불안한 말을 먼저 살펴보는 길이다.",내가 자주 보는 것과 좋아하는 것을 적어본다,"내가 자주 보는 콘텐츠, 좋아하는 활동, 계속 찾아보게 되는 주제들이 적힌 관심 목록이 만들어진다. 아직 직업으로 정리되지는 않았지만, 내가 어디에 자주 마음을 쓰는지는 보이기 시작한다.",관심 목록 — 마음이 쓰이는 자리,왜 좋아하는지 이유를 하나씩 붙인다,"단순한 취향 목록이 아니라, 내가 어떤 장면과 문제에 끌리는지 조금 더 분명해진 진로탐구가 된다.",A,90,낯선 정보와 어색한 말을 확인하며 내 관심이 조금 더 구체화됐어요.,자기 기준을 세우고 마지막 확인까지 해낸 선택이라 결과의 완성도가 높아요.,다시 해본다면 같은 주제를 다른 방식으로 풀어 보며 선택의 차이를 비교해 보세요.,중심잡기,주체성,탐색력;자기이해;자료판단력,,AI 시대 질문 카드,미래가 불안해도 마지막 판단은 내가 해야 한다.,낯선 정보와 어색한 말을 확인하며 내 관심이 조금 더 구체화됐어요. 다음에는 작은 실험으로 이어볼 수 있어요.,AI 시대의 진로를 고민해야 하는 상황이 생겼다.,내 관심과 걱정에서 진로 탐색을 시작했다.,내가 자주 보는 것과 좋아하는 것을 적었다.,관심 목록 — 마음이 쓰이는 자리,낯선 이름과 이상해 보이는 정보만 골라 확인했다.,+,+,10,15,14,12,20,17,27,,,내 관심과 걱정에서 시작했다 — 진로탐구는 남의 추천이 아니라 내 질문에서 자란다.,내 관심부터 적었다 — 어디에 마음이 쓰이는지가 진로의 출발점이다.,내 관심부터 적었다 — 어디에 마음이 쓰이는지가 진로의 출발점이다.,진로탐색;정보분석;검수능력,"탐색력, 분석력, 검토력",17,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,
A1R3,A,A1,R3,진로,AI 시대에 내 진로는?,"학기 말 진로 상담을 앞두고 머릿속이 복잡해졌다. AI 때문에 일자리가 사라진다는 말도 들리고, 영어 공부도 실시간 번역이 되면 굳이 해야 하는지 헷갈린다. 어떤 직업이 살아남을지 모르겠고, AI를 안 쓰면 나만 뒤처지는 건 아닌지 걱정된다.",내가 끌리는 것과 걱정하는 것부터 찾아본다,"내가 좋아하는 것, 자주 신경 쓰는 문제, 막연하게 불안한 말을 먼저 살펴보는 길이다.",내가 자주 보는 것과 좋아하는 것을 적어본다,"내가 자주 보는 콘텐츠, 좋아하는 활동, 계속 찾아보게 되는 주제들이 적힌 관심 목록이 만들어진다. 아직 직업으로 정리되지는 않았지만, 내가 어디에 자주 마음을 쓰는지는 보이기 시작한다.",관심 목록 — 마음이 쓰이는 자리,AI에게 좋아하는 것들 사이의 공통점을 묻게 한 뒤 납득되는 것만 남긴다,"AI가 공통점을 제안하지만, 내가 정말 맞다고 느끼는 것만 골라 내 관심의 방향을 정리한 진로탐구가 된다.",S,96,"내 관심과 걱정, 실제 해볼 활동을 함께 확인했어요.",자기 기준을 세우고 마지막 확인까지 해낸 선택이라 결과의 완성도가 높아요.,다시 해본다면 같은 주제를 다른 방식으로 풀어 보며 선택의 차이를 비교해 보세요.,중심잡기,주체성,탐색력;자기이해;분석력,,내 판단의 단서 카드,미래가 불안해도 마지막 판단은 내가 해야 한다.,"내 관심과 걱정, 실제 해볼 활동을 함께 확인했어요. 미래는 모르지만 내가 따져볼 기준은 만들었어요.",AI 시대의 진로를 고민해야 하는 상황이 생겼다.,내 관심과 걱정에서 진로 탐색을 시작했다.,내가 자주 보는 것과 좋아하는 것을 적었다.,관심 목록 — 마음이 쓰이는 자리,내가 더 배워야 할 부분을 하나 골랐다.,+,+,10,15,14,12,25,21,30,진로탐색,5,내 관심과 걱정에서 시작했다 — 진로탐구는 남의 추천이 아니라 내 질문에서 자란다.,내 관심부터 적었다 — 어디에 마음이 쓰이는지가 진로의 출발점이다.,내 관심부터 적었다 — 어디에 마음이 쓰이는지가 진로의 출발점이다.,진로탐색;정보분석;직업이해;자기검증,"탐색력, 분석력, 검토력",8,합산 유지 또는 미세 조정,단계별 선택의 의미가 최종 결과에 거의 그대로 반영된 경로.,자기 경험을 네 칸으로 나눠 진로 단서를 끝까지 도출하는 자리 — 진로탐색 카드와 강한 매칭
A2R1,A,A2,R1,진로,AI 시대에 내 진로는?,"학기 말 진로 상담을 앞두고 머릿속이 복잡해졌다. AI 때문에 일자리가 사라진다는 말도 들리고, 영어 공부도 실시간 번역이 되면 굳이 해야 하는지 헷갈린다. 어떤 직업이 살아남을지 모르겠고, AI를 안 쓰면 나만 뒤처지는 건 아닌지 걱정된다.",내가 끌리는 것과 걱정하는 것부터 찾아본다,"내가 좋아하는 것, 자주 신경 쓰는 문제, 막연하게 불안한 말을 먼저 살펴보는 길이다.",AI 시대에 내가 걱정하는 말을 적어본다,"“AI가 내 일을 빼앗을까?”, “내가 배우는 것이 쓸모없어질까?”, “나는 뭘 잘할 수 있을까?” 같은 걱정 문장이 적힌 탐구 메모가 만들어진다. 불안은 보이지만, 아직 확인할 질문으로 정리되지는 않았다.",걱정 메모 — 불안을 확인할 질문으로,걱정 문장만 적고 그대로 제출한다,"AI 시대에 대한 불안은 드러나지만, 무엇을 확인해볼지 정하지 못한 채 막연한 걱정으로 남는 진로탐구가 된다.",B,80,AI 시대에 걱정하는 말을 적어 진로 질문이 생겼어요.,출발은 했지만 중요한 확인 과정이 일부 비어 있어요. 다음에는 내가 책임질 수 있는 근거를 더 남겨 보세요.,다시 해본다면 그대로 진행하기 전에 이상한 부분을 표시하거나 처음부터 다시 확인해 보세요.,중심잡기,주체성,자기이해,,내 후보 카드,미래가 불안해도 마지막 판단은 내가 해야 한다.,AI 시대에 걱정하는 말을 적어 진로 질문이 생겼어요. 다만 바로 정리해 걱정을 행동으로 바꾸지는 못했어요.,AI 시대의 진로를 고민해야 하는 상황이 생겼다.,내 관심과 걱정에서 진로 탐색을 시작했다.,AI 시대에 대한 내 걱정을 문장으로 적었다.,걱정 메모 — 불안을 확인할 질문으로,그럴듯한 결과를 곧 내 진로처럼 받아들였다.,+,+,10,15,13,11,16,13,18,,,내 관심과 걱정에서 시작했다 — 진로탐구는 남의 추천이 아니라 내 질문에서 자란다.,내 걱정을 적었다 — 불안은 확인할 질문으로 바꿀 수 있다.,내 걱정을 적었다 — 불안은 확인할 질문으로 바꿀 수 있다.,진로탐색;직업이해,탐색력,15,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,
A2R2,A,A2,R2,진로,AI 시대에 내 진로는?,"학기 말 진로 상담을 앞두고 머릿속이 복잡해졌다. AI 때문에 일자리가 사라진다는 말도 들리고, 영어 공부도 실시간 번역이 되면 굳이 해야 하는지 헷갈린다. 어떤 직업이 살아남을지 모르겠고, AI를 안 쓰면 나만 뒤처지는 건 아닌지 걱정된다.",내가 끌리는 것과 걱정하는 것부터 찾아본다,"내가 좋아하는 것, 자주 신경 쓰는 문제, 막연하게 불안한 말을 먼저 살펴보는 길이다.",AI 시대에 내가 걱정하는 말을 적어본다,"“AI가 내 일을 빼앗을까?”, “내가 배우는 것이 쓸모없어질까?”, “나는 뭘 잘할 수 있을까?” 같은 걱정 문장이 적힌 탐구 메모가 만들어진다. 불안은 보이지만, 아직 확인할 질문으로 정리되지는 않았다.",걱정 메모 — 불안을 확인할 질문으로,"그 걱정이 어떤 일, 공부, 경험과 연결되는지 덧붙인다","막연한 불안을 내가 실제로 신경 쓰는 일이나 공부와 연결해, 확인 가능한 질문에 가까워진 진로탐구가 된다.",A,87,걱정과 관련된 정보를 일부 확인했어요.,"좋은 방향의 선택이 많았고, 한두 지점을 더 확인하면 더 단단해질 수 있어요.",다시 해본다면 내가 직접 확인한 근거를 하나 더 넣어 보세요.,중심잡기,주체성,자기이해;탐색력,,AI 자료 점검 카드,미래가 불안해도 마지막 판단은 내가 해야 한다.,걱정과 관련된 정보를 일부 확인했어요. 불안이 막연한 말에서 따져볼 질문으로 바뀌기 시작했어요.,AI 시대의 진로를 고민해야 하는 상황이 생겼다.,내 관심과 걱정에서 진로 탐색을 시작했다.,AI 시대에 대한 내 걱정을 문장으로 적었다.,걱정 메모 — 불안을 확인할 질문으로,낯선 이름과 이상해 보이는 정보만 골라 확인했다.,+,+,10,15,13,11,19,16,20,,,내 관심과 걱정에서 시작했다 — 진로탐구는 남의 추천이 아니라 내 질문에서 자란다.,내 걱정을 적었다 — 불안은 확인할 질문으로 바꿀 수 있다.,내 걱정을 적었다 — 불안은 확인할 질문으로 바꿀 수 있다.,진로탐색;직업이해;검수능력,"탐색력, 검토력",13,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,
A2R3,A,A2,R3,진로,AI 시대에 내 진로는?,"학기 말 진로 상담을 앞두고 머릿속이 복잡해졌다. AI 때문에 일자리가 사라진다는 말도 들리고, 영어 공부도 실시간 번역이 되면 굳이 해야 하는지 헷갈린다. 어떤 직업이 살아남을지 모르겠고, AI를 안 쓰면 나만 뒤처지는 건 아닌지 걱정된다.",내가 끌리는 것과 걱정하는 것부터 찾아본다,"내가 좋아하는 것, 자주 신경 쓰는 문제, 막연하게 불안한 말을 먼저 살펴보는 길이다.",AI 시대에 내가 걱정하는 말을 적어본다,"“AI가 내 일을 빼앗을까?”, “내가 배우는 것이 쓸모없어질까?”, “나는 뭘 잘할 수 있을까?” 같은 걱정 문장이 적힌 탐구 메모가 만들어진다. 불안은 보이지만, 아직 확인할 질문으로 정리되지는 않았다.",걱정 메모 — 불안을 확인할 질문으로,"AI에게 걱정 속에 섞인 사실, 예상, 상상을 나누게 한 뒤 확인할 질문을 고른다","AI가 불안을 정리하는 도움은 주지만, 마지막에는 내가 직접 확인해볼 질문을 고른 진로탐구가 된다.",A,94,내 걱정을 기준으로 추천과 활동을 다시 봤어요.,"좋은 방향의 선택이 많았고, 한두 지점을 더 확인하면 더 단단해질 수 있어요.",다시 해본다면 내가 직접 확인한 근거를 하나 더 넣어 보세요.,중심잡기,주체성,자기이해;분석력,,내 후보 + AI 자료 카드,미래가 불안해도 마지막 판단은 내가 해야 한다.,내 걱정을 기준으로 추천과 활동을 다시 봤어요. 불안을 피하지 않고 판단의 단서로 바꾼 선택이에요.,AI 시대의 진로를 고민해야 하는 상황이 생겼다.,내 관심과 걱정에서 진로 탐색을 시작했다.,AI 시대에 대한 내 걱정을 문장으로 적었다.,걱정 메모 — 불안을 확인할 질문으로,내가 더 배워야 할 부분을 하나 골랐다.,+,+,10,15,13,11,24,20,23,직업이해,5,내 관심과 걱정에서 시작했다 — 진로탐구는 남의 추천이 아니라 내 질문에서 자란다.,내 걱정을 적었다 — 불안은 확인할 질문으로 바꿀 수 있다.,내 걱정을 적었다 — 불안은 확인할 질문으로 바꿀 수 있다.,진로탐색;직업이해;검수능력;자기검증,"탐색력, 검토력",6,합산 유지 또는 미세 조정,단계별 선택의 의미가 최종 결과에 거의 그대로 반영된 경로.,후보 직업 자료를 자기 경험과 나란히 놓고 다시 고르는 자리 — 직업이해 카드와 강한 매칭
A3R1,A,A3,R1,진로,AI 시대에 내 진로는?,"학기 말 진로 상담을 앞두고 머릿속이 복잡해졌다. AI 때문에 일자리가 사라진다는 말도 들리고, 영어 공부도 실시간 번역이 되면 굳이 해야 하는지 헷갈린다. 어떤 직업이 살아남을지 모르겠고, AI를 안 쓰면 나만 뒤처지는 건 아닌지 걱정된다.",내가 끌리는 것과 걱정하는 것부터 찾아본다,"내가 좋아하는 것, 자주 신경 쓰는 문제, 막연하게 불안한 말을 먼저 살펴보는 길이다.",관심을 작은 실험으로 바꿔본다,"관심 있는 일을 30분 안에 해볼 수 있는 작은 행동이나 실험 계획이 만들어진다. 아직 큰 진로는 아니지만, 실제로 해보며 확인할 수 있는 첫 단계가 생긴다.",작은 실험 — 해볼 수 있는 첫 단계,해볼 방법만 적고 끝낸다,"좋은 계획은 생겼지만, 언제 어디서 해볼지 정하지 않아 실제 경험으로 이어질지는 불확실한 진로탐구가 된다.",A,86,관심을 작은 실험으로 바꾼 점이 좋아요.,"좋은 방향의 선택이 많았고, 한두 지점을 더 확인하면 더 단단해질 수 있어요.",다시 해본다면 빠른 결과보다 내가 직접 확인할 수 있는 자료나 경험에서 시작해 보세요.,중심잡기,적응성,탐색력,회복력,불안 질문 카드,미래가 불안해도 마지막 판단은 내가 해야 한다.,관심을 작은 실험으로 바꾼 점이 좋아요. 다만 바로 정리해 실험에서 무엇을 확인할지는 덜 남았어요.,AI 시대의 진로를 고민해야 하는 상황이 생겼다.,내 관심과 걱정에서 진로 탐색을 시작했다.,관심을 작은 실험으로 바꿔 보았다.,작은 실험 — 해볼 수 있는 첫 단계,그럴듯한 결과를 곧 내 진로처럼 받아들였다.,+,+,10,15,16,14,19,16,12,,,내 관심과 걱정에서 시작했다 — 진로탐구는 남의 추천이 아니라 내 질문에서 자란다.,작은 실험으로 바꿨다 — 진로는 해보면서 확인된다.,작은 실험으로 바꿨다 — 진로는 해보면서 확인된다.,진로탐색,탐색력,3,합산 유지 또는 미세 조정,단계별 선택의 의미가 최종 결과에 거의 그대로 반영된 경로.,
A3R2,A,A3,R2,진로,AI 시대에 내 진로는?,"학기 말 진로 상담을 앞두고 머릿속이 복잡해졌다. AI 때문에 일자리가 사라진다는 말도 들리고, 영어 공부도 실시간 번역이 되면 굳이 해야 하는지 헷갈린다. 어떤 직업이 살아남을지 모르겠고, AI를 안 쓰면 나만 뒤처지는 건 아닌지 걱정된다.",내가 끌리는 것과 걱정하는 것부터 찾아본다,"내가 좋아하는 것, 자주 신경 쓰는 문제, 막연하게 불안한 말을 먼저 살펴보는 길이다.",관심을 작은 실험으로 바꿔본다,"관심 있는 일을 30분 안에 해볼 수 있는 작은 행동이나 실험 계획이 만들어진다. 아직 큰 진로는 아니지만, 실제로 해보며 확인할 수 있는 첫 단계가 생긴다.",작은 실험 — 해볼 수 있는 첫 단계,실제로 해볼 시간과 장소를 정한다,"관심이 막연한 생각에서 끝나지 않고, 내가 직접 확인해볼 작은 행동으로 이어지는 진로탐구가 된다.",A,92,실험과 관련된 낯선 정보를 확인했어요.,"좋은 방향의 선택이 많았고, 한두 지점을 더 확인하면 더 단단해질 수 있어요.",다시 해본다면 그대로 진행하기 전에 이상한 부분을 표시하거나 처음부터 다시 확인해 보세요.,융합하기,창의적 사고,탐색력;분석력,,질문 점검 카드,미래가 불안해도 마지막 판단은 내가 해야 한다.,실험과 관련된 낯선 정보를 확인했어요. 해보고 싶은 일과 실제 조건이 조금 더 가까워졌어요.,AI 시대의 진로를 고민해야 하는 상황이 생겼다.,내 관심과 걱정에서 진로 탐색을 시작했다.,관심을 작은 실험으로 바꿔 보았다.,작은 실험 — 해볼 수 있는 첫 단계,낯선 이름과 이상해 보이는 정보만 골라 확인했다.,+,+,10,15,16,14,22,19,14,,,내 관심과 걱정에서 시작했다 — 진로탐구는 남의 추천이 아니라 내 질문에서 자란다.,작은 실험으로 바꿨다 — 진로는 해보면서 확인된다.,작은 실험으로 바꿨다 — 진로는 해보면서 확인된다.,진로탐색;자기성찰,"탐색력, 자기이해",12,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,
A3R3,A,A3,R3,진로,AI 시대에 내 진로는?,"학기 말 진로 상담을 앞두고 머릿속이 복잡해졌다. AI 때문에 일자리가 사라진다는 말도 들리고, 영어 공부도 실시간 번역이 되면 굳이 해야 하는지 헷갈린다. 어떤 직업이 살아남을지 모르겠고, AI를 안 쓰면 나만 뒤처지는 건 아닌지 걱정된다.",내가 끌리는 것과 걱정하는 것부터 찾아본다,"내가 좋아하는 것, 자주 신경 쓰는 문제, 막연하게 불안한 말을 먼저 살펴보는 길이다.",관심을 작은 실험으로 바꿔본다,"관심 있는 일을 30분 안에 해볼 수 있는 작은 행동이나 실험 계획이 만들어진다. 아직 큰 진로는 아니지만, 실제로 해보며 확인할 수 있는 첫 단계가 생긴다.",작은 실험 — 해볼 수 있는 첫 단계,AI에게 너무 큰 계획을 작게 줄여 달라고 한 뒤 하나만 고른다,"AI의 도움으로 부담스러운 계획을 줄이고, 지금 해볼 수 있는 작은 확인 행동 하나를 남긴 진로탐구가 된다.",S,98,"작은 실험, 내 관심, AI 시대의 변화를 함께 확인했어요.",자기 기준을 세우고 마지막 확인까지 해낸 선택이라 결과의 완성도가 높아요.,다시 해본다면 내가 직접 확인한 근거를 하나 더 넣어 보세요.,융합하기,창의적 사고,탐색력;분석력,,첫 행동 카드,미래가 불안해도 마지막 판단은 내가 해야 한다.,"작은 실험, 내 관심, AI 시대의 변화를 함께 확인했어요. 추천보다 내가 해볼 수 있는 경험이 중심이 됐어요.",AI 시대의 진로를 고민해야 하는 상황이 생겼다.,내 관심과 걱정에서 진로 탐색을 시작했다.,관심을 작은 실험으로 바꿔 보았다.,작은 실험 — 해볼 수 있는 첫 단계,내가 더 배워야 할 부분을 하나 골랐다.,+,+,10,15,16,14,27,23,17,자기성찰,5,내 관심과 걱정에서 시작했다 — 진로탐구는 남의 추천이 아니라 내 질문에서 자란다.,작은 실험으로 바꿨다 — 진로는 해보면서 확인된다.,작은 실험으로 바꿨다 — 진로는 해보면서 확인된다.,진로탐색;자기성찰;비판적 사고;검수능력,"탐색력, 자기이해, 분석력, 검토력",10,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,불안한 질문 옆에 작은 행동 하나를 붙여 다음 자리로 잇는 자리 — 자기성찰 카드와 강한 매칭
B1R1,B,B1,R1,진로,AI 시대에 내 진로는?,"학기 말 진로 상담을 앞두고 머릿속이 복잡해졌다. AI 때문에 일자리가 사라진다는 말도 들리고, 영어 공부도 실시간 번역이 되면 굳이 해야 하는지 헷갈린다. 어떤 직업이 살아남을지 모르겠고, AI를 안 쓰면 나만 뒤처지는 건 아닌지 걱정된다.",AI로 가능성을 넓혀본다,"AI에게 유망한 일, 새로운 조합, 작은 프로젝트, 사라질 일과 생길 일을 물어보며 가능성을 넓혀보는 길이다.",AI에게 앞으로 유망한 일을 추천받는다,"AI가 추천한 유망 직업이나 관심 분야 목록이 만들어진다. 미래 전망, 돈, 안정성, 새로 생길 일 같은 기준이 들어 있지만, 그 일이 나와 맞는지는 아직 확인되지 않았다.",AI 유망 추천 + 근거 점검,유망하다는 말만 보고 주제로 정한다,"미래에 좋아 보이는 주제는 정했지만, 내가 왜 그 일을 탐구하는지 약하고 남의 전망표를 따라간 느낌이 강한 진로탐구가 된다.",D,20,AI가 유망 직업을 빠르게 보여줬지만 그대로 정리해 내 이유는 거의 들어가지 못했어요.,이번 결과는 부족했던 과정을 알아차리는 출발점이에요. 다시 시도하며 내 기준과 확인 과정을 세워 볼 수 있어요.,다시 해본다면 빠른 결과보다 내가 직접 확인할 수 있는 자료나 경험에서 시작해 보세요.,,,,회복력,,미래가 불안해도 마지막 판단은 내가 해야 한다.,AI가 유망 직업을 빠르게 보여줬지만 그대로 정리해 내 이유는 거의 들어가지 못했어요.,AI 시대의 진로를 고민해야 하는 상황이 생겼다.,AI로 진로 가능성을 넓혀 보았다.,AI에게 유망한 일을 추천받았다.,AI 유망 추천 + 근거 점검,그럴듯한 결과를 곧 내 진로처럼 받아들였다.,0,-,10,0,4,3,7,5,8,,,AI로 가능성을 넓혔다 — 추천이 곧 내 진로는 아니다.,AI 유망 추천을 받았다 — 사실/예상/의견을 나누는 자리가 다음이다.,AI 유망 추천을 받았다 — 사실/예상/의견을 나누는 자리가 다음이다.,,,-3,합산 유지 또는 미세 조정,단계별 선택의 의미가 최종 결과에 거의 그대로 반영된 경로.,
