경로,1차,2차,검토,〈컷1〉분류,〈컷1〉제목,〈컷1〉상황텍스트,〈컷2〉1차 라벨,〈컷2〉1차 설명,〈컷3〉깊은선택 라벨,〈컷4〉2차 결과물,〈컷4〉결과 요약,〈컷5〉검토 라벨,〈컷5〉검토 학생narrative,〈컷6〉등급,〈컷6〉점수,〈컷6〉짧은피드백,〈컷6〉Cut6피드백,〈컷6〉다시하기제안(C·D),〈카드획득〉인간중심축,〈카드획득〉인간중심태그,〈카드획득〉도메인카드,〈카드획득〉성장카드,〈카드획득〉카드명(아이템),〈리포트〉학습메시지,〈리포트〉리포트피드백,〈리포트〉만화컷1,〈리포트〉만화컷2,〈리포트〉만화컷3,〈리포트〉만화컷4,〈리포트〉만화컷5,〈내부〉1차 위임변화,〈내부〉1차 지식변화,〈내부〉1차 기본점수,〈내부〉1차 변수점수,〈내부〉2차 시간비용,〈내부〉2차 에너지비용,〈내부〉경로 시간비용,〈내부〉경로 에너지비용,〈내부〉EXP,〈내부〉매칭 요구카드,〈내부〉매칭 보너스,〈미사용〉1차 메시지,〈미사용〉깊은선택 메시지,〈미사용〉결과 교훈,〈미사용〉획득역량카드(레거시),〈미사용〉획득카드정리,〈미사용〉보정점수,〈미사용〉보정유형,〈미사용〉보정사유,〈미사용〉매칭 노트
A1R1,A,A1,R1,시험 공부,시험 2주 전 — 공부를 어떻게,"중간고사가 2주 앞으로 다가왔다. 시험 과목은 5개이고, 자신 있는 과목은 2개 정도다. 나머지 과목은 어디부터 공부해야 할지 잘 모르겠다. 책상 위에는 시험 범위표와 문제집이 펼쳐져 있다. 계획표를 먼저 짜야 할 것 같지만, 내가 무엇을 알고 무엇을 모르는지부터 헷갈린다.",먼저 내 실력을 확인한다,문제를 풀거나 시험 범위를 보며 내가 아는 것과 모르는 것을 먼저 확인하는 길이다.,문제를 조금 풀어보고 약한 단원을 찾는다,"문제를 조금 풀어본 뒤, 틀린 문제가 많은 단원과 헷갈리는 개념이 표시된 간단한 약점 목록이 만들어진다. 아직 정확한 공부 순서는 정리되지 않았지만, 막연한 불안이 구체적인 단원으로 보이기 시작한다.",약한 단원 목록 — 문제로 확인한 자리,약한 단원을 찾았으니 그대로 공부를 시작한다,"공부가 바로 시작되지만, 왜 틀렸는지 확인하지 않아 같은 단원 안에서도 무엇을 먼저 봐야 하는지는 애매하게 남는다.",B,80,문제를 풀어 약한 단원은 보였어요.,"좋은 출발과 확인이 있었지만, 직접 풀이와 오답 정리가 더해지면 더 좋아져요.",다시 해본다면 틀린 이유를 직접 분석하고 공부 순서를 다시 잡아 보세요.,융합하기,문제해결적 사고,학습력,,약점 자가 점검 카드,내가 뭘 모르는지 알아차리는 순간부터 공부 계획은 내 것이 된다.,문제를 풀어 약한 단원은 보였어요. 다만 바로 시작해 왜 틀렸는지와 우선순위는 아직 흐릿해요.,"시험 2주 전, 무엇부터 공부할지 정해야 했다.",먼저 내가 아는 것과 모르는 것을 확인했다.,문제를 풀어 약한 단원을 찾았다.,약한 단원 목록 — 문제로 확인한 자리,깔끔한 계획이나 자료를 그대로 따르기로 했다.,+,+,10,15,17,15,20,17,25,,,내 약점부터 봤다 — 시험 준비는 모르는 자리에서 시작한다.,문제로 약한 단원을 찾았다 — 막연한 불안이 구체적 단원으로 보인다.,문제로 약한 단원을 찾았다 — 막연한 불안이 구체적 단원으로 보인다.,학습설계;시간관리,학습력,0,단계 점수 재산정,"시험공부는 학생이 직접 풀고, 약점을 확인하고, 오답과 범위를 다시 보는 과정이 핵심이라는 기준으로 단계 점수를 재산정함.",
A1R2,A,A1,R2,시험 공부,시험 2주 전 — 공부를 어떻게,"중간고사가 2주 앞으로 다가왔다. 시험 과목은 5개이고, 자신 있는 과목은 2개 정도다. 나머지 과목은 어디부터 공부해야 할지 잘 모르겠다. 책상 위에는 시험 범위표와 문제집이 펼쳐져 있다. 계획표를 먼저 짜야 할 것 같지만, 내가 무엇을 알고 무엇을 모르는지부터 헷갈린다.",먼저 내 실력을 확인한다,문제를 풀거나 시험 범위를 보며 내가 아는 것과 모르는 것을 먼저 확인하는 길이다.,문제를 조금 풀어보고 약한 단원을 찾는다,"문제를 조금 풀어본 뒤, 틀린 문제가 많은 단원과 헷갈리는 개념이 표시된 간단한 약점 목록이 만들어진다. 아직 정확한 공부 순서는 정리되지 않았지만, 막연한 불안이 구체적인 단원으로 보이기 시작한다.",약한 단원 목록 — 문제로 확인한 자리,왜 틀렸는지 다시 보고 공부할 순서를 고친다,"단순히 많이 틀린 단원이 아니라, 개념을 몰라서 틀린 문제와 실수로 틀린 문제를 나누어 공부 순서를 조정한 계획이 된다.",A,88,빠진 단원과 무리한 일정을 고치며 공부 순서가 더 현실적이 됐어요.,자기 기준으로 공부 자료와 약점을 확인해 꽤 단단한 공부 방향을 만들었어요.,다시 해본다면 오답 이유까지 정리해 공부 순서를 더 선명하게 만들어 보세요.,융합하기,문제해결적 사고,학습력;검토력,,약점 자가 점검 카드,내가 뭘 모르는지 알아차리는 순간부터 공부 계획은 내 것이 된다.,빠진 단원과 무리한 일정을 고치며 공부 순서가 더 현실적이 됐어요. 오답까지 보면 더 정확해져요.,"시험 2주 전, 무엇부터 공부할지 정해야 했다.",먼저 내가 아는 것과 모르는 것을 확인했다.,문제를 풀어 약한 단원을 찾았다.,약한 단원 목록 — 문제로 확인한 자리,시험 범위와 문제집에 맞는지 직접 확인했다.,+,+,10,15,17,15,23,20,27,,,내 약점부터 봤다 — 시험 준비는 모르는 자리에서 시작한다.,문제로 약한 단원을 찾았다 — 막연한 불안이 구체적 단원으로 보인다.,문제로 약한 단원을 찾았다 — 막연한 불안이 구체적 단원으로 보인다.,학습설계;시간관리;검수능력,"학습력, 검토력",0,단계 점수 재산정,"시험공부는 학생이 직접 풀고, 약점을 확인하고, 오답과 범위를 다시 보는 과정이 핵심이라는 기준으로 단계 점수를 재산정함.",
A1R3,A,A1,R3,시험 공부,시험 2주 전 — 공부를 어떻게,"중간고사가 2주 앞으로 다가왔다. 시험 과목은 5개이고, 자신 있는 과목은 2개 정도다. 나머지 과목은 어디부터 공부해야 할지 잘 모르겠다. 책상 위에는 시험 범위표와 문제집이 펼쳐져 있다. 계획표를 먼저 짜야 할 것 같지만, 내가 무엇을 알고 무엇을 모르는지부터 헷갈린다.",먼저 내 실력을 확인한다,문제를 풀거나 시험 범위를 보며 내가 아는 것과 모르는 것을 먼저 확인하는 길이다.,문제를 조금 풀어보고 약한 단원을 찾는다,"문제를 조금 풀어본 뒤, 틀린 문제가 많은 단원과 헷갈리는 개념이 표시된 간단한 약점 목록이 만들어진다. 아직 정확한 공부 순서는 정리되지 않았지만, 막연한 불안이 구체적인 단원으로 보이기 시작한다.",약한 단원 목록 — 문제로 확인한 자리,AI에게 틀린 문제 유형을 묶어 달라고 한 뒤 내가 공부 순서를 고른다,"오답을 직접 모아 보며 실제로 이해가 부족한 부분을 확인하고, 공부 순서를 내가 고른 계획이 된다.",S,97,내 오답과 남은 시간을 기준으로 우선순위를 다시 잡았어요.,직접 확인한 약점과 깊은 검토가 이어져 공부 방향이 매우 분명해졌어요.,다시 해본다면 같은 공부 전략을 다른 과목에도 적용해 보세요.,융합하기,문제해결적 사고,학습력;검토력,,메타 공부 카드,내가 뭘 모르는지 알아차리는 순간부터 공부 계획은 내 것이 된다.,내 오답과 남은 시간을 기준으로 우선순위를 다시 잡았어요. 내가 모르는 것을 아는 데서 공부 계획이 시작됐어요.,"시험 2주 전, 무엇부터 공부할지 정해야 했다.",먼저 내가 아는 것과 모르는 것을 확인했다.,문제를 풀어 약한 단원을 찾았다.,약한 단원 목록 — 문제로 확인한 자리,직접 풀어보며 이해가 부족한 부분을 확인했다.,+,+,10,15,17,15,28,24,30,자기검증,5,내 약점부터 봤다 — 시험 준비는 모르는 자리에서 시작한다.,문제로 약한 단원을 찾았다 — 막연한 불안이 구체적 단원으로 보인다.,문제로 약한 단원을 찾았다 — 막연한 불안이 구체적 단원으로 보인다.,학습설계;시간관리;학습전략;자기검증,"학습력, 검토력",0,단계 점수 재산정,"시험공부는 학생이 직접 풀고, 약점을 확인하고, 오답과 범위를 다시 보는 과정이 핵심이라는 기준으로 단계 점수를 재산정함.",자기 약점을 직접 짚고 끝까지 확인하는 자리 — 자기검증 카드와 강한 매칭
A2R1,A,A2,R1,시험 공부,시험 2주 전 — 공부를 어떻게,"중간고사가 2주 앞으로 다가왔다. 시험 과목은 5개이고, 자신 있는 과목은 2개 정도다. 나머지 과목은 어디부터 공부해야 할지 잘 모르겠다. 책상 위에는 시험 범위표와 문제집이 펼쳐져 있다. 계획표를 먼저 짜야 할 것 같지만, 내가 무엇을 알고 무엇을 모르는지부터 헷갈린다.",먼저 내 실력을 확인한다,문제를 풀거나 시험 범위를 보며 내가 아는 것과 모르는 것을 먼저 확인하는 길이다.,시험 범위표를 보며 아는 단원과 모르는 단원을 나눈다,"시험 범위표 위에 아는 단원, 애매한 단원, 모르는 단원이 표시된다. 아직 문제로 확인한 것은 아니지만, 전체 시험 범위를 한눈에 보고 공부할 곳을 나눈 상태이다.",범위표 분류 — 한눈에 본 시험 범위,표시한 단원부터 바로 공부한다,"모르는 것처럼 느껴지는 단원부터 시작하지만, 실제로 어려운 단원인지 단지 낯선 단원인지는 확인하지 못한 공부 계획이 된다.",B,76,시험 범위에서 아는 것과 모르는 것을 나눴어요.,"공부 방향은 잡았지만, 실제로 풀고 틀린 이유를 확인하는 과정이 더 필요해요.",다시 해본다면 AI 자료보다 먼저 실제 문제를 풀어 약점을 확인해 보세요.,중심잡기,주체성,학습력,,약점 + AI 점만 닿기 카드,내가 뭘 모르는지 알아차리는 순간부터 공부 계획은 내 것이 된다.,시험 범위에서 아는 것과 모르는 것을 나눴어요. 다만 바로 시작해 실제 문제에서 약한 부분은 덜 확인됐어요.,"시험 2주 전, 무엇부터 공부할지 정해야 했다.",먼저 내가 아는 것과 모르는 것을 확인했다.,시험 범위에서 아는 것과 모르는 것을 나눴다.,범위표 분류 — 한눈에 본 시험 범위,깔끔한 계획이나 자료를 그대로 따르기로 했다.,+,+,10,15,14,12,17,14,18,,,내 약점부터 봤다 — 시험 준비는 모르는 자리에서 시작한다.,범위표로 단원을 나눴다 — 어렵다는 느낌과 실제 어려움은 다르다.,범위표로 단원을 나눴다 — 어렵다는 느낌과 실제 어려움은 다르다.,학습설계;학습전략,학습력,0,단계 점수 재산정,"시험공부는 학생이 직접 풀고, 약점을 확인하고, 오답과 범위를 다시 보는 과정이 핵심이라는 기준으로 단계 점수를 재산정함.",
A2R2,A,A2,R2,시험 공부,시험 2주 전 — 공부를 어떻게,"중간고사가 2주 앞으로 다가왔다. 시험 과목은 5개이고, 자신 있는 과목은 2개 정도다. 나머지 과목은 어디부터 공부해야 할지 잘 모르겠다. 책상 위에는 시험 범위표와 문제집이 펼쳐져 있다. 계획표를 먼저 짜야 할 것 같지만, 내가 무엇을 알고 무엇을 모르는지부터 헷갈린다.",먼저 내 실력을 확인한다,문제를 풀거나 시험 범위를 보며 내가 아는 것과 모르는 것을 먼저 확인하는 길이다.,시험 범위표를 보며 아는 단원과 모르는 단원을 나눈다,"시험 범위표 위에 아는 단원, 애매한 단원, 모르는 단원이 표시된다. 아직 문제로 확인한 것은 아니지만, 전체 시험 범위를 한눈에 보고 공부할 곳을 나눈 상태이다.",범위표 분류 — 한눈에 본 시험 범위,표시한 단원이 정말 어려운지 문제를 조금 풀어본다,"내가 어렵다고 느낀 단원을 문제로 확인하면서, 실제 약점에 더 가까운 공부 계획이 된다.",B,84,빠진 단원과 무리한 일정을 고치며 범위표가 공부 계획으로 가까워졌어요.,"좋은 출발과 확인이 있었지만, 직접 풀이와 오답 정리가 더해지면 더 좋아져요.",다시 해본다면 틀린 이유를 직접 분석하고 공부 순서를 다시 잡아 보세요.,중심잡기,주체성,학습력,,AI 학습 도구 활용 카드,내가 뭘 모르는지 알아차리는 순간부터 공부 계획은 내 것이 된다.,빠진 단원과 무리한 일정을 고치며 범위표가 공부 계획으로 가까워졌어요.,"시험 2주 전, 무엇부터 공부할지 정해야 했다.",먼저 내가 아는 것과 모르는 것을 확인했다.,시험 범위에서 아는 것과 모르는 것을 나눴다.,범위표 분류 — 한눈에 본 시험 범위,시험 범위와 문제집에 맞는지 직접 확인했다.,+,+,10,15,14,12,20,17,20,,,내 약점부터 봤다 — 시험 준비는 모르는 자리에서 시작한다.,범위표로 단원을 나눴다 — 어렵다는 느낌과 실제 어려움은 다르다.,범위표로 단원을 나눴다 — 어렵다는 느낌과 실제 어려움은 다르다.,학습설계;학습전략;검수능력,"학습력, 검토력",0,단계 점수 재산정,"시험공부는 학생이 직접 풀고, 약점을 확인하고, 오답과 범위를 다시 보는 과정이 핵심이라는 기준으로 단계 점수를 재산정함.",
A2R3,A,A2,R3,시험 공부,시험 2주 전 — 공부를 어떻게,"중간고사가 2주 앞으로 다가왔다. 시험 과목은 5개이고, 자신 있는 과목은 2개 정도다. 나머지 과목은 어디부터 공부해야 할지 잘 모르겠다. 책상 위에는 시험 범위표와 문제집이 펼쳐져 있다. 계획표를 먼저 짜야 할 것 같지만, 내가 무엇을 알고 무엇을 모르는지부터 헷갈린다.",먼저 내 실력을 확인한다,문제를 풀거나 시험 범위를 보며 내가 아는 것과 모르는 것을 먼저 확인하는 길이다.,시험 범위표를 보며 아는 단원과 모르는 단원을 나눈다,"시험 범위표 위에 아는 단원, 애매한 단원, 모르는 단원이 표시된다. 아직 문제로 확인한 것은 아니지만, 전체 시험 범위를 한눈에 보고 공부할 곳을 나눈 상태이다.",범위표 분류 — 한눈에 본 시험 범위,AI에게 표시한 단원의 핵심 개념을 물어본 뒤 문제로 확인한다,"범위표로 잡은 윤곽을 실제 문제 풀이로 확인하며, 이해 여부를 점검하는 공부 계획이 된다.",A,92,범위표와 내 오답을 함께 보며 우선순위를 다시 잡았어요.,자기 기준으로 공부 자료와 약점을 확인해 꽤 단단한 공부 방향을 만들었어요.,다시 해본다면 오답 이유까지 정리해 공부 순서를 더 선명하게 만들어 보세요.,중심잡기,주체성,학습력;검토력,,메타 공부 카드,내가 뭘 모르는지 알아차리는 순간부터 공부 계획은 내 것이 된다.,범위표와 내 오답을 함께 보며 우선순위를 다시 잡았어요. 공부할 목록이 내 약점에 더 가까워졌어요.,"시험 2주 전, 무엇부터 공부할지 정해야 했다.",먼저 내가 아는 것과 모르는 것을 확인했다.,시험 범위에서 아는 것과 모르는 것을 나눴다.,범위표 분류 — 한눈에 본 시험 범위,직접 풀어보며 이해가 부족한 부분을 확인했다.,+,+,10,15,14,12,25,21,23,,,내 약점부터 봤다 — 시험 준비는 모르는 자리에서 시작한다.,범위표로 단원을 나눴다 — 어렵다는 느낌과 실제 어려움은 다르다.,범위표로 단원을 나눴다 — 어렵다는 느낌과 실제 어려움은 다르다.,학습설계;학습전략;검수능력;자기검증,"학습력, 검토력",0,단계 점수 재산정,"시험공부는 학생이 직접 풀고, 약점을 확인하고, 오답과 범위를 다시 보는 과정이 핵심이라는 기준으로 단계 점수를 재산정함.",
A3R1,A,A3,R1,시험 공부,시험 2주 전 — 공부를 어떻게,"중간고사가 2주 앞으로 다가왔다. 시험 과목은 5개이고, 자신 있는 과목은 2개 정도다. 나머지 과목은 어디부터 공부해야 할지 잘 모르겠다. 책상 위에는 시험 범위표와 문제집이 펼쳐져 있다. 계획표를 먼저 짜야 할 것 같지만, 내가 무엇을 알고 무엇을 모르는지부터 헷갈린다.",먼저 내 실력을 확인한다,문제를 풀거나 시험 범위를 보며 내가 아는 것과 모르는 것을 먼저 확인하는 길이다.,과목별 자신감과 실제 문제 풀이를 비교한다,"과목별로 내가 느끼는 자신감과 실제로 문제를 풀어본 결과가 함께 적힌 공부 점검표가 만들어진다. 잘한다고 생각했지만 틀리는 과목, 불안했지만 생각보다 풀리는 과목이 드러날 수 있다.",자신감 vs 실제 — 감의 어긋남 점검,자신 있는 과목과 약한 과목을 감으로 나눠 그대로 계획한다,"내가 느끼는 자신감에 맞춘 계획은 만들어지지만, 실제 점수나 문제 풀이와 어긋나는 부분이 남을 수 있다.",B,78,자신감과 실제 풀이를 비교해 착각을 줄일 단서가 생겼어요.,"좋은 출발과 확인이 있었지만, 직접 풀이와 오답 정리가 더해지면 더 좋아져요.",다시 해본다면 틀린 이유를 직접 분석하고 공부 순서를 다시 잡아 보세요.,성찰하기,성찰적 사고,학습력,,고른 시간표 카드,내가 뭘 모르는지 알아차리는 순간부터 공부 계획은 내 것이 된다.,자신감과 실제 풀이를 비교해 착각을 줄일 단서가 생겼어요. 다만 바로 시작해 시간 배분은 덜 조정됐어요.,"시험 2주 전, 무엇부터 공부할지 정해야 했다.",먼저 내가 아는 것과 모르는 것을 확인했다.,자신감과 실제 문제 풀이를 비교했다.,자신감 vs 실제 — 감의 어긋남 점검,깔끔한 계획이나 자료를 그대로 따르기로 했다.,+,+,10,15,16,14,19,16,12,,,내 약점부터 봤다 — 시험 준비는 모르는 자리에서 시작한다.,자신감과 실제 풀이를 비교했다 — 감과 점수의 어긋남이 약점이다.,자신감과 실제 풀이를 비교했다 — 감과 점수의 어긋남이 약점이다.,학습설계,학습력,0,단계 점수 재산정,"시험공부는 학생이 직접 풀고, 약점을 확인하고, 오답과 범위를 다시 보는 과정이 핵심이라는 기준으로 단계 점수를 재산정함.",
A3R2,A,A3,R2,시험 공부,시험 2주 전 — 공부를 어떻게,"중간고사가 2주 앞으로 다가왔다. 시험 과목은 5개이고, 자신 있는 과목은 2개 정도다. 나머지 과목은 어디부터 공부해야 할지 잘 모르겠다. 책상 위에는 시험 범위표와 문제집이 펼쳐져 있다. 계획표를 먼저 짜야 할 것 같지만, 내가 무엇을 알고 무엇을 모르는지부터 헷갈린다.",먼저 내 실력을 확인한다,문제를 풀거나 시험 범위를 보며 내가 아는 것과 모르는 것을 먼저 확인하는 길이다.,과목별 자신감과 실제 문제 풀이를 비교한다,"과목별로 내가 느끼는 자신감과 실제로 문제를 풀어본 결과가 함께 적힌 공부 점검표가 만들어진다. 잘한다고 생각했지만 틀리는 과목, 불안했지만 생각보다 풀리는 과목이 드러날 수 있다.",자신감 vs 실제 — 감의 어긋남 점검,자신감과 실제 결과가 다른 과목의 시간을 다시 조정한다,"기분이나 감이 아니라 실제 문제 풀이 결과를 반영해, 공부 시간을 더 현실적으로 나눈 계획이 된다.",A,86,자신감과 실제 풀이가 다른 부분을 확인했어요.,자기 기준으로 공부 자료와 약점을 확인해 꽤 단단한 공부 방향을 만들었어요.,다시 해본다면 오답 이유까지 정리해 공부 순서를 더 선명하게 만들어 보세요.,성찰하기,성찰적 사고,학습력,,시간 다시 나눔 카드,내가 뭘 모르는지 알아차리는 순간부터 공부 계획은 내 것이 된다.,자신감과 실제 풀이가 다른 부분을 확인했어요. 공부 계획이 기분보다 근거에 가까워졌어요.,"시험 2주 전, 무엇부터 공부할지 정해야 했다.",먼저 내가 아는 것과 모르는 것을 확인했다.,자신감과 실제 문제 풀이를 비교했다.,자신감 vs 실제 — 감의 어긋남 점검,시험 범위와 문제집에 맞는지 직접 확인했다.,+,+,10,15,16,14,22,19,14,,,내 약점부터 봤다 — 시험 준비는 모르는 자리에서 시작한다.,자신감과 실제 풀이를 비교했다 — 감과 점수의 어긋남이 약점이다.,자신감과 실제 풀이를 비교했다 — 감과 점수의 어긋남이 약점이다.,학습설계;시간관리,학습력,0,단계 점수 재산정,"시험공부는 학생이 직접 풀고, 약점을 확인하고, 오답과 범위를 다시 보는 과정이 핵심이라는 기준으로 단계 점수를 재산정함.",
A3R3,A,A3,R3,시험 공부,시험 2주 전 — 공부를 어떻게,"중간고사가 2주 앞으로 다가왔다. 시험 과목은 5개이고, 자신 있는 과목은 2개 정도다. 나머지 과목은 어디부터 공부해야 할지 잘 모르겠다. 책상 위에는 시험 범위표와 문제집이 펼쳐져 있다. 계획표를 먼저 짜야 할 것 같지만, 내가 무엇을 알고 무엇을 모르는지부터 헷갈린다.",먼저 내 실력을 확인한다,문제를 풀거나 시험 범위를 보며 내가 아는 것과 모르는 것을 먼저 확인하는 길이다.,과목별 자신감과 실제 문제 풀이를 비교한다,"과목별로 내가 느끼는 자신감과 실제로 문제를 풀어본 결과가 함께 적힌 공부 점검표가 만들어진다. 잘한다고 생각했지만 틀리는 과목, 불안했지만 생각보다 풀리는 과목이 드러날 수 있다.",자신감 vs 실제 — 감의 어긋남 점검,AI에게 과목별 자신감과 문제 풀이 결과를 함께 넣고 시간 배분을 제안받은 뒤 내가 조정한다,"자신감과 실제 풀이의 차이를 보고, 내 일정과 약점에 맞게 시간을 다시 조정한 공부 계획이 된다.",S,96,"자신감, 실제 오답, 남은 시간을 함께 보며 다시 배치했어요.",직접 확인한 약점과 깊은 검토가 이어져 공부 방향이 매우 분명해졌어요.,다시 해본다면 같은 공부 전략을 다른 과목에도 적용해 보세요.,성찰하기,성찰적 사고,학습력;검토력,,약점 다시 보기 카드,내가 뭘 모르는지 알아차리는 순간부터 공부 계획은 내 것이 된다.,"자신감, 실제 오답, 남은 시간을 함께 보며 다시 배치했어요. 공부 계획이 내 상태를 더 정확히 반영했어요.","시험 2주 전, 무엇부터 공부할지 정해야 했다.",먼저 내가 아는 것과 모르는 것을 확인했다.,자신감과 실제 문제 풀이를 비교했다.,자신감 vs 실제 — 감의 어긋남 점검,직접 풀어보며 이해가 부족한 부분을 확인했다.,+,+,10,15,16,14,27,23,17,자기성찰,5,내 약점부터 봤다 — 시험 준비는 모르는 자리에서 시작한다.,자신감과 실제 풀이를 비교했다 — 감과 점수의 어긋남이 약점이다.,자신감과 실제 풀이를 비교했다 — 감과 점수의 어긋남이 약점이다.,학습설계;시간관리;자기성찰;검수능력,"학습력, 자기이해, 검토력",0,단계 점수 재산정,"시험공부는 학생이 직접 풀고, 약점을 확인하고, 오답과 범위를 다시 보는 과정이 핵심이라는 기준으로 단계 점수를 재산정함.",균등 계획 안에서 자기 약점이 어디인지 다시 묶어 보는 자리 — 자기성찰 카드와 강한 매칭
B1R1,B,B1,R1,시험 공부,시험 2주 전 — 공부를 어떻게,"중간고사가 2주 앞으로 다가왔다. 시험 과목은 5개이고, 자신 있는 과목은 2개 정도다. 나머지 과목은 어디부터 공부해야 할지 잘 모르겠다. 책상 위에는 시험 범위표와 문제집이 펼쳐져 있다. 계획표를 먼저 짜야 할 것 같지만, 내가 무엇을 알고 무엇을 모르는지부터 헷갈린다.",AI로 시험공부를 도와보게 한다,"AI에게 공부법, 계획표, 요약, 예상문제 같은 도움을 받아보는 길이다.",AI에게 2주 공부 계획표를 만들어 달라고 한다,"AI가 만든 2주짜리 공부 계획표가 만들어진다. 과목별 시간과 공부 순서는 깔끔하게 정리되어 있지만, 내 실제 약점과 생활 시간을 충분히 반영했는지는 알 수 없다.",AI 계획표 + 내 범위·시간 정합,계획표가 완성됐으니 그대로 따른다,"보기 좋은 계획표는 생겼지만, 내가 실제로 할 수 없는 시간이나 이미 아는 내용까지 그대로 포함된 공부 계획이 된다.",D,28,AI가 2주 계획표를 빠르게 만들었지만 그대로 시작해 내 시험 범위와 약점은 거의 반영되지 않았어요.,빠른 자료나 남의 계획에 기대어 내 공부 과정이 부족했어요. 다시 내 약점부터 확인해 보세요.,다시 해본다면 남의 계획이나 AI 자료를 보기 전에 내가 모르는 단원부터 확인해 보세요.,,,,회복력,,내가 뭘 모르는지 알아차리는 순간부터 공부 계획은 내 것이 된다.,AI가 2주 계획표를 빠르게 만들었지만 그대로 시작해 내 시험 범위와 약점은 거의 반영되지 않았어요.,"시험 2주 전, 무엇부터 공부할지 정해야 했다.",AI의 도움으로 공부 준비를 시작했다.,AI에게 2주 공부 계획표를 받았다.,AI 계획표 + 내 범위·시간 정합,깔끔한 계획이나 자료를 그대로 따르기로 했다.,0,-,10,0,4,3,7,5,8,,,AI 도움을 받았다 — 내 시험 범위와 약점을 충분히 넣었는지가 자리다.,AI 계획표를 받았다 — 내 시험 범위·생활 시간 정합이 다음 자리다.,AI 계획표를 받았다 — 내 시험 범위·생활 시간 정합이 다음 자리다.,,,0,단계 점수 재산정,"시험공부는 학생이 직접 풀고, 약점을 확인하고, 오답과 범위를 다시 보는 과정이 핵심이라는 기준으로 단계 점수를 재산정함.",
