시나리오 ID,시나리오 타이틀,leaf 좌표,1차 ID,1차 선택,1차 시간비용,1차 에너지비용,더 자세히 ID,더 자세히 선택,더 자세히 시간비용,더 자세히 에너지비용,검토 ID,검토 선택,검토 시간비용,검토 에너지비용,resourceCosts.time,resourceCosts.energy
selfintro,자기소개 글,A1R1,A,내 이야기를 먼저 찾아본다,14,12,A1,나를 떠올리는 단어에서 시작해 직접 글을 쓴다,14,11,R1,그대로 제출,2,1,30,24
selfintro,자기소개 글,A1R2,A,내 이야기를 먼저 찾아본다,14,12,A1,나를 떠올리는 단어에서 시작해 직접 글을 쓴다,14,11,R2,한 번 읽고 이상한 곳만 표시,5,4,33,27
selfintro,자기소개 글,A1R3,A,내 이야기를 먼저 찾아본다,14,12,A1,나를 떠올리는 단어에서 시작해 직접 글을 쓴다,14,11,R3,처음부터 다시 읽고 내 얘기인지 확인,10,8,38,31
selfintro,자기소개 글,A2R1,A,내 이야기를 먼저 찾아본다,14,12,A2,나를 소개할 만한 일을 떠올려 짧은 이야기로 쓴다,12,10,R1,그대로 제출,2,1,28,23
selfintro,자기소개 글,A2R2,A,내 이야기를 먼저 찾아본다,14,12,A2,나를 소개할 만한 일을 떠올려 짧은 이야기로 쓴다,12,10,R2,한 번 읽고 이상한 곳만 표시,5,4,31,26
selfintro,자기소개 글,A2R3,A,내 이야기를 먼저 찾아본다,14,12,A2,나를 소개할 만한 일을 떠올려 짧은 이야기로 쓴다,12,10,R3,처음부터 다시 읽고 내 얘기인지 확인,10,8,36,30
selfintro,자기소개 글,A3R1,A,내 이야기를 먼저 찾아본다,14,12,A3,서툴어도 일단 초안을 쓴 뒤 필요한 도움만 받는다,8,7,R1,그대로 제출,2,1,24,20
selfintro,자기소개 글,A3R2,A,내 이야기를 먼저 찾아본다,14,12,A3,서툴어도 일단 초안을 쓴 뒤 필요한 도움만 받는다,8,7,R2,한 번 읽고 이상한 곳만 표시,5,4,27,23
selfintro,자기소개 글,A3R3,A,내 이야기를 먼저 찾아본다,14,12,A3,서툴어도 일단 초안을 쓴 뒤 필요한 도움만 받는다,8,7,R3,처음부터 다시 읽고 내 얘기인지 확인,10,8,32,27
selfintro,자기소개 글,B1R1,B,AI에게 시작을 도움받는다,5,4,B1,AI에게 자기소개 질문을 받고 답해 글을 만든다,6,5,R1,그대로 제출,2,1,13,10
