경로,1차,2차,검토,〈컷1〉분류,〈컷1〉제목,〈컷1〉상황텍스트,〈컷2〉1차 라벨,〈컷2〉1차 설명,〈컷3〉깊은선택 라벨,〈컷4〉2차 결과물,〈컷4〉결과 요약,〈컷5〉검토 라벨,〈컷5〉검토 학생narrative,〈컷6〉등급,〈컷6〉점수,〈컷6〉짧은피드백,〈컷6〉Cut6피드백,〈컷6〉다시하기제안(C·D),〈카드획득〉인간중심축,〈카드획득〉인간중심태그,〈카드획득〉도메인카드,〈카드획득〉성장카드,〈카드획득〉카드명(아이템),〈리포트〉학습메시지,〈리포트〉리포트피드백,〈리포트〉만화컷1,〈리포트〉만화컷2,〈리포트〉만화컷3,〈리포트〉만화컷4,〈리포트〉만화컷5,〈내부〉1차 위임변화,〈내부〉1차 지식변화,〈내부〉1차 기본점수,〈내부〉1차 변수점수,〈내부〉2차 시간비용,〈내부〉2차 에너지비용,〈내부〉경로 시간비용,〈내부〉경로 에너지비용,〈내부〉EXP,〈내부〉매칭 요구카드,〈내부〉매칭 보너스,〈미사용〉1차 메시지,〈미사용〉깊은선택 메시지,〈미사용〉결과 교훈,〈미사용〉획득역량카드(레거시),〈미사용〉획득카드정리,〈미사용〉보정점수,〈미사용〉보정유형,〈미사용〉보정사유,〈미사용〉매칭 노트
A1R1,A,A1,R1,새 학기,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",내 이야기를 먼저 찾아본다,"완벽하지 않아도 내 단어, 내 기억, 내 초안에서 시작한다.",나를 떠올리는 단어에서 시작해 직접 글을 쓴다,내가 고른 단어를 바탕으로 직접 이어 썼다. 단어마다 뭔가 설명하려는 문장이 있었지만 연결이 어색하거나 설명이 부족한 곳도 있었다.,내가 고른 단어로 시작한 자기소개,다 썼으니 그대로 제출한다,직접 고른 단어와 내 말로 이어 쓴 자기소개를 그대로 냈다. 일부 문장이 갑자기 튀거나 왜 그 단어가 나를 보여주는지 이해하기 어려운 부분이 남았다.,A,86,내가 고른 단어에서 출발해 글 안에 내 기억이 남았어요.,"좋은 방향의 선택이 많았고, 한두 지점을 더 확인하면 더 단단해질 수 있어요.",다시 해본다면 마지막 확인을 한 단계 더 깊게 해 보세요.,중심잡기,주체성,자기이해;표현력,,처음의 나 카드,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,내가 고른 단어에서 출발해 글 안에 내 기억이 남았어요. 다만 바로 넘겨 어색한 연결은 확인하지 못했어요.,자기소개를 써야 하는 상황이 생겼다.,AI보다 먼저 내 이야기를 떠올렸다.,내가 고른 단어에서 글을 시작했다.,내가 고른 단어로 시작한 자기소개,그대로 내며 마지막 확인을 건너뛰었다.,+,+,10,15,16,14,19,16,25,,,내 자리에서 시작했다 — AI를 쓰더라도 나를 대신 소개하게 하지 않았다.,내가 고른 단어에서 글이 시작됐다 — 자기 안에서 재료를 찾는 것이 자기소개의 출발점이다.,자기 단어에서 글이 시작됐다 — 어색해도 내 재료가 들어간 자리다.,자기지식;정리력,"자기이해, 표현력",19,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,
A1R2,A,A1,R2,새 학기,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",내 이야기를 먼저 찾아본다,"완벽하지 않아도 내 단어, 내 기억, 내 초안에서 시작한다.",나를 떠올리는 단어에서 시작해 직접 글을 쓴다,내가 고른 단어를 바탕으로 직접 이어 썼다. 단어마다 뭔가 설명하려는 문장이 있었지만 연결이 어색하거나 설명이 부족한 곳도 있었다.,내가 고른 단어로 시작한 자기소개,단어마다 짧은 설명을 덧붙이고 문장 흐름을 다시 본다,"단어마다 짧은 설명을 덧붙이고 문장 흐름을 다시 봤다. 내가 고른 단어와 설명이 더 잘 이어져, 내가 어떤 사람인지 조금 더 또렷하게 보이는 자기소개가 됐다.",A,91,내가 고른 단어와 설명이 어색하게 이어진 곳을 고쳤어요.,자기 기준을 세우고 마지막 확인까지 해낸 선택이라 결과의 완성도가 높아요.,다시 해본다면 같은 주제를 다른 방식으로 풀어 보며 선택의 차이를 비교해 보세요.,중심잡기,주체성,자기이해;표현력;검토력,,처음의 나 카드,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,내가 고른 단어와 설명이 어색하게 이어진 곳을 고쳤어요. 내 말은 살아 있고 글의 흐름도 조금 더 자연스러워졌어요.,자기소개를 써야 하는 상황이 생겼다.,AI보다 먼저 내 이야기를 떠올렸다.,내가 고른 단어에서 글을 시작했다.,내가 고른 단어로 시작한 자기소개,이상한 표현과 흐름을 한 번 확인했다.,+,+,10,15,16,14,22,19,27,,,내 자리에서 시작했다 — AI를 쓰더라도 나를 대신 소개하게 하지 않았다.,내가 고른 단어에서 글이 시작됐다 — 자기 안에서 재료를 찾는 것이 자기소개의 출발점이다.,자기 단어에서 글이 시작됐다 — 어색해도 내 재료가 들어간 자리다.,자기지식;정리력;검수능력,"자기이해, 표현력, 검토력",17,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,
A1R3,A,A1,R3,새 학기,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",내 이야기를 먼저 찾아본다,"완벽하지 않아도 내 단어, 내 기억, 내 초안에서 시작한다.",나를 떠올리는 단어에서 시작해 직접 글을 쓴다,내가 고른 단어를 바탕으로 직접 이어 썼다. 단어마다 뭔가 설명하려는 문장이 있었지만 연결이 어색하거나 설명이 부족한 곳도 있었다.,내가 고른 단어로 시작한 자기소개,AI에게 읽고 궁금한 점을 물어보게 한 뒤 내가 답할 수 있는 내용만 보충한다,AI에게 읽고 궁금한 점을 물어보게 한 뒤 내가 답할 수 있는 내용만 보충했다. 독자가 궁금해할 부분을 발견하고 실제로 답할 수 있는 내용만 골라 채운 자기소개가 됐다.,S,97,처음부터 다시 읽으며 정말 내 이야기인지 확인했어요.,자기 기준을 세우고 마지막 확인까지 해낸 선택이라 결과의 완성도가 높아요.,다시 해본다면 같은 주제를 다른 방식으로 풀어 보며 선택의 차이를 비교해 보세요.,중심잡기,주체성,자기이해;표현력;검토력,,내 말 카드,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,처음부터 다시 읽으며 정말 내 이야기인지 확인했어요. 친구가 물어봐도 내가 설명할 수 있는 자기소개가 됐어요.,자기소개를 써야 하는 상황이 생겼다.,AI보다 먼저 내 이야기를 떠올렸다.,내가 고른 단어에서 글을 시작했다.,내가 고른 단어로 시작한 자기소개,다시 읽으며 내가 답할 수 있는 내용만 남겼다.,+,+,10,15,16,14,27,23,30,자기지식,5,내 자리에서 시작했다 — AI를 쓰더라도 나를 대신 소개하게 하지 않았다.,내가 고른 단어에서 글이 시작됐다 — 자기 안에서 재료를 찾는 것이 자기소개의 출발점이다.,자기 단어에서 글이 시작됐다 — 어색해도 내 재료가 들어간 자리다.,자기지식;정리력;표현력;자기검증,"자기이해, 표현력, 검토력",8,합산 유지 또는 미세 조정,단계별 선택의 의미가 최종 결과에 거의 그대로 반영된 경로.,자기 경험을 직접 고르고 끝까지 확인하는 자리 — 자기지식 카드와 강한 매칭
A2R1,A,A2,R1,새 학기,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",내 이야기를 먼저 찾아본다,"완벽하지 않아도 내 단어, 내 기억, 내 초안에서 시작한다.",나를 소개할 만한 일을 떠올려 짧은 이야기로 쓴다,실제로 겪은 일을 짧게 적은 이야기형 초안이 만들어졌다. 사건은 보이지만 그 일이 왜 나를 보여주는지는 아직 분명하지 않았다.,실제 경험이 들어간 자기소개,이야기만 그대로 제출한다,실제로 겪은 일을 짧게 적은 이야기를 그대로 냈다. 경험은 들어 있지만 읽는 사람이 그 경험에서 내 특징을 스스로 짐작해야 하는 자기소개가 됐다.,B,78,실제로 겪은 일이 들어가 글의 재료는 단단했어요.,출발은 했지만 중요한 확인 과정이 일부 비어 있어요. 다음에는 내가 책임질 수 있는 근거를 더 남겨 보세요.,다시 해본다면 그대로 진행하기 전에 이상한 부분을 표시하거나 처음부터 다시 확인해 보세요.,중심잡기,주체성,자기이해;표현력,,다듬은 자기소개 카드,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,실제로 겪은 일이 들어가 글의 재료는 단단했어요. 다만 바로 넘겨 그 일이 왜 나를 보여주는지는 흐릿하게 남았어요.,자기소개를 써야 하는 상황이 생겼다.,AI보다 먼저 내 이야기를 떠올렸다.,내 경험을 짧은 이야기로 옮겼다.,실제 경험이 들어간 자기소개,그대로 내며 마지막 확인을 건너뛰었다.,+,+,10,15,15,13,18,15,18,,,내 자리에서 시작했다 — AI를 쓰더라도 나를 대신 소개하게 하지 않았다.,실제로 겪은 일에서 글이 나왔다 — 경험이 자기소개의 근거가 된다.,경험이 들어오면 자기소개에 무게가 생긴다 — 왜 그 경험인지가 연결될 때 글이 완성된다.,자기지식;표현력,"자기이해, 표현력",13,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,
A2R2,A,A2,R2,새 학기,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",내 이야기를 먼저 찾아본다,"완벽하지 않아도 내 단어, 내 기억, 내 초안에서 시작한다.",나를 소개할 만한 일을 떠올려 짧은 이야기로 쓴다,실제로 겪은 일을 짧게 적은 이야기형 초안이 만들어졌다. 사건은 보이지만 그 일이 왜 나를 보여주는지는 아직 분명하지 않았다.,실제 경험이 들어간 자기소개,이 일이 왜 나를 보여주는지 한 문장 덧붙인다,이 일이 왜 나를 보여주는지 한 문장을 덧붙였다. 경험과 내 특징이 연결되어 친구들이 나를 조금 더 이해하기 쉬운 자기소개가 됐다.,A,86,경험 뒤에 이유를 붙이니 친구들이 나를 조금 더 이해하기 쉬워졌어요.,경험과 이유를 연결해 자기소개의 힘이 살아났어요. 한 단계 더 확인하면 더 단단해질 수 있어요.,다시 해본다면 내가 직접 확인한 근거를 하나 더 넣어 보세요.,중심잡기,주체성,자기이해;표현력;검토력,,AI 표현 검수 카드,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,경험 뒤에 이유를 붙이니 친구들이 나를 조금 더 이해하기 쉬워졌어요. 아직 한두 문장은 더 또렷하게 만들 수 있어요.,자기소개를 써야 하는 상황이 생겼다.,AI보다 먼저 내 이야기를 떠올렸다.,내 경험을 짧은 이야기로 옮겼다.,실제 경험이 들어간 자기소개,이상한 표현과 흐름을 한 번 확인했다.,+,+,10,15,15,13,21,18,20,,,내 자리에서 시작했다 — AI를 쓰더라도 나를 대신 소개하게 하지 않았다.,실제로 겪은 일에서 글이 나왔다 — 경험이 자기소개의 근거가 된다.,경험이 들어오면 자기소개에 무게가 생긴다 — 왜 그 경험인지가 연결될 때 글이 완성된다.,자기지식;표현력;검수능력,"자기이해, 표현력, 검토력",10,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,
A2R3,A,A2,R3,새 학기,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",내 이야기를 먼저 찾아본다,"완벽하지 않아도 내 단어, 내 기억, 내 초안에서 시작한다.",나를 소개할 만한 일을 떠올려 짧은 이야기로 쓴다,실제로 겪은 일을 짧게 적은 이야기형 초안이 만들어졌다. 사건은 보이지만 그 일이 왜 나를 보여주는지는 아직 분명하지 않았다.,실제 경험이 들어간 자기소개,AI에게 이 이야기를 읽고 떠오르는 내 특징을 물어본 뒤 맞는 것만 고른다,"AI에게 이야기를 읽고 떠오르는 내 특징을 물어본 뒤 맞는 것만 골랐다. AI가 제안한 특징 중 실제 나와 맞는 것만 골라, 경험과 성격이 연결된 자기소개가 됐다.",A,92,경험과 내 특징이 이어지는지 처음부터 다시 확인했어요.,경험을 고르고 다시 확인해 자기소개의 근거가 분명해졌어요.,다시 해본다면 내가 직접 확인한 근거를 하나 더 넣어 보세요.,중심잡기,주체성,자기이해;표현력;검토력,,함께 다듬은 카드,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,경험과 내 특징이 이어지는지 처음부터 다시 확인했어요. 사건을 나열한 글에서 나를 설명하는 글로 가까워졌어요.,자기소개를 써야 하는 상황이 생겼다.,AI보다 먼저 내 이야기를 떠올렸다.,내 경험을 짧은 이야기로 옮겼다.,실제 경험이 들어간 자기소개,다시 읽으며 내가 답할 수 있는 내용만 남겼다.,+,+,10,15,15,13,26,22,23,,,내 자리에서 시작했다 — AI를 쓰더라도 나를 대신 소개하게 하지 않았다.,실제로 겪은 일에서 글이 나왔다 — 경험이 자기소개의 근거가 된다.,경험이 들어오면 자기소개에 무게가 생긴다 — 왜 그 경험인지가 연결될 때 글이 완성된다.,자기지식;표현력;검수능력;자기검증,"자기이해, 표현력, 검토력",4,합산 유지 또는 미세 조정,단계별 선택의 의미가 최종 결과에 거의 그대로 반영된 경로.,
A3R1,A,A3,R1,새 학기,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",내 이야기를 먼저 찾아본다,"완벽하지 않아도 내 단어, 내 기억, 내 초안에서 시작한다.",서툴어도 일단 초안을 쓴 뒤 필요한 도움만 받는다,짧고 서툴지만 내가 직접 쓴 초안이 만들어졌다. 내 말투는 살아 있었지만 내용이 부족하거나 반복되는 부분이 있었다.,내 말투가 살아 있는 초안,짧거나 어색해도 그대로 제출한다,짧고 어색해도 그대로 냈다. 내 말투는 살아 있지만 친구들이 나를 알기에는 정보가 부족하거나 정리가 덜 된 자기소개가 됐다.,C,62,서툴어도 내 초안에서 시작한 점은 좋았어요.,이번 결과는 부족했던 과정을 알아차리는 출발점이에요. 다시 시도하며 내 기준과 확인 과정을 세워 볼 수 있어요.,다시 해본다면 빠른 결과보다 내가 직접 확인할 수 있는 자료나 경험에서 시작해 보세요.,,,,회복력,흩어진 자기소개,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,서툴어도 내 초안에서 시작한 점은 좋았어요. 하지만 바로 넘겨 생각이 흩어진 부분과 부족한 설명이 그대로 남았어요.,자기소개를 써야 하는 상황이 생겼다.,AI보다 먼저 내 이야기를 떠올렸다.,서툴어도 먼저 내 초안을 만들었다.,내 말투가 살아 있는 초안,그대로 내며 마지막 확인을 건너뛰었다.,+,+,10,15,12,10,15,12,12,,,내 자리에서 시작했다 — AI를 쓰더라도 나를 대신 소개하게 하지 않았다.,짧고 서툴어도 내가 먼저 썼다 — 내 말투는 살아 있지만 더 다듬을 여지가 남는다.,"서툴어도 먼저 썼다 — 내 말투는 살아 있고, 더 다듬을 자리도 보인다.",자기지식,자기이해,3,합산 유지 또는 미세 조정,단계별 선택의 의미가 최종 결과에 거의 그대로 반영된 경로.,
A3R2,A,A3,R2,새 학기,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",내 이야기를 먼저 찾아본다,"완벽하지 않아도 내 단어, 내 기억, 내 초안에서 시작한다.",서툴어도 일단 초안을 쓴 뒤 필요한 도움만 받는다,짧고 서툴지만 내가 직접 쓴 초안이 만들어졌다. 내 말투는 살아 있었지만 내용이 부족하거나 반복되는 부분이 있었다.,내 말투가 살아 있는 초안,다시 읽어보고 빠진 내용을 추가하거나 반복을 줄인다,"다시 읽어보고 빠진 내용을 추가하거나 반복을 줄였다. 처음보다 구체적인 내용이 들어가고 어색한 부분이 줄어, 서툴지만 나를 보여주는 힘이 커진 자기소개가 됐다.",B,76,다시 읽으며 빠진 내용과 반복되는 표현을 조금 줄였어요.,출발은 했지만 중요한 확인 과정이 일부 비어 있어요. 다음에는 내가 책임질 수 있는 근거를 더 남겨 보세요.,다시 해본다면 그대로 진행하기 전에 이상한 부분을 표시하거나 처음부터 다시 확인해 보세요.,성찰하기,성찰적 사고,자기이해;표현력,,다시 묶은 카드,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,다시 읽으며 빠진 내용과 반복되는 표현을 조금 줄였어요. 서툴지만 나를 보여주는 힘이 전보다 커졌어요.,자기소개를 써야 하는 상황이 생겼다.,AI보다 먼저 내 이야기를 떠올렸다.,서툴어도 먼저 내 초안을 만들었다.,내 말투가 살아 있는 초안,이상한 표현과 흐름을 한 번 확인했다.,+,+,10,15,12,10,18,15,14,,,내 자리에서 시작했다 — AI를 쓰더라도 나를 대신 소개하게 하지 않았다.,짧고 서툴어도 내가 먼저 썼다 — 내 말투는 살아 있지만 더 다듬을 여지가 남는다.,"서툴어도 먼저 썼다 — 내 말투는 살아 있고, 더 다듬을 자리도 보인다.",자기지식;정리력,"자기이해, 표현력",12,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,
A3R3,A,A3,R3,새 학기,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",내 이야기를 먼저 찾아본다,"완벽하지 않아도 내 단어, 내 기억, 내 초안에서 시작한다.",서툴어도 일단 초안을 쓴 뒤 필요한 도움만 받는다,짧고 서툴지만 내가 직접 쓴 초안이 만들어졌다. 내 말투는 살아 있었지만 내용이 부족하거나 반복되는 부분이 있었다.,내 말투가 살아 있는 초안,AI에게 추가하거나 줄이면 좋을 곳을 표시하게 한 뒤 내가 고른 부분만 고친다,AI에게 추가하거나 줄이면 좋을 곳을 표시하게 한 뒤 내가 고른 부분만 고쳤다. AI의 제안을 모두 따르지 않고 내게 맞는 내용만 골라 보충하거나 줄인 자기소개가 됐다.,A,85,부족한 초안을 끝까지 다시 보며 진짜 쓰고 싶은 말을 골랐어요.,"좋은 방향의 선택이 많았고, 한두 지점을 더 확인하면 더 단단해질 수 있어요.",다시 해본다면 내가 직접 확인한 근거를 하나 더 넣어 보세요.,성찰하기,성찰적 사고,자기이해;표현력;검토력,,고쳐 잡은 나 카드,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,부족한 초안을 끝까지 다시 보며 진짜 쓰고 싶은 말을 골랐어요. 완벽하진 않아도 내 기준으로 고친 글이 됐어요.,자기소개를 써야 하는 상황이 생겼다.,AI보다 먼저 내 이야기를 떠올렸다.,서툴어도 먼저 내 초안을 만들었다.,내 말투가 살아 있는 초안,다시 읽으며 내가 답할 수 있는 내용만 남겼다.,+,+,10,15,12,10,23,19,17,자기성찰,5,내 자리에서 시작했다 — AI를 쓰더라도 나를 대신 소개하게 하지 않았다.,짧고 서툴어도 내가 먼저 썼다 — 내 말투는 살아 있지만 더 다듬을 여지가 남는다.,"서툴어도 먼저 썼다 — 내 말투는 살아 있고, 더 다듬을 자리도 보인다.",자기지식;정리력;자기성찰;검수능력,"자기이해, 표현력, 검토력",10,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,흩어진 생각을 다시 묶어 보는 자리 — 자기성찰 카드와 강한 매칭
B1R1,B,B1,R1,새 학기,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",AI에게 시작을 도움받는다,"AI를 질문자, 구조 제공자, 초안 제공자로 쓰면서 시작을 도움받는다.",AI 질문에 떠오르는 만큼 답하고 글을 만든다,AI가 준 질문에 답한 내용을 바탕으로 자기소개 초안이 만들어졌다. 시작은 쉬웠지만 답이 짧거나 경험이 빠진 자리가 있었다.,AI 질문에서 시작한 자기소개,답한 내용을 그대로 제출한다,AI가 준 질문에 답한 내용을 그대로 냈다. 질문에 답한 내용은 들어 있지만 왜 그렇게 생각하는지나 실제 경험은 부족한 자기소개가 됐다.,D,28,"AI 질문에 답하긴 했지만 바로 넘겨, 내 경험보다 AI가 채운 말이 더 크게 보였어요.",이번 결과는 부족했던 과정을 알아차리는 출발점이에요. 다시 시도하며 내 기준과 확인 과정을 세워 볼 수 있어요.,다시 해본다면 빠른 결과보다 내가 직접 확인할 수 있는 자료나 경험에서 시작해 보세요.,,,,회복력,,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,"AI 질문에 답하긴 했지만 바로 넘겨, 내 경험보다 AI가 채운 말이 더 크게 보였어요.",자기소개를 써야 하는 상황이 생겼다.,AI의 도움으로 글의 시작을 열었다.,AI 질문에 답하며 글감을 만들었다.,AI 질문에서 시작한 자기소개,그대로 내며 마지막 확인을 건너뛰었다.,0,-,10,0,6,5,9,7,8,,,AI로 시작을 열었다 — 내가 질문에 답하고 내 경험을 넣지 않으면 글이 일반적으로 흐를 수 있다.,AI 질문에 답하며 글이 시작됐다. 다만 답이 구체적이지 않으면 AI가 빈자리를 채워 일반적인 글로 흐를 수 있다.,AI 질문이 시작을 도왔다 — 내 이유와 경험이 들어가야 내 자기소개가 된다.,,,-15,근거/검토 부족 페널티,"검토, 근거 확인, 자기 기준 형성이 부족한 경로.",
