시나리오,비트,ID,위임종류,선택 라벨,기본점수,변동점수,점수합(단계),시간비용,에너지비용,할인_인간중심축,할인_도메인카드(★강함),위임변화,지식변화
자기소개글,1차 선택,A,내가 직접,내 이야기를 먼저 찾아본다,10,15,25,0(면제),0(면제),중심잡기,자기이해,+,+
자기소개글,1차 선택,B,부분 위임,AI에게 시작을 도움받는다,10,0,10,0(면제),0(면제),중심잡기,표현력,0,-
자기소개글,1차 선택,C,전체 위임,AI에게 자기소개를 맡겨본다,10,8,18,0(면제),0(면제),성찰하기,검토력,-,0
자기소개글,2차 더깊은선택,A1,내가 직접,나를 떠올리는 단어에서 시작해 직접 글을 쓴다,10,25,35,16,14,중심잡기,★자기이해 / 표현력,++/+/+ (A/B/C경로별),++/+/+ (A/B/C경로별)
자기소개글,2차 더깊은선택,A2,내가 직접,나를 소개할 만한 일을 떠올려 짧은 이야기로 쓴다,10,12,22,15,13,중심잡기,★자기이해 / 표현력,+/+/+ (A/B/C경로별),+/+/+ (A/B/C경로별)
자기소개글,2차 더깊은선택,A3,내가 직접(→위임쪽),서툴어도 일단 초안을 쓴 뒤 필요한 도움만 받는다,10,0,10,12,10,성찰하기,★표현력 / 검토력,0/-/0 (A/B/C경로별),+/0/0 (A/B/C경로별)
자기소개글,2차 더깊은선택,B1,부분 위임(→직접쪽),AI 질문에 떠오르는 만큼 답하고 글을 만든다,10,0,10,6,5,중심잡기,★탐색력 / 자기이해,-/--/-- (A/B/C경로별),-/-/- (A/B/C경로별)
자기소개글,2차 더깊은선택,B2,부분 위임,AI에게 글의 순서를 받고 내 이야기에 맞게 바꾼다,10,5,15,8,6,융합하기,★표현력 / 자기이해,0/0/0 (A/B/C경로별),0/0/0 (A/B/C경로별)
자기소개글,2차 더깊은선택,B3,부분 위임(→위임쪽),AI 초안을 받고 좋아 보이는 문장과 내 메모를 섞어 글을 만든다,10,25,35,10,8,융합하기,★검토력 / 표현력 / 자기이해,++/++/++ (A/B/C경로별),++/++/++ (A/B/C경로별)
자기소개글,2차 더깊은선택,C1,전체 위임(→위임쪽),아무 정보 없이 AI에게 바로 써달라고 한다,10,-10,0,3,2,성찰하기,★검토력,-/--/-- (A/B/C경로별),-/-/- (A/B/C경로별)
자기소개글,2차 더깊은선택,C2,전체 위임,내 정보 몇 가지만 넣어 AI에게 써달라고 한다,10,5,15,5,4,성찰하기,★자기이해 / 검토력,0/0/0 (A/B/C경로별),0/0/0 (A/B/C경로별)
자기소개글,2차 더깊은선택,C3,전체 위임(→직접쪽),AI 글을 받은 뒤 내 글로 다시 쓴다,10,15,25,11,9,융합하기,표현력 / ★검토력,+/+/+ (A/B/C경로별),+/+/+ (A/B/C경로별)
자기소개글,검토,R1,R1 무검토(○),바로 반 게시판 글로 넘긴다,,,10,2,1,,,,(검토 지식변화는 경로별 finals)
자기소개글,검토,R2,R2 표면검토(◐),어색한 문장과 내 말투가 아닌 표현만 고친다,,,18,5,4,성찰하기,★검토력 / 표현력 / 분석력,,(검토 지식변화는 경로별 finals)
자기소개글,검토,R3,R3 깊은검토(●),친구가 물어봐도 내가 설명할 수 있는 내용인지 다시 본다,,,30,10,8,성찰하기,★검토력 / 자기이해 / 분석력,,(검토 지식변화는 경로별 finals)
모둠발표자료,1차 선택,A,내가 직접,모둠과 먼저 방향을 정한다,10,15,25,0(면제),0(면제),중심잡기,협업력 / 소통력,+,+
모둠발표자료,1차 선택,B,부분 위임,AI로 발표 준비를 빠르게 만들어본다,10,0,10,0(면제),0(면제),중심잡기,자료판단력,0,-
모둠발표자료,1차 선택,C,전체 위임,각자 따로 준비하거나 발표 모양부터 만든다,10,8,18,0(면제),0(면제),성찰하기,협업력 / 검토력,-,0
모둠발표자료,2차 더깊은선택,A1,내가 직접,모둠원들과 발표 질문을 먼저 정한다,10,25,35,16,14,성찰하기,★협업력 / 소통력,++/+/+ (A/B/C경로별),++/+/+ (A/B/C경로별)
모둠발표자료,2차 더깊은선택,A2,내가 직접,역할을 나누고 각자 맡을 내용을 정한다,10,12,22,14,12,성찰하기,★협업력 / 학습력,+/+/+ (A/B/C경로별),+/+/+ (A/B/C경로별)
모둠발표자료,2차 더깊은선택,A3,내가 직접(→직접쪽),내가 맡은 내용을 먼저 이해하고 말로 정리한다,10,0,10,15,13,성찰하기,★표현력 / 문해력,0/-/0 (A/B/C경로별),+/0/0 (A/B/C경로별)
모둠발표자료,2차 더깊은선택,B1,부분 위임(→위임쪽),AI에게 발표 주제와 개요를 부탁한다,10,-10,0,5,4,중심잡기,★자료판단력 / 표현력,-/--/-- (A/B/C경로별),-/-/- (A/B/C경로별)
모둠발표자료,2차 더깊은선택,B2,부분 위임(→위임쪽),AI에게 슬라이드 문구를 만들어 달라고 한다,10,5,15,4,3,융합하기,★표현력 / 검토력,0/0/0 (A/B/C경로별),0/0/0 (A/B/C경로별)
모둠발표자료,2차 더깊은선택,B3,부분 위임(→직접쪽),내가 찾은 자료를 바탕으로 AI에게 발표 대본 초안을 받는다,10,25,35,10,9,융합하기,★자료판단력 / 표현력,++/++/++ (A/B/C경로별),++/++/++ (A/B/C경로별)
모둠발표자료,2차 더깊은선택,C1,전체 위임(→직접쪽),모둠 회의 없이 각자 자료를 찾아 합친다,10,-10,0,13,11,성찰하기,★협업력 / 자료판단력,-/--/-- (A/B/C경로별),-/-/- (A/B/C경로별)
모둠발표자료,2차 더깊은선택,C2,전체 위임(→위임쪽),발표를 잘하는 친구나 한 사람에게 많이 맡긴다,10,5,15,8,7,성찰하기,★협업력 / 소통력,0/0/- (A/B/C경로별),0/0/0 (A/B/C경로별)
모둠발표자료,2차 더깊은선택,C3,전체 위임,자료보다 발표 모양을 먼저 만든다,10,0,10,12,10,융합하기,★자료판단력 / 검토력,-/-/- (A/B/C경로별),0/0/0 (A/B/C경로별)
모둠발표자료,검토,R1,R1 무검토(○),만든 자료를 바로 모둠에 공유한다,,,10,2,1,,,,(검토 지식변화는 경로별 finals)
모둠발표자료,검토,R2,R2 표면검토(◐),빠진 출처와 어색한 슬라이드만 확인한다,,,18,5,4,성찰하기,★검토력 / 자료판단력 / 분석력,,(검토 지식변화는 경로별 finals)
모둠발표자료,검토,R3,R3 깊은검토(●),모둠 발표 흐름과 내 설명이 맞물리는지 점검한다,,,30,10,8,성찰하기,★협업력 / 표현력 / 검토력 / 분석력,,(검토 지식변화는 경로별 finals)
어린왕자독후감,1차 선택,A,내가 직접,책을 직접 읽고 쓴다,10,15,25,0(면제),0(면제),중심잡기,문해력,+,+
어린왕자독후감,1차 선택,B,부분 위임,AI나 다른 도움으로 읽을 실마리를 잡는다,10,0,10,0(면제),0(면제),중심잡기,문해력 / 탐색력,0,-
어린왕자독후감,1차 선택,C,전체 위임,책 읽기를 건너뛰고 독후감을 만들어본다,10,8,18,0(면제),0(면제),성찰하기,검토력,-,0
어린왕자독후감,2차 더깊은선택,A1,내가 직접(→직접쪽),처음부터 읽고 짧게라도 독후감을 쓴다,10,25,35,18,16,중심잡기,★문해력 / 표현력,++/+/+ (A/B/C경로별),++/+/+ (A/B/C경로별)
어린왕자독후감,2차 더깊은선택,A2,내가 직접,읽다가 밑줄 친 문장이나 장면을 중심으로 쓴다,10,12,22,16,14,중심잡기,★문해력 / 분석력 / 표현력,+/+/+ (A/B/C경로별),+/+/+ (A/B/C경로별)
어린왕자독후감,2차 더깊은선택,A3,내가 직접(→직접쪽),이해되지 않는 부분을 붙들고 독후감을 쓴다,10,0,10,18,16,성찰하기,문해력 / ★분석력,0/-/0 (A/B/C경로별),+/0/0 (A/B/C경로별)
어린왕자독후감,2차 더깊은선택,B1,부분 위임(→위임쪽),AI나 검색 요약으로 줄거리를 파악하고 중요한 장면 하나를 책에서 찾아 읽는다,10,0,10,9,8,중심잡기,★문해력 / 자료판단력,-/--/-- (A/B/C경로별),-/-/- (A/B/C경로별)
어린왕자독후감,2차 더깊은선택,B2,부분 위임(→직접쪽),유명한 문장이나 소개 자료를 보고 그 앞뒤 장면을 직접 읽는다,10,5,15,9,8,융합하기,문해력 / ★자료판단력,0/0/0 (A/B/C경로별),0/0/0 (A/B/C경로별)
어린왕자독후감,2차 더깊은선택,B3,부분 위임(→직접쪽),책을 읽으며 AI에게 궁금한 점을 물어보고 내 생각을 정리한다,10,25,35,12,10,융합하기,문해력 / 분석력 / ★탐색력,++/++/++ (A/B/C경로별),++/++/++ (A/B/C경로별)
어린왕자독후감,2차 더깊은선택,C1,전체 위임(→위임쪽),AI에게 줄거리와 독후감 초안을 바로 부탁한다,10,-10,0,4,3,성찰하기,★검토력 / 문해력,-/--/-- (A/B/C경로별),-/-/- (A/B/C경로별)
어린왕자독후감,2차 더깊은선택,C2,전체 위임,검색한 줄거리나 영상 소개만 보고 독후감을 쓴다,10,5,15,6,5,성찰하기,★자료판단력 / 문해력,0/0/0 (A/B/C경로별),0/0/0 (A/B/C경로별)
어린왕자독후감,2차 더깊은선택,C3,전체 위임,유명한 문장이나 분위기만으로 독후감을 쓴다,10,15,25,6,5,융합하기,분석력 / ★검토력,-/-/- (A/B/C경로별),+/+/+ (A/B/C경로별)
어린왕자독후감,검토,R1,R1 무검토(○),감상문을 바로 낸다,,,10,2,1,,,,(검토 지식변화는 경로별 finals)
어린왕자독후감,검토,R2,R2 표면검토(◐),이상한 내용이나 책과 다른 부분만 표시한다,,,18,5,4,성찰하기,검토력 / ★자료판단력,,(검토 지식변화는 경로별 finals)
어린왕자독후감,검토,R3,R3 깊은검토(●),책의 장면과 내 감상이 실제로 이어지는지 다시 확인한다,,,30,10,8,성찰하기,★검토력 / 문해력 / 분석력,,(검토 지식변화는 경로별 finals)
