시나리오,경로,1차 선택,1차 위임,1차 시간비용,1차 에너지비용,1차 점수,1차 역량카드,1차 능력카드,2차 선택,2차 위임(보정),2차 시간비용,2차 에너지비용,2차 점수,2차 역량카드,2차 능력카드,검토 선택,검토 깊이,검토 시간비용,검토 에너지비용,검토 점수,검토 역량카드,검토 능력카드,최종점수(verdict),등급,단계점수합,시간비용합,에너지비용합
자기소개글,A1R1,내 이야기를 먼저 찾아본다,내가 직접,0(면제),0(면제),25,주체성,,나를 떠올리는 단어에서 시작해 직접 글을 쓴다,내가 직접,16,14,35,,자기이해,바로 반 게시판 글로 넘긴다,R1 무검토,2,1,10,,,86,A,70,18,15
자기소개글,A1R2,내 이야기를 먼저 찾아본다,내가 직접,0(면제),0(면제),25,주체성,,나를 떠올리는 단어에서 시작해 직접 글을 쓴다,내가 직접,16,14,35,,자기이해,어색한 문장과 내 말투가 아닌 표현만 고친다,R2 표면검토,5,4,18,,검토력,91,A,78,21,18
자기소개글,A1R3,내 이야기를 먼저 찾아본다,내가 직접,0(면제),0(면제),25,주체성,,나를 떠올리는 단어에서 시작해 직접 글을 쓴다,내가 직접,16,14,35,,자기이해,친구가 물어봐도 내가 설명할 수 있는 내용인지 다시 본다,R3 깊은검토,10,8,30,,검토력,97,S,90,26,22
자기소개글,A2R1,내 이야기를 먼저 찾아본다,내가 직접,0(면제),0(면제),25,주체성,,나를 소개할 만한 일을 떠올려 짧은 이야기로 쓴다,내가 직접,15,13,22,,자기이해,바로 반 게시판 글로 넘긴다,R1 무검토,2,1,10,,,78,B,57,17,14
자기소개글,A2R2,내 이야기를 먼저 찾아본다,내가 직접,0(면제),0(면제),25,주체성,,나를 소개할 만한 일을 떠올려 짧은 이야기로 쓴다,내가 직접,15,13,22,,자기이해,어색한 문장과 내 말투가 아닌 표현만 고친다,R2 표면검토,5,4,18,,검토력,86,A,65,20,17
자기소개글,A2R3,내 이야기를 먼저 찾아본다,내가 직접,0(면제),0(면제),25,주체성,,나를 소개할 만한 일을 떠올려 짧은 이야기로 쓴다,내가 직접,15,13,22,,자기이해,친구가 물어봐도 내가 설명할 수 있는 내용인지 다시 본다,R3 깊은검토,10,8,30,,검토력,92,A,77,25,21
자기소개글,A3R1,내 이야기를 먼저 찾아본다,내가 직접,0(면제),0(면제),25,주체성,,서툴어도 일단 초안을 쓴 뒤 필요한 도움만 받는다,내가 직접→위임쪽,12,10,10,,표현력,바로 반 게시판 글로 넘긴다,R1 무검토,2,1,10,,,62,C,45,14,11
자기소개글,A3R2,내 이야기를 먼저 찾아본다,내가 직접,0(면제),0(면제),25,주체성,,서툴어도 일단 초안을 쓴 뒤 필요한 도움만 받는다,내가 직접→위임쪽,12,10,10,,표현력,어색한 문장과 내 말투가 아닌 표현만 고친다,R2 표면검토,5,4,18,,검토력,76,B,53,17,14
자기소개글,A3R3,내 이야기를 먼저 찾아본다,내가 직접,0(면제),0(면제),25,주체성,,서툴어도 일단 초안을 쓴 뒤 필요한 도움만 받는다,내가 직접→위임쪽,12,10,10,,표현력,친구가 물어봐도 내가 설명할 수 있는 내용인지 다시 본다,R3 깊은검토,10,8,30,,검토력,85,A,65,22,18
자기소개글,B1R1,AI에게 시작을 도움받는다,부분 위임,0(면제),0(면제),10,,,AI 질문에 떠오르는 만큼 답하고 글을 만든다,부분 위임→직접쪽,6,5,10,,,바로 반 게시판 글로 넘긴다,R1 무검토,2,1,10,,,28,D,30,8,6
