section,key,value
humanCentricCards,humanCentricCards.중심잡기.short,AI 시대에 자기 기준과 목표를 붙잡는 힘
humanCentricCards,humanCentricCards.융합하기.short,AI와 내 생각을 엮어 문제를 풀거나 새 결과를 만드는 힘
humanCentricCards,humanCentricCards.성찰하기.short,AI 결과와 나의 선택을 다시 확인하고 책임 있게 고치는 힘
domainCards,domainCards.자기이해.short,내 경험·관심·약점·기준을 알아차리는 힘
domainCards,domainCards.표현력.short,내 생각을 글이나 말로 풀어내는 힘
domainCards,domainCards.문해력.short,글과 자료를 직접 읽고 의미를 길어올리는 힘
domainCards,domainCards.분석력.short,정보나 문제를 비교하고 따져보는 힘
domainCards,domainCards.검토력.short,결과를 다시 확인하고 고치는 힘
domainCards,domainCards.자료판단력.short,출처·근거·신뢰도를 보고 자료를 고르는 힘
domainCards,domainCards.소통력.short,상대의 생각과 맥락을 읽고 맞추는 힘
domainCards,domainCards.협업력.short,팀 안에서 역할과 흐름을 맞추는 힘
domainCards,domainCards.학습력.short,내가 모르는 것을 찾고 공부를 설계하는 힘
domainCards,domainCards.탐색력.short,관심과 가능성을 찾아 넓히는 힘
growthCards,growthCards.회복력.short,낮은 결과에서 비어 있던 과정을 알아차리고 다시 세우는 힘
growthCards,growthCards.도전력.short,같은 시나리오를 다시 시도하며 더 나은 선택을 해보는 힘
cards,cards.검수능력.short,AI/타인 결과를 끝까지 확인하는 습관
cards,cards.자기검증.short,자기 판단을 다시 점검하는 자세
cards,cards.자기성찰.short,회기 끝마다 학습을 돌아보는 메타 시선
cards,cards.비판적 사고.short,주어진 정보를 의심하고 판단하는 시선
cards,cards.자기지식.short,자기 경험·관심을 자기 말로 정리하는 능력
cards,cards.표현력.short,자기 생각을 자기 언어로 풀어내는 힘
cards,cards.정리력.short,정보를 구조화하고 가지런히 만드는 능력
cards,cards.협업능력.short,다른 사람과 함께 일하고 말하는 기능
cards,cards.소통능력.short,다른 사람과 말로 만나고 의견을 나누는 기능
cards,cards.발표력.short,여러 사람 앞에서 자기 결로 말하는 기능
cards,cards.문해력.short,텍스트를 읽고 의미를 길어 올리는 능력
cards,cards.공감력.short,타인의 마음을 읽고 따라가는 능력
cards,cards.해석능력.short,주어진 자료에서 자기 의미를 만드는 능력
cards,cards.진로탐색.short,자기 미래의 가능성을 찾고 비교하는 시선
cards,cards.정보분석.short,자료를 비교하고 판단하는 시선
cards,cards.직업이해.short,직업 세계의 실제 결을 읽는 능력
cards,cards.학습설계.short,자기 학습을 계획하고 통제하는 능력
cards,cards.시간관리.short,시간이라는 자원을 의식적으로 쓰는 능력
cards,cards.학습전략.short,자기 학습을 효율적으로 굴리는 방법론
narrative,narrative.types.pp.label,주도형 (Aware Builder)
narrative,narrative.types.pp.text,AI 시대 학습자로서 <b>판단하는 힘과 아는것의 힘 둘 다 단단하게</b> 자랐다. 위임의 경계를 의식적으로 그으면서 자기 영역을 키운 유형. 학습 활동에서 AI 활용과 자기 판단 둘 다 능동적으로 통제했다.
narrative,narrative.types.pn.label,분별형 (Aware Light)
narrative,narrative.types.pn.text,AI 활용 판단은 단단한데 <b>아는것의 힘이 약하다</b>. AI를 잘 쓰지만 그 결과를 검증할 자기 지식이 부족할 위험. AI 의존도가 낮아도 자기 학습 깊이가 따라오지 않으면 판단하는 힘 자체가 표면적이 될 수 있다.
narrative,narrative.types.np.label,자립형 (Self-Reliant)
narrative,narrative.types.np.text,<b>자기 힘으로 풀어내면서 아는것의 힘도 자랐다</b>. 다만 AI에 맡기면 효율이 올라갈 자리에서도 혼자 갔다. 판단하는 힘을 의식적으로 쓰는 연습이 다음 단계 — AI를 안 쓰는 것이 항상 좋은 것은 아니다.
narrative,narrative.types.nn.label,출발형 (Drift)
narrative,narrative.types.nn.text,AI에 맡기는 비중이 크고 <b>아는것의 힘도 약한</b> 패턴. 학습자로서 다시 시작점에 서 있다. 위임의 경계를 의식하는 것이 첫 걸음 — AI 결과를 그대로 받지 말고 자기 판단으로 한 번 더 거르는 습관부터.
narrative,narrative.types.mid.label,탐색형 (In-Between)
narrative,narrative.types.mid.text,판단하는 힘과 아는것의 힘 모두 중간대에 머무른다. 어느 한 쪽으로 뚜렷한 패턴이 자리잡지 않은 단계. 다음 학기에는 한 회기씩 자기 선택의 이유를 의식적으로 짚어보면 <b>방향이 보일 것</b>이다.
narrative,narrative.tier1_patterns.no_data.distribution,1차 선택 데이터가 없다.
narrative,narrative.tier1_patterns.no_data.interpretation,패턴을 보기 어렵다.
narrative,narrative.tier1_patterns.balanced.pattern,균형
narrative,narrative.tier1_patterns.balanced.interpretation,상황마다 다른 길을 골랐다 — <b>유연한 판단력</b>.
narrative,narrative.tier1_patterns.A_dominant.pattern,A 우세
narrative,narrative.tier1_patterns.A_dominant.interpretation,<b>직접 처리</b> 패턴 — 자기 판단으로 시작하는 학생.
narrative,narrative.tier1_patterns.B_dominant.pattern,B 우세
narrative,narrative.tier1_patterns.B_dominant.interpretation,<b>AI 위임</b> 패턴 — AI 활용 판단을 빠르게 결정하는 스타일.
narrative,narrative.tier1_patterns.C_dominant.pattern,C 우세
narrative,narrative.tier1_patterns.C_dominant.interpretation,<b>자료 비교</b> 패턴 — 정보 검토에 시간을 들이는 신중한 학생.
narrative,narrative.tier1_patterns.mixed.pattern,혼합
narrative,narrative.tier1_patterns.mixed.interpretation,상황마다 다른 길을 골랐다 — <b>유연한 판단력</b>.
narrative,narrative.card_distribution.human_centric_dominant,인간중심 카드 {humanCentric}장 / 도메인 카드 {domain}장 — <b>자기 기준과 사고력</b>이 학기 통틀어 자랐다.
narrative,narrative.card_distribution.domain_dominant,인간중심 카드 {humanCentric}장 / 도메인 카드 {domain}장 — <b>실제 행동 역량</b>에서 깊은 카드가 쌓였다.
narrative,narrative.card_distribution.balanced,인간중심 카드 {humanCentric}장 / 도메인 카드 {domain}장 — 사고력과 행동 역량이 균형 있게 쌓였다.
narrative,narrative.card_distribution.growth_note,성장 카드 {growth}장 — 실패를 학습으로 바꾼 경험.
narrative,narrative.no_cards.title,이번 학기는 카드를 한 장도 받지 못했다.
narrative,narrative.no_cards.body,시나리오 결과에서 카드를 받을 수 있다 — 다음 학기에는 자기 선택이 어떤 카드로 이어지는지 의식해 보자.
narrative,narrative.zero_card_scenes,<b>{scenarios}</b> 회기에서는 카드를 받지 못했다 — 다시 도전하면 회복력 카드를 얻을 수 있다.
narrative,narrative.section_titles.type,학습자 패턴
narrative,narrative.section_titles.cards,역량 카드 프로필
narrative,narrative.section_titles.tier1,학생 선택 패턴
ui_messages,ui_messages.game_over.title,자원이 부족!
ui_messages,ui_messages.game_over.body,자원이 부족해서 더 이상 진행할 수 없습니다.
ui_messages,ui_messages.game_over.resources_label,현재 자원
ui_messages,ui_messages.game_over.time_label,시간
ui_messages,ui_messages.game_over.energy_label,에너지
ui_messages,ui_messages.game_over.btn_report,AI 리터러시 성장 리포트
ui_messages,ui_messages.game_over.btn_restart,처음부터 다시 시작하기
ui_messages,ui_messages.inventory.panel_title,역량 카드
ui_messages,ui_messages.inventory.tab_name,역량 카드
ui_messages,ui_messages.inventory.tab_desc,모은 카드 보기
ui_messages,ui_messages.inventory.empty,아직 획득한 카드가 없어요.<br>시나리오 끝에 카드를 받을 수 있습니다.
ui_messages,ui_messages.inventory.section_human_centric,인간중심 역량
ui_messages,ui_messages.inventory.section_domain,도메인 역량
ui_messages,ui_messages.inventory.section_growth,성장 역량
ui_messages,ui_messages.card_reward.btn_acquire,획득
ui_messages,ui_messages.card_reward.tag_format,역량 카드 획득 · {idx}/{total}
ui_messages,ui_messages.scenario_result.no_card_notice,이번엔 역량 카드를 받지 못했어요.
