포스터번호,작가,포스터내용,매칭캐릭터
10156,오노레 드 발자크,불행이야말로 우리의 가장 훌륭한 스승이다. 불행은 돈과 사람의 가치를 가르쳐준다. 역경에 처해서도 타락하지 않았다면 그 자체만으로도 매우 위대하다.,치유자(HEALER)
11367,요한 볼프강 폰 괴테,나는 인간이었다. 그것은 싸우며 자란 것을 의미한다.,교수(PROFESSOR)
12355,살바도르 달리,나를 흡입해요. 내가 마약입니다.,전사(TANKER)
12431,윤태호,만화가에게 마감이라는 것은 없다. 퇴근이 없다 보니 집에서도 정말 편한 마음으로 놀 수 없다.,환영가(ILLUSIONIST)
13294,클로드 모네,사랑은 나이를 갖지 않는다. 그것은 언제나 새롭게 태어나기 때문이다.,치유자(HEALER)
13571,루치아노 베네통,인생의 첫발을 내디딜 때는 자신의 재력이나 장점에 의지하지 말라. 중요한 것은 남들과 다른 일을 하는 것이다.,교수(PROFESSOR)
14087,마르셀 프루스트,열망은 모든 것을 꽃피게 하지만 소유는 모든 것을 시들고 스러지게 한다.,전사(TANKER)
14270,오귀스트 르누아르,가뜩이나 불쾌한 것투성이인 세상에서 굳이 그림마저 아름답지 않은 것까지 그려야 할까?,환영가(ILLUSIONIST)
14385,박수근,예술은 고양이 눈빛처럼 쉽사리 변하는 것이 아니라 뿌리 깊게 한 세계를 깊이 파고드는 것이다.,환영가(ILLUSIONIST)
14655,마르셀 뒤샹,회화는 망했어! 누가 저 프로펠러보다 더 멋진 걸 만들 수 있겠어?,전사(TANKER)
16385,마크 로스코,예술이란 삶에 이끌린 많은 사람은 우리가 뿌리를 내리고 자랄 수 있는 침묵이라는 주머니를 간절히 찾고 있습니다. 우리는 모두 침묵이라는 주머니를 찾을 수 있기를 희망해야 합니다.,교수(PROFESSOR)
17756,레오나르도 다 빈치,"세상에는 세 종류의 사람이 있다. 보려는 사람, 보여주면 보는 사람, 보여줘도 안 보는 사람.",교수(PROFESSOR)
18515,정약용,쉬지 말고 기록하라. 기억은 흐려지고 생각은 사라진다. 머리를 믿지 말고 손을 믿어라.,교수(PROFESSOR)
18539,파블로 피카소,좋은 예술가는 베끼고 위대한 예술가는 훔친다.,환영가(ILLUSIONIST)
18710,클로드 모네,베껴야 한다면 가장 위대한 것을 베껴야 한다. 그것은 바로 자연이다.,환영가(ILLUSIONIST)
19737,오노레 드 발자크,모든 지혜 중에서 결혼에 관한 지식이 가장 뒤떨어진다.,전사(TANKER)
20239,장 오퀴스트 도미니크 앵그르,"젊은이여, 선을 그어라. 많은 선을 그어라, 기억에서 또는 자연에서. 그것이 좋은 예술가가 되는 길이다.",환영가(ILLUSIONIST)
20295,오노 요코,부정적인 감정을 없애려 하지 말고 음식에 들어 있는 소금처럼 활용하라.,치유자(HEALER)
22206,에곤 실레,예술가를 제한하는 것은 범죄다. 그것은 태어나는 생명을 죽이는 것이다.,전사(TANKER)
23944,밥 딜런,완벽히 자유로운 건 없다. 새조차도 하늘에 묶여 있지 않은가.,전사(TANKER)
