경로,1차,2차,검토,〈컷1〉분류,〈컷1〉제목,〈컷1〉상황텍스트,〈컷2〉1차 라벨,〈컷2〉1차 설명,〈컷3〉깊은선택 라벨,〈컷4〉2차 결과물,〈컷4〉결과 요약,〈컷5〉검토 라벨,〈컷5〉검토 학생narrative,〈컷6〉등급,〈컷6〉점수,〈컷6〉짧은피드백,〈컷6〉Cut6피드백,〈컷6〉다시하기제안(C·D),〈카드획득〉인간중심축,〈카드획득〉인간중심태그,〈카드획득〉도메인카드,〈카드획득〉성장카드,〈카드획득〉카드명(아이템),〈리포트〉학습메시지,〈리포트〉리포트피드백,〈리포트〉만화컷1,〈리포트〉만화컷2,〈리포트〉만화컷3,〈리포트〉만화컷4,〈리포트〉만화컷5,〈내부〉1차 위임변화,〈내부〉1차 지식변화,〈내부〉1차 기본점수,〈내부〉1차 변수점수,〈내부〉2차 시간비용,〈내부〉2차 에너지비용,〈내부〉경로 시간비용,〈내부〉경로 에너지비용,〈내부〉EXP,〈내부〉매칭 요구카드,〈내부〉매칭 보너스,〈미사용〉1차 메시지,〈미사용〉깊은선택 메시지,〈미사용〉결과 교훈,〈미사용〉획득역량카드(레거시),〈미사용〉획득카드정리,〈미사용〉보정점수,〈미사용〉보정유형,〈미사용〉보정사유,〈미사용〉매칭 노트
A1R1,A,A1,R1,모둠 활동,모둠 발표 자료,"학기 초 모둠 발표가 다음 주로 잡혔다. 우리 모둠은 4명이 각자 파트를 맡았고, 내가 맡은 일은 자료 조사와 슬라이드 3장 만들기였다. 다른 애들이 어떤 흐름으로 준비하는지 아직 잘 모르는데, 숙제도 있고 학원도 있어서 시간이 많지는 않았다.",모둠과 먼저 방향을 정한다,"모둠이 함께 발표 질문을 정하고, 역할을 나누고, 각자 맡은 내용을 이해하려는 길이다.",모둠원들과 발표 질문을 먼저 정한다,"모둠원들이 함께 정한 발표 질문 하나가 만들어진다. 예를 들어 “우리 동네에서 청소년이 안전하게 쉴 공간은 충분한가?”처럼 발표의 중심이 되는 질문은 생겼지만, 아직 자료와 역할은 정리되지 않았다.",모둠 질문 중심의 발표 준비,정한 질문으로 바로 자료를 찾는다,"발표 방향은 생겼지만, 질문이 사회 시간의 주제와 잘 맞는지, 우리 동네 상황을 충분히 담는지는 확인하지 못한 발표 준비가 된다.",A,86,모둠 질문에서 출발해 발표의 중심은 잡혔어요.,"좋은 방향의 선택이 많았고, 한두 지점을 더 확인하면 더 단단해질 수 있어요.",다시 해본다면 마지막 확인을 한 단계 더 깊게 해 보세요.,성찰하기,사회·관계적 사고,협업력;소통력,,모둠 공유 카드,혼자 빨리 끝낸 발표 자료는 모둠 안에서 아직 맞춰진 자료가 아니다.,모둠 질문에서 출발해 발표의 중심은 잡혔어요. 다만 바로 공유해 출처와 역할 연결은 아직 확인하지 못했어요.,모둠 발표를 준비해야 하는 상황이 생겼다.,모둠과 발표 방향을 먼저 맞췄다.,발표에서 답할 질문을 먼저 정했다.,모둠 질문 중심의 발표 준비,그대로 읽기로 하며 설명 가능성을 확인하지 못했다.,+,+,10,15,16,14,19,16,25,,,모둠 자리에서 시작했다 — 발표는 모둠이 함께 이해한 이야기일 때 단단하다.,모둠 질문에서 시작했다 — 발표의 중심이 잡힌다.,모둠 질문에서 시작했다 — 발표의 중심이 잡힌다.,협업능력;소통능력;자기검증,"협업력, 소통력, 검토력",19,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,
A1R2,A,A1,R2,모둠 활동,모둠 발표 자료,"학기 초 모둠 발표가 다음 주로 잡혔다. 우리 모둠은 4명이 각자 파트를 맡았고, 내가 맡은 일은 자료 조사와 슬라이드 3장 만들기였다. 다른 애들이 어떤 흐름으로 준비하는지 아직 잘 모르는데, 숙제도 있고 학원도 있어서 시간이 많지는 않았다.",모둠과 먼저 방향을 정한다,"모둠이 함께 발표 질문을 정하고, 역할을 나누고, 각자 맡은 내용을 이해하려는 길이다.",모둠원들과 발표 질문을 먼저 정한다,"모둠원들이 함께 정한 발표 질문 하나가 만들어진다. 예를 들어 “우리 동네에서 청소년이 안전하게 쉴 공간은 충분한가?”처럼 발표의 중심이 되는 질문은 생겼지만, 아직 자료와 역할은 정리되지 않았다.",모둠 질문 중심의 발표 준비,이 질문이 발표 주제와 우리 동네 상황에 맞는지 다시 확인한다,"모둠이 정한 질문을 다시 점검해, 발표 주제와 실제 동네 상황이 더 잘 이어지는 발표 방향이 된다.",A,91,빠진 출처와 어색한 슬라이드를 고치며 모둠 질문이 더 잘 보였어요.,자기 기준을 세우고 마지막 확인까지 해낸 선택이라 결과의 완성도가 높아요.,다시 해본다면 같은 주제를 다른 방식으로 풀어 보며 선택의 차이를 비교해 보세요.,성찰하기,사회·관계적 사고,협업력;소통력;자료판단력,,모둠 공유 카드,혼자 빨리 끝낸 발표 자료는 모둠 안에서 아직 맞춰진 자료가 아니다.,빠진 출처와 어색한 슬라이드를 고치며 모둠 질문이 더 잘 보였어요. 발표 흐름 전체는 한 번 더 맞출 수 있어요.,모둠 발표를 준비해야 하는 상황이 생겼다.,모둠과 발표 방향을 먼저 맞췄다.,발표에서 답할 질문을 먼저 정했다.,모둠 질문 중심의 발표 준비,내가 이해하지 못한 내용은 지웠다.,+,+,10,15,16,14,22,19,27,,,모둠 자리에서 시작했다 — 발표는 모둠이 함께 이해한 이야기일 때 단단하다.,모둠 질문에서 시작했다 — 발표의 중심이 잡힌다.,모둠 질문에서 시작했다 — 발표의 중심이 잡힌다.,협업능력;소통능력;자기검증;비판적 사고,"협업력, 소통력, 검토력, 분석력",18,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,
A1R3,A,A1,R3,모둠 활동,모둠 발표 자료,"학기 초 모둠 발표가 다음 주로 잡혔다. 우리 모둠은 4명이 각자 파트를 맡았고, 내가 맡은 일은 자료 조사와 슬라이드 3장 만들기였다. 다른 애들이 어떤 흐름으로 준비하는지 아직 잘 모르는데, 숙제도 있고 학원도 있어서 시간이 많지는 않았다.",모둠과 먼저 방향을 정한다,"모둠이 함께 발표 질문을 정하고, 역할을 나누고, 각자 맡은 내용을 이해하려는 길이다.",모둠원들과 발표 질문을 먼저 정한다,"모둠원들이 함께 정한 발표 질문 하나가 만들어진다. 예를 들어 “우리 동네에서 청소년이 안전하게 쉴 공간은 충분한가?”처럼 발표의 중심이 되는 질문은 생겼지만, 아직 자료와 역할은 정리되지 않았다.",모둠 질문 중심의 발표 준비,AI에게 이 질문으로 발표할 때 빠질 수 있는 관점을 물어본 뒤 필요한 것만 고른다,"AI가 빠질 수 있는 관점을 알려주지만, 모둠이 실제로 다룰 수 있는 내용만 골라 발표 질문을 보완한 준비가 된다.",S,97,"모둠 질문, 내 자료, 발표 흐름을 끝까지 맞췄어요.",자기 기준을 세우고 마지막 확인까지 해낸 선택이라 결과의 완성도가 높아요.,다시 해본다면 같은 주제를 다른 방식으로 풀어 보며 선택의 차이를 비교해 보세요.,성찰하기,사회·관계적 사고,협업력;소통력;표현력,,같이 맞춘 발표 카드,혼자 빨리 끝낸 발표 자료는 모둠 안에서 아직 맞춰진 자료가 아니다.,"모둠 질문, 내 자료, 발표 흐름을 끝까지 맞췄어요. 내 파트가 모둠 발표 안에서 설명 가능한 자리를 얻었어요.",모둠 발표를 준비해야 하는 상황이 생겼다.,모둠과 발표 방향을 먼저 맞췄다.,발표에서 답할 질문을 먼저 정했다.,모둠 질문 중심의 발표 준비,질문을 예상하고 답하기 어려운 부분을 고쳤다.,+,+,10,15,16,14,27,23,30,협업능력,5,모둠 자리에서 시작했다 — 발표는 모둠이 함께 이해한 이야기일 때 단단하다.,모둠 질문에서 시작했다 — 발표의 중심이 잡힌다.,모둠 질문에서 시작했다 — 발표의 중심이 잡힌다.,협업능력;소통능력;발표력;자기검증;자기성찰,"협업력, 소통력, 표현력, 검토력, 자기이해",9,합산 유지 또는 미세 조정,단계별 선택의 의미가 최종 결과에 거의 그대로 반영된 경로.,모둠 채팅방 공유와 친구 파트 이어주는 자리 — 협업능력 카드와 강한 매칭
A2R1,A,A2,R1,모둠 활동,모둠 발표 자료,"학기 초 모둠 발표가 다음 주로 잡혔다. 우리 모둠은 4명이 각자 파트를 맡았고, 내가 맡은 일은 자료 조사와 슬라이드 3장 만들기였다. 다른 애들이 어떤 흐름으로 준비하는지 아직 잘 모르는데, 숙제도 있고 학원도 있어서 시간이 많지는 않았다.",모둠과 먼저 방향을 정한다,"모둠이 함께 발표 질문을 정하고, 역할을 나누고, 각자 맡은 내용을 이해하려는 길이다.",역할을 나누고 각자 맡을 내용을 정한다,"자료조사, 슬라이드, 발표, 정리 같은 역할이 나뉘고, 각자 맡을 내용이 정리된 역할 분담표가 만들어진다. 역할은 나뉘었지만, 각 역할이 발표의 전체 흐름과 어떻게 이어지는지는 아직 확인이 필요하다.",역할 분담 + 흐름 정합 발표 준비,맡은 역할만 보고 각자 준비한다,"역할 분담은 되었지만, 각자 맡은 일이 따로 움직여 발표가 조각난 느낌으로 이어질 수 있는 준비가 된다.",B,78,역할을 나눠 각자 할 일은 생겼어요.,출발은 했지만 중요한 확인 과정이 일부 비어 있어요. 다음에는 내가 책임질 수 있는 근거를 더 남겨 보세요.,다시 해본다면 그대로 진행하기 전에 이상한 부분을 표시하거나 처음부터 다시 확인해 보세요.,성찰하기,사회·관계적 사고,협업력;소통력,,다듬은 슬라이드 카드,혼자 빨리 끝낸 발표 자료는 모둠 안에서 아직 맞춰진 자료가 아니다.,역할을 나눠 각자 할 일은 생겼어요. 하지만 바로 공유해 서로의 파트가 어떻게 이어지는지는 흐릿했어요.,모둠 발표를 준비해야 하는 상황이 생겼다.,모둠과 발표 방향을 먼저 맞췄다.,모둠 안에서 역할과 흐름을 나눴다.,역할 분담 + 흐름 정합 발표 준비,그대로 읽기로 하며 설명 가능성을 확인하지 못했다.,+,+,10,15,14,12,17,14,18,,,모둠 자리에서 시작했다 — 발표는 모둠이 함께 이해한 이야기일 때 단단하다.,역할을 나눴다 — 나뉜 일이 발표 흐름과 어떻게 이어지는지가 다음 자리다.,역할을 나눴다 — 나뉜 일이 발표 흐름과 어떻게 이어지는지가 다음 자리다.,협업능력;발표력,"협업력, 표현력",13,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,
A2R2,A,A2,R2,모둠 활동,모둠 발표 자료,"학기 초 모둠 발표가 다음 주로 잡혔다. 우리 모둠은 4명이 각자 파트를 맡았고, 내가 맡은 일은 자료 조사와 슬라이드 3장 만들기였다. 다른 애들이 어떤 흐름으로 준비하는지 아직 잘 모르는데, 숙제도 있고 학원도 있어서 시간이 많지는 않았다.",모둠과 먼저 방향을 정한다,"모둠이 함께 발표 질문을 정하고, 역할을 나누고, 각자 맡은 내용을 이해하려는 길이다.",역할을 나누고 각자 맡을 내용을 정한다,"자료조사, 슬라이드, 발표, 정리 같은 역할이 나뉘고, 각자 맡을 내용이 정리된 역할 분담표가 만들어진다. 역할은 나뉘었지만, 각 역할이 발표의 전체 흐름과 어떻게 이어지는지는 아직 확인이 필요하다.",역할 분담 + 흐름 정합 발표 준비,각 역할이 발표 질문과 어떻게 이어지는지 확인한다,"역할마다 해야 할 일이 발표 질문과 연결되어, 각자 준비해도 하나의 발표로 이어질 가능성이 커진다.",A,85,맡은 내용의 빠진 출처와 어색한 표현을 조금 고쳤어요.,"좋은 방향의 선택이 많았고, 한두 지점을 더 확인하면 더 단단해질 수 있어요.",다시 해본다면 내가 직접 확인한 근거를 하나 더 넣어 보세요.,성찰하기,사회·관계적 사고,협업력;소통력,,AI 표현 검수 카드,혼자 빨리 끝낸 발표 자료는 모둠 안에서 아직 맞춰진 자료가 아니다.,맡은 내용의 빠진 출처와 어색한 표현을 조금 고쳤어요. 역할은 보이지만 발표의 한 흐름으로 묶는 점검은 더 필요해요.,모둠 발표를 준비해야 하는 상황이 생겼다.,모둠과 발표 방향을 먼저 맞췄다.,모둠 안에서 역할과 흐름을 나눴다.,역할 분담 + 흐름 정합 발표 준비,내가 이해하지 못한 내용은 지웠다.,+,+,10,15,14,12,20,17,20,,,모둠 자리에서 시작했다 — 발표는 모둠이 함께 이해한 이야기일 때 단단하다.,역할을 나눴다 — 나뉜 일이 발표 흐름과 어떻게 이어지는지가 다음 자리다.,역할을 나눴다 — 나뉜 일이 발표 흐름과 어떻게 이어지는지가 다음 자리다.,협업능력;발표력;검수능력,"협업력, 표현력, 검토력",10,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,
A2R3,A,A2,R3,모둠 활동,모둠 발표 자료,"학기 초 모둠 발표가 다음 주로 잡혔다. 우리 모둠은 4명이 각자 파트를 맡았고, 내가 맡은 일은 자료 조사와 슬라이드 3장 만들기였다. 다른 애들이 어떤 흐름으로 준비하는지 아직 잘 모르는데, 숙제도 있고 학원도 있어서 시간이 많지는 않았다.",모둠과 먼저 방향을 정한다,"모둠이 함께 발표 질문을 정하고, 역할을 나누고, 각자 맡은 내용을 이해하려는 길이다.",역할을 나누고 각자 맡을 내용을 정한다,"자료조사, 슬라이드, 발표, 정리 같은 역할이 나뉘고, 각자 맡을 내용이 정리된 역할 분담표가 만들어진다. 역할은 나뉘었지만, 각 역할이 발표의 전체 흐름과 어떻게 이어지는지는 아직 확인이 필요하다.",역할 분담 + 흐름 정합 발표 준비,AI에게 역할 사이에 빠진 일이 있는지 물어본 뒤 모둠이 다시 나눈다,"AI가 빠진 역할이나 치우친 부담을 알려주고, 모둠이 실제로 가능한 방식으로 다시 조정한 역할 분담표가 된다.",A,91,역할을 나눈 뒤 발표 흐름에 맞춰 다시 확인했어요.,"좋은 방향의 선택이 많았고, 한두 지점을 더 확인하면 더 단단해질 수 있어요.",다시 해본다면 내가 직접 확인한 근거를 하나 더 넣어 보세요.,성찰하기,사회·관계적 사고,협업력;소통력;표현력,,함께 다듬은 카드,혼자 빨리 끝낸 발표 자료는 모둠 안에서 아직 맞춰진 자료가 아니다.,역할을 나눈 뒤 발표 흐름에 맞춰 다시 확인했어요. 각자 맡은 자료가 하나의 발표로 이어지기 시작했어요.,모둠 발표를 준비해야 하는 상황이 생겼다.,모둠과 발표 방향을 먼저 맞췄다.,모둠 안에서 역할과 흐름을 나눴다.,역할 분담 + 흐름 정합 발표 준비,질문을 예상하고 답하기 어려운 부분을 고쳤다.,+,+,10,15,14,12,25,21,23,,,모둠 자리에서 시작했다 — 발표는 모둠이 함께 이해한 이야기일 때 단단하다.,역할을 나눴다 — 나뉜 일이 발표 흐름과 어떻게 이어지는지가 다음 자리다.,역할을 나눴다 — 나뉜 일이 발표 흐름과 어떻게 이어지는지가 다음 자리다.,협업능력;발표력;검수능력;자기검증,"협업력, 표현력, 검토력",4,합산 유지 또는 미세 조정,단계별 선택의 의미가 최종 결과에 거의 그대로 반영된 경로.,
A3R1,A,A3,R1,모둠 활동,모둠 발표 자료,"학기 초 모둠 발표가 다음 주로 잡혔다. 우리 모둠은 4명이 각자 파트를 맡았고, 내가 맡은 일은 자료 조사와 슬라이드 3장 만들기였다. 다른 애들이 어떤 흐름으로 준비하는지 아직 잘 모르는데, 숙제도 있고 학원도 있어서 시간이 많지는 않았다.",모둠과 먼저 방향을 정한다,"모둠이 함께 발표 질문을 정하고, 역할을 나누고, 각자 맡은 내용을 이해하려는 길이다.",내가 맡은 내용을 먼저 이해하고 말로 정리한다,"내가 맡은 자료를 읽고 세 문장으로 정리하거나, 발표할 부분을 말로 연습한 초안이 만들어진다. 내 파트의 핵심은 잡혔지만, 설명하기 어려운 단어나 예상 질문은 아직 남아 있을 수 있다.",내 파트 이해 + 말로 설명 가능한 준비,세 문장 정리나 첫 연습대로 발표한다,"내가 맡은 부분을 어느 정도 말할 수는 있지만, 질문을 받거나 자세히 설명해야 할 때 막힐 수 있는 발표 준비가 된다.",B,82,내가 맡은 내용을 먼저 이해한 점은 좋았어요.,이번 결과는 부족했던 과정을 알아차리는 출발점이에요. 다시 시도하며 내 기준과 확인 과정을 세워 볼 수 있어요.,다시 해본다면 빠른 결과보다 내가 직접 확인할 수 있는 자료나 경험에서 시작해 보세요.,,,표현력;문해력,회복력,얕은 자료 경고 카드,혼자 빨리 끝낸 발표 자료는 모둠 안에서 아직 맞춰진 자료가 아니다.,내가 맡은 내용을 먼저 이해한 점은 좋았어요. 다만 바로 공유해 친구들 파트와 연결되는지는 확인하지 못했어요.,모둠 발표를 준비해야 하는 상황이 생겼다.,모둠과 발표 방향을 먼저 맞췄다.,내가 맡은 내용을 먼저 이해했다.,내 파트 이해 + 말로 설명 가능한 준비,그대로 읽기로 하며 설명 가능성을 확인하지 못했다.,+,+,10,15,15,13,18,15,12,,,모둠 자리에서 시작했다 — 발표는 모둠이 함께 이해한 이야기일 때 단단하다.,내 파트를 이해했다 — 말로 설명할 수 있어야 내 발표가 된다.,내 파트를 이해했다 — 말로 설명할 수 있어야 내 발표가 된다.,발표력,표현력,4,합산 유지 또는 미세 조정,단계별 선택의 의미가 최종 결과에 거의 그대로 반영된 경로.,
A3R2,A,A3,R2,모둠 활동,모둠 발표 자료,"학기 초 모둠 발표가 다음 주로 잡혔다. 우리 모둠은 4명이 각자 파트를 맡았고, 내가 맡은 일은 자료 조사와 슬라이드 3장 만들기였다. 다른 애들이 어떤 흐름으로 준비하는지 아직 잘 모르는데, 숙제도 있고 학원도 있어서 시간이 많지는 않았다.",모둠과 먼저 방향을 정한다,"모둠이 함께 발표 질문을 정하고, 역할을 나누고, 각자 맡은 내용을 이해하려는 길이다.",내가 맡은 내용을 먼저 이해하고 말로 정리한다,"내가 맡은 자료를 읽고 세 문장으로 정리하거나, 발표할 부분을 말로 연습한 초안이 만들어진다. 내 파트의 핵심은 잡혔지만, 설명하기 어려운 단어나 예상 질문은 아직 남아 있을 수 있다.",내 파트 이해 + 말로 설명 가능한 준비,말하다 막힌 부분과 설명하기 어려운 단어를 다시 확인한다,"내가 이해하지 못한 부분을 다시 확인해, 맡은 내용을 조금 더 내 말로 설명할 수 있는 발표 준비가 된다.",A,88,내 설명에서 어색한 부분과 출처를 일부 확인했어요.,"좋은 방향의 선택이 많았고, 한두 지점을 더 확인하면 더 단단해질 수 있어요.",다시 해본다면 그대로 진행하기 전에 이상한 부분을 표시하거나 처음부터 다시 확인해 보세요.,중심잡기,주체성,표현력;자료판단력,,빈칸 발견 카드,혼자 빨리 끝낸 발표 자료는 모둠 안에서 아직 맞춰진 자료가 아니다.,내 설명에서 어색한 부분과 출처를 일부 확인했어요. 내 파트는 단단해졌지만 모둠 전체 흐름은 조금 더 맞춰야 해요.,모둠 발표를 준비해야 하는 상황이 생겼다.,모둠과 발표 방향을 먼저 맞췄다.,내가 맡은 내용을 먼저 이해했다.,내 파트 이해 + 말로 설명 가능한 준비,내가 이해하지 못한 내용은 지웠다.,+,+,10,15,15,13,21,18,14,,,모둠 자리에서 시작했다 — 발표는 모둠이 함께 이해한 이야기일 때 단단하다.,내 파트를 이해했다 — 말로 설명할 수 있어야 내 발표가 된다.,내 파트를 이해했다 — 말로 설명할 수 있어야 내 발표가 된다.,발표력;검수능력,"표현력, 검토력",12,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,
A3R3,A,A3,R3,모둠 활동,모둠 발표 자료,"학기 초 모둠 발표가 다음 주로 잡혔다. 우리 모둠은 4명이 각자 파트를 맡았고, 내가 맡은 일은 자료 조사와 슬라이드 3장 만들기였다. 다른 애들이 어떤 흐름으로 준비하는지 아직 잘 모르는데, 숙제도 있고 학원도 있어서 시간이 많지는 않았다.",모둠과 먼저 방향을 정한다,"모둠이 함께 발표 질문을 정하고, 역할을 나누고, 각자 맡은 내용을 이해하려는 길이다.",내가 맡은 내용을 먼저 이해하고 말로 정리한다,"내가 맡은 자료를 읽고 세 문장으로 정리하거나, 발표할 부분을 말로 연습한 초안이 만들어진다. 내 파트의 핵심은 잡혔지만, 설명하기 어려운 단어나 예상 질문은 아직 남아 있을 수 있다.",내 파트 이해 + 말로 설명 가능한 준비,AI에게 내 정리를 읽고 예상 질문을 만들게 한 뒤 답을 준비한다,"AI가 만든 예상 질문을 통해 내가 부족하게 이해한 부분을 찾고, 대답을 준비한 발표 연습이 된다.",S,96,내가 이해한 내용을 모둠 흐름 안에서 다시 점검했어요.,자기 기준을 세우고 마지막 확인까지 해낸 선택이라 결과의 완성도가 높아요.,다시 해본다면 내가 직접 확인한 근거를 하나 더 넣어 보세요.,중심잡기,주체성,표현력;협업력;검토력,,자료 출처 확인 카드,혼자 빨리 끝낸 발표 자료는 모둠 안에서 아직 맞춰진 자료가 아니다.,내가 이해한 내용을 모둠 흐름 안에서 다시 점검했어요. 혼자 아는 자료가 아니라 함께 발표할 수 있는 자료가 됐어요.,모둠 발표를 준비해야 하는 상황이 생겼다.,모둠과 발표 방향을 먼저 맞췄다.,내가 맡은 내용을 먼저 이해했다.,내 파트 이해 + 말로 설명 가능한 준비,질문을 예상하고 답하기 어려운 부분을 고쳤다.,+,+,10,15,15,13,26,22,17,검수능력,5,모둠 자리에서 시작했다 — 발표는 모둠이 함께 이해한 이야기일 때 단단하다.,내 파트를 이해했다 — 말로 설명할 수 있어야 내 발표가 된다.,내 파트를 이해했다 — 말로 설명할 수 있어야 내 발표가 된다.,발표력;검수능력;자기성찰;비판적 사고,"표현력, 검토력, 자기이해, 분석력",10,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,얕은 자료를 다시 확인하고 출처를 붙이는 자리 — 검수능력 카드와 강한 매칭
B1R1,B,B1,R1,모둠 활동,모둠 발표 자료,"학기 초 모둠 발표가 다음 주로 잡혔다. 우리 모둠은 4명이 각자 파트를 맡았고, 내가 맡은 일은 자료 조사와 슬라이드 3장 만들기였다. 다른 애들이 어떤 흐름으로 준비하는지 아직 잘 모르는데, 숙제도 있고 학원도 있어서 시간이 많지는 않았다.",AI로 발표 준비를 빠르게 만들어본다,"AI에게 발표 개요, 슬라이드 문구, 발표 대본 같은 결과물을 빠르게 받아보는 길이다.",AI에게 발표 주제와 개요를 부탁한다,"AI가 만든 발표 주제 후보와 발표 개요가 만들어진다. 전체 흐름은 깔끔하지만, 우리 동네의 실제 상황이나 모둠이 하고 싶은 질문과 맞는지는 아직 알 수 없다.",AI 개요 + 우리 동네 정합 검토 준비,AI 개요대로 바로 자료를 만든다,"발표 구조는 빠르게 잡히지만, 우리 동네와 맞지 않는 일반적인 문제를 발표하는 준비가 될 수 있다.",D,24,AI가 개요를 빠르게 만들었지만 바로 공유해 우리 모둠의 질문과 자료는 거의 들어가지 못했어요.,이번 결과는 부족했던 과정을 알아차리는 출발점이에요. 다시 시도하며 내 기준과 확인 과정을 세워 볼 수 있어요.,다시 해본다면 빠른 결과보다 내가 직접 확인할 수 있는 자료나 경험에서 시작해 보세요.,,,,회복력,,혼자 빨리 끝낸 발표 자료는 모둠 안에서 아직 맞춰진 자료가 아니다.,AI가 개요를 빠르게 만들었지만 바로 공유해 우리 모둠의 질문과 자료는 거의 들어가지 못했어요.,모둠 발표를 준비해야 하는 상황이 생겼다.,AI로 발표 준비를 빠르게 시작했다.,AI에게 발표 개요를 부탁했다.,AI 개요 + 우리 동네 정합 검토 준비,그대로 읽기로 하며 설명 가능성을 확인하지 못했다.,0,-,10,0,5,4,8,6,8,,,AI 결과물부터 받았다 — 우리 동네와 모둠 생각이 약해진다.,AI 개요부터 받았다 — 모양은 잡히지만 우리 동네는 약하다.,AI 개요부터 받았다 — 모양은 잡히지만 우리 동네는 약하다.,,,-4,합산 유지 또는 미세 조정,단계별 선택의 의미가 최종 결과에 거의 그대로 반영된 경로.,
