모델,분류,축/그룹,레벨,카드명,짧은설명,상세정의,상세설명,색상
새(라이브),인간중심,중심잡기,축,중심잡기,AI 시대에 자기 기준과 목표를 붙잡는 힘,,,#c62828
새(라이브),인간중심,중심잡기,태그,주체성,명확한 목표와 기준을 가지고 AI 활용을 주도하며 결과에 책임지는 힘,,,#d32f2f
새(라이브),인간중심,중심잡기,태그,적응성,새로운 AI 기술과 환경 변화를 유연하게 받아들이고 활용하는 힘,,,#e64a19
새(라이브),인간중심,중심잡기,태그,호기심,AI 답에 멈추지 않고 더 묻고 탐색하는 태도,,,#f57c00
새(라이브),인간중심,융합하기,축,융합하기,AI와 내 생각을 엮어 문제를 풀거나 새 결과를 만드는 힘,,,#1565c0
새(라이브),인간중심,융합하기,태그,창의적 사고,내 생각과 AI 도움을 엮어 새로운 결과를 만드는 힘,,,#1976d2
새(라이브),인간중심,융합하기,태그,문제해결적 사고,문제의 핵심을 파악하고 AI를 어디에 쓸지 정하는 힘,,,#0288d1
새(라이브),인간중심,융합하기,태그,직관적 통찰,경험과 지식으로 AI 정보의 핵심을 알아보는 힘,,,#0097a7
새(라이브),인간중심,융합하기,태그,통합적 사고,여러 정보와 관점을 연결해 균형 있게 정리하는 힘,,,#00796b
새(라이브),인간중심,융합하기,태그,맥락적 사고,AI 결과를 상황·목적·사람에 맞게 해석하는 힘,,,#388e3c
새(라이브),인간중심,성찰하기,축,성찰하기,AI 결과와 나의 선택을 다시 확인하고 책임 있게 고치는 힘,,,#6a1b9a
새(라이브),인간중심,성찰하기,태그,비판적 사고,AI 결과의 오류·빈틈·편향을 의심하고 따져보는 힘,,,#7b1fa2
새(라이브),인간중심,성찰하기,태그,윤리적 사고,내가 하지 않은 일을 한 것처럼 쓰지 않고 책임 있게 AI를 쓰는 힘,,,#512da8
새(라이브),인간중심,성찰하기,태그,성찰적 사고,AI를 쓴 과정과 내 선택을 되돌아보고 더 낫게 바꾸는 힘,,,#303f9f
새(라이브),인간중심,성찰하기,태그,사회·관계적 사고,AI가 낀 상황에서도 타인과 협력하고 존중하며 소통하는 힘,,,#455a64
