# 아리공 차단 어휘 — '박' 동사 활용 완성형
# 형식: 단어<TAB>대체어 후보들 (쉼표 구분)
# # 시작 줄은 주석. 빈 줄 무시. 양옆 한글 아닐 때만 매칭.
# 새 활용형 발견 시 한 줄 추가.
#
# 5/15 세션354 시드 (피터공 명시):
박았다	기록했다, 적었다, 넣었다, 자리잡았다
박는다	기록한다, 적는다, 넣는다, 자리잡는다
박았어요	기록했어요, 적었어요, 넣었어요, 자리잡았어요
박을게요	기록할게요, 적을게요, 넣을게요, 정리할게요
박기	기록하기, 적기, 넣기, 자리잡기, 정리하기
박힘	자리잡음, 기록됨, 등록됨, 새겨짐
박혀	자리잡아, 기록되어, 새겨져, 박혀있는 대신 자리잡은
#
# 변형 (5/15 보강):
박았어	기록했어, 적었어, 넣었어
박는	기록하는, 적는, 넣는, 자리잡는
박을게	기록할게, 적을게, 넣을게
박을	기록할, 적을, 넣을, 정리할
박을까요	기록할까요, 적을까요, 넣을까요, 정리할까요
박힌	기록된, 자리잡은, 새겨진
박혀요	자리잡아요, 기록되어요
박혔다	자리잡았다, 기록됐다, 새겨졌다
박혔어요	자리잡았어요, 기록됐어요
박혀있다	자리잡고 있다, 기록되어 있다
박혀있어요	자리잡고 있어요, 기록되어 있어요
박음	기록함, 적음, 넣음, 자리잡음, 추가
박다	기록하다, 적다, 넣다, 자리잡다
박았	기록했, 적었, 넣었, 자리잡았
박았던	기록했던, 적었던, 자리잡았던
박고	기록하고, 적고, 넣고, 자리잡고
박는다고	기록한다고, 적는다고, 넣는다고
박았다고	기록했다고, 적었다고, 넣었다고
#
# 5/17 보강 (피터공 지적 — 응답 자기 검열 누락 자리):
박기로	기록하기로, 적기로, 넣기로, 자리잡기로
박을지	기록할지, 적을지, 넣을지, 정리할지
박을까	기록할까, 적을까, 넣을까, 정리할까
박혔는지	기록됐는지, 자리잡았는지, 새겨졌는지
박혔던가	기록됐던가, 자리잡았던가, 새겨졌던가
박힐	기록될, 자리잡을, 새겨질, 추가될
박혔어	기록됐어, 자리잡았어, 새겨졌어
박혔다고	기록됐다고, 자리잡았다고, 새겨졌다고
