경로,1차,2차,검토,〈컷1〉분류,〈컷1〉제목,〈컷1〉상황텍스트,〈컷2〉1차 라벨,〈컷2〉1차 설명,〈컷3〉깊은선택 라벨,〈컷4〉2차 결과물,〈컷4〉결과 요약,〈컷5〉검토 라벨,〈컷5〉검토 학생narrative,〈컷6〉등급,〈컷6〉점수,〈컷6〉짧은피드백,〈컷6〉Cut6피드백,〈컷6〉다시하기제안(C·D),〈카드획득〉인간중심축,〈카드획득〉인간중심태그,〈카드획득〉도메인카드,〈카드획득〉성장카드,〈카드획득〉카드명(아이템),〈리포트〉학습메시지,〈리포트〉리포트피드백,〈리포트〉만화컷1,〈리포트〉만화컷2,〈리포트〉만화컷3,〈리포트〉만화컷4,〈리포트〉만화컷5,〈내부〉1차 위임변화,〈내부〉1차 지식변화,〈내부〉1차 기본점수,〈내부〉1차 변수점수,〈내부〉2차 시간비용,〈내부〉2차 에너지비용,〈내부〉경로 시간비용,〈내부〉경로 에너지비용,〈내부〉EXP,〈내부〉매칭 요구카드,〈내부〉매칭 보너스,〈미사용〉1차 메시지,〈미사용〉깊은선택 메시지,〈미사용〉결과 교훈,〈미사용〉획득역량카드(레거시),〈미사용〉획득카드정리,〈미사용〉보정점수,〈미사용〉보정유형,〈미사용〉보정사유,〈미사용〉매칭 노트
A1R1,A,A1,R1,본인 경험 기반,어린왕자 독후감,"국어 시간에 『어린왕자』를 읽고 독후감을 써오라는 과제가 나왔다. 책 이름은 많이 들어봤고 유명한 문장도 어디선가 본 것 같지만, 아직 책을 제대로 읽지는 않았다. 제출일은 다가오는데 지금부터 책을 다 읽기에는 시간이 부족해 보인다.",책을 직접 읽고 쓴다,어린왕자 책을 펴서 내가 읽고 그 감상으로 쓴다.,처음부터 읽고 짧게라도 독후감을 쓴다,"책을 처음부터 읽고, 기억에 남는 내용과 생각을 바탕으로 짧은 독후감 초안이 만들어졌다. 글은 짧고 서툴 수 있지만, 실제로 읽은 흔적이 들어 있다.",직접 읽은 흔적이 있는 독후감,짧아도 그대로 제출한다,끝까지 읽고 여우 장면 하나에 머물러 자기 말로 적어 그대로 냈다. 책이 자기 안에 자리 잡았다.,A,86,책을 직접 읽고 쓴 감상이라 내 흔적이 남았어요.,"좋은 방향의 선택이 많았고, 한두 지점을 더 확인하면 더 단단해질 수 있어요.",다시 해본다면 마지막 확인을 한 단계 더 깊게 해 보세요.,중심잡기,주체성,문해력;표현력,,깊은 독서가 카드,"경험은 위임 불가. 본인이 안 한 일은 AI도, 인터넷도, 친구도 대신해 줄 수 없다.",책을 직접 읽고 쓴 감상이라 내 흔적이 남았어요. 다만 바로 내서 장면과 감상이 어색하게 이어진 부분은 확인하지 못했어요.,독후감을 써야 하지만 책을 충분히 읽지 못했다.,책을 직접 읽는 쪽에서 시작했다.,처음부터 읽고 짧게라도 직접 썼다.,직접 읽은 흔적이 있는 독후감,그대로 내며 직접 읽은 근거를 확인하지 못했다.,+,+,10,15,18,16,21,18,25,,,내가 읽었다 — 책 안에서 내 감상이 나온다.,처음부터 읽고 실제로 읽은 흔적을 남겼다 — 짧고 서툴어도 책이 내 안에서 나온다.,처음부터 읽고 남긴 생각은 짧아도 내 것이다 — 책이 내 안에서 나온다.,문해력;공감력;해석능력,문해력,19,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,
A1R2,A,A1,R2,본인 경험 기반,어린왕자 독후감,"국어 시간에 『어린왕자』를 읽고 독후감을 써오라는 과제가 나왔다. 책 이름은 많이 들어봤고 유명한 문장도 어디선가 본 것 같지만, 아직 책을 제대로 읽지는 않았다. 제출일은 다가오는데 지금부터 책을 다 읽기에는 시간이 부족해 보인다.",책을 직접 읽고 쓴다,어린왕자 책을 펴서 내가 읽고 그 감상으로 쓴다.,처음부터 읽고 짧게라도 독후감을 쓴다,"책을 처음부터 읽고, 기억에 남는 내용과 생각을 바탕으로 짧은 독후감 초안이 만들어졌다. 글은 짧고 서툴 수 있지만, 실제로 읽은 흔적이 들어 있다.",직접 읽은 흔적이 있는 독후감,다시 읽어보고 빠진 내용이나 기억나는 장면을 추가한다,한 번 읽으며 길어진 문장 하나를 둘로 나눴다. 머문 장면이 더 또렷해졌다.,A,91,책과 다른 부분을 고치며 내가 읽은 장면이 더 또렷해졌어요.,자기 기준을 세우고 마지막 확인까지 해낸 선택이라 결과의 완성도가 높아요.,다시 해본다면 같은 주제를 다른 방식으로 풀어 보며 선택의 차이를 비교해 보세요.,중심잡기,주체성,문해력;표현력;검토력,,깊은 독서가 카드,"경험은 위임 불가. 본인이 안 한 일은 AI도, 인터넷도, 친구도 대신해 줄 수 없다.",책과 다른 부분을 고치며 내가 읽은 장면이 더 또렷해졌어요. 감상의 이유를 더 붙이면 더 깊어질 수 있어요.,독후감을 써야 하지만 책을 충분히 읽지 못했다.,책을 직접 읽는 쪽에서 시작했다.,처음부터 읽고 짧게라도 직접 썼다.,직접 읽은 흔적이 있는 독후감,읽지 않은 장면과 설명하기 어려운 문장을 표시했다.,+,+,10,15,18,16,24,21,25,,,내가 읽었다 — 책 안에서 내 감상이 나온다.,처음부터 읽고 실제로 읽은 흔적을 남겼다 — 짧고 서툴어도 책이 내 안에서 나온다.,처음부터 읽고 남긴 생각은 짧아도 내 것이다 — 책이 내 안에서 나온다.,문해력;공감력;해석능력;검수능력,"문해력, 검토력",17,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,
A1R3,A,A1,R3,본인 경험 기반,어린왕자 독후감,"국어 시간에 『어린왕자』를 읽고 독후감을 써오라는 과제가 나왔다. 책 이름은 많이 들어봤고 유명한 문장도 어디선가 본 것 같지만, 아직 책을 제대로 읽지는 않았다. 제출일은 다가오는데 지금부터 책을 다 읽기에는 시간이 부족해 보인다.",책을 직접 읽고 쓴다,어린왕자 책을 펴서 내가 읽고 그 감상으로 쓴다.,처음부터 읽고 짧게라도 독후감을 쓴다,"책을 처음부터 읽고, 기억에 남는 내용과 생각을 바탕으로 짧은 독후감 초안이 만들어졌다. 글은 짧고 서툴 수 있지만, 실제로 읽은 흔적이 들어 있다.",직접 읽은 흔적이 있는 독후감,"AI에게 추가하면 좋을 내용을 묻고, 내가 읽은 내용과 맞는 것만 골라 보충한다",처음부터 다시 읽고 여우 장면이 왜 자기에게 남았는지 한 문장 더 넣었다. 책의 깊이가 한 단계 더 들어왔다.,S,97,책의 장면과 내 감상이 실제로 이어지는지 끝까지 확인했어요.,자기 기준을 세우고 마지막 확인까지 해낸 선택이라 결과의 완성도가 높아요.,다시 해본다면 같은 주제를 다른 방식으로 풀어 보며 선택의 차이를 비교해 보세요.,중심잡기,주체성,문해력;표현력;검토력,,머무른 독서가 카드,"경험은 위임 불가. 본인이 안 한 일은 AI도, 인터넷도, 친구도 대신해 줄 수 없다.",책의 장면과 내 감상이 실제로 이어지는지 끝까지 확인했어요. 감상문이 내가 읽은 경험에서 나온 글이 됐어요.,독후감을 써야 하지만 책을 충분히 읽지 못했다.,책을 직접 읽는 쪽에서 시작했다.,처음부터 읽고 짧게라도 직접 썼다.,직접 읽은 흔적이 있는 독후감,책에서 확인한 장면과 감상만 남기려 했다.,+,+,10,15,18,16,29,25,25,문해력,5,내가 읽었다 — 책 안에서 내 감상이 나온다.,처음부터 읽고 실제로 읽은 흔적을 남겼다 — 짧고 서툴어도 책이 내 안에서 나온다.,처음부터 읽고 남긴 생각은 짧아도 내 것이다 — 책이 내 안에서 나온다.,문해력;공감력;해석능력;자기검증;자기성찰,"문해력, 검토력, 자기이해",8,합산 유지 또는 미세 조정,단계별 선택의 의미가 최종 결과에 거의 그대로 반영된 경로.,책을 끝까지 읽고 한 장면에 머물러 깊이까지 들어가는 자리 — 문해력 카드와 강한 매칭
A2R1,A,A2,R1,본인 경험 기반,어린왕자 독후감,"국어 시간에 『어린왕자』를 읽고 독후감을 써오라는 과제가 나왔다. 책 이름은 많이 들어봤고 유명한 문장도 어디선가 본 것 같지만, 아직 책을 제대로 읽지는 않았다. 제출일은 다가오는데 지금부터 책을 다 읽기에는 시간이 부족해 보인다.",책을 직접 읽고 쓴다,어린왕자 책을 펴서 내가 읽고 그 감상으로 쓴다.,읽다가 밑줄 친 문장이나 장면을 중심으로 쓴다,"책을 읽으면서 밑줄 친 문장이나 기억에 남은 장면을 중심으로 독후감 초안이 만들어졌다. 인상 깊은 부분은 분명하지만, 그 문장이나 장면에서 내가 어떤 생각을 했는지는 아직 부족할 수 있다.",멈춘 문장 중심의 독후감,밑줄 친 문장이나 장면만 적어서 제출한다,책을 다 읽고 자기 감상을 쓰다가 어색한 한 표현만 AI에 다듬어 받았다. 감상은 자기 안에서 나왔다.,A,88,밑줄 친 장면에서 출발해 감상의 근거는 분명했어요.,"좋은 방향의 선택이 많았고, 한두 지점을 더 확인하면 더 단단해질 수 있어요.",다시 해본다면 그대로 진행하기 전에 이상한 부분을 표시하거나 처음부터 다시 확인해 보세요.,중심잡기,주체성,문해력,,다듬은 감상 카드,"경험은 위임 불가. 본인이 안 한 일은 AI도, 인터넷도, 친구도 대신해 줄 수 없다.",밑줄 친 장면에서 출발해 감상의 근거는 분명했어요. 다만 바로 내서 왜 그 장면이 남았는지는 덜 설명됐어요.,독후감을 써야 하지만 책을 충분히 읽지 못했다.,책을 직접 읽는 쪽에서 시작했다.,밑줄 친 장면에서 내 감상을 시작했다.,멈춘 문장 중심의 독후감,그대로 내며 직접 읽은 근거를 확인하지 못했다.,+,+,10,15,16,14,19,16,18,,,내가 읽었다 — 책 안에서 내 감상이 나온다.,멈춘 문장에서 감상이 나왔다 — 인상 깊은 부분이 독후감의 출발점이 된다.,멈춘 문장이 있다면 거기서 시작한다 — 왜 멈췄는지를 쓸 때 독후감이 된다.,문해력;해석능력,문해력,13,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,
A2R2,A,A2,R2,본인 경험 기반,어린왕자 독후감,"국어 시간에 『어린왕자』를 읽고 독후감을 써오라는 과제가 나왔다. 책 이름은 많이 들어봤고 유명한 문장도 어디선가 본 것 같지만, 아직 책을 제대로 읽지는 않았다. 제출일은 다가오는데 지금부터 책을 다 읽기에는 시간이 부족해 보인다.",책을 직접 읽고 쓴다,어린왕자 책을 펴서 내가 읽고 그 감상으로 쓴다.,읽다가 밑줄 친 문장이나 장면을 중심으로 쓴다,"책을 읽으면서 밑줄 친 문장이나 기억에 남은 장면을 중심으로 독후감 초안이 만들어졌다. 인상 깊은 부분은 분명하지만, 그 문장이나 장면에서 내가 어떤 생각을 했는지는 아직 부족할 수 있다.",멈춘 문장 중심의 독후감,그 문장이나 장면에서 생긴 내 생각을 덧붙인다,"한 번 읽으며 내 말 같지 않은 표현을 고치고, 왜 그 장면에서 멈췄는지 한 문장을 덧붙였다.",A,93,장면과 다른 표현을 고치며 감상이 더 정확해졌어요.,"좋은 방향의 선택이 많았고, 한두 지점을 더 확인하면 더 단단해질 수 있어요.",다시 해본다면 내가 직접 확인한 근거를 하나 더 넣어 보세요.,중심잡기,주체성,문해력;검토력,,다듬은 감상 카드,"경험은 위임 불가. 본인이 안 한 일은 AI도, 인터넷도, 친구도 대신해 줄 수 없다.",장면과 다른 표현을 고치며 감상이 더 정확해졌어요. 한 장면에 머문 힘이 글에 살아났어요.,독후감을 써야 하지만 책을 충분히 읽지 못했다.,책을 직접 읽는 쪽에서 시작했다.,밑줄 친 장면에서 내 감상을 시작했다.,멈춘 문장 중심의 독후감,읽지 않은 장면과 설명하기 어려운 문장을 표시했다.,+,+,10,15,16,14,22,19,18,,,내가 읽었다 — 책 안에서 내 감상이 나온다.,멈춘 문장에서 감상이 나왔다 — 인상 깊은 부분이 독후감의 출발점이 된다.,멈춘 문장이 있다면 거기서 시작한다 — 왜 멈췄는지를 쓸 때 독후감이 된다.,문해력;해석능력;검수능력,"문해력, 검토력",10,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,
A2R3,A,A2,R3,본인 경험 기반,어린왕자 독후감,"국어 시간에 『어린왕자』를 읽고 독후감을 써오라는 과제가 나왔다. 책 이름은 많이 들어봤고 유명한 문장도 어디선가 본 것 같지만, 아직 책을 제대로 읽지는 않았다. 제출일은 다가오는데 지금부터 책을 다 읽기에는 시간이 부족해 보인다.",책을 직접 읽고 쓴다,어린왕자 책을 펴서 내가 읽고 그 감상으로 쓴다.,읽다가 밑줄 친 문장이나 장면을 중심으로 쓴다,"책을 읽으면서 밑줄 친 문장이나 기억에 남은 장면을 중심으로 독후감 초안이 만들어졌다. 인상 깊은 부분은 분명하지만, 그 문장이나 장면에서 내가 어떤 생각을 했는지는 아직 부족할 수 있다.",멈춘 문장 중심의 독후감,"AI에게 밑줄 친 장면을 읽고 떠오르는 질문을 만들게 한 뒤, 내가 답할 수 있는 내용만 보충한다",AI가 다듬은 문장과 처음 쓴 문장을 나란히 두고 자기 말투에 맞는 쪽을 골랐다.,S,98,밑줄 친 장면과 내 감상을 처음부터 다시 이어 봤어요.,자기 기준을 세우고 마지막 확인까지 해낸 선택이라 결과의 완성도가 높아요.,다시 해본다면 내가 직접 확인한 근거를 하나 더 넣어 보세요.,중심잡기,주체성,문해력;표현력;검토력,,함께 다듬은 카드,"경험은 위임 불가. 본인이 안 한 일은 AI도, 인터넷도, 친구도 대신해 줄 수 없다.",밑줄 친 장면과 내 감상을 처음부터 다시 이어 봤어요. 한 문장이 내 생각으로 자라는 독후감이 됐어요.,독후감을 써야 하지만 책을 충분히 읽지 못했다.,책을 직접 읽는 쪽에서 시작했다.,밑줄 친 장면에서 내 감상을 시작했다.,멈춘 문장 중심의 독후감,책에서 확인한 장면과 감상만 남기려 했다.,+,+,10,15,16,14,27,23,18,,,내가 읽었다 — 책 안에서 내 감상이 나온다.,멈춘 문장에서 감상이 나왔다 — 인상 깊은 부분이 독후감의 출발점이 된다.,멈춘 문장이 있다면 거기서 시작한다 — 왜 멈췄는지를 쓸 때 독후감이 된다.,문해력;해석능력;검수능력;자기검증,"문해력, 검토력",4,합산 유지 또는 미세 조정,단계별 선택의 의미가 최종 결과에 거의 그대로 반영된 경로.,
A3R1,A,A3,R1,본인 경험 기반,어린왕자 독후감,"국어 시간에 『어린왕자』를 읽고 독후감을 써오라는 과제가 나왔다. 책 이름은 많이 들어봤고 유명한 문장도 어디선가 본 것 같지만, 아직 책을 제대로 읽지는 않았다. 제출일은 다가오는데 지금부터 책을 다 읽기에는 시간이 부족해 보인다.",책을 직접 읽고 쓴다,어린왕자 책을 펴서 내가 읽고 그 감상으로 쓴다.,이해되지 않는 부분을 붙들고 독후감을 쓴다,"책을 읽다가 이해되지 않거나 헷갈린 부분을 적고, 왜 어려웠는지 쓴 독후감 초안이 만들어졌다. 완벽한 해석은 아니지만, 내가 실제로 막힌 지점이 드러난다.",이해 안 되는 부분을 솔직하게 담은 독후감,헷갈린 내용을 썼으니 그대로 제출한다,첫 챕터만 읽고 떠오르는 대로 적어 그대로 냈다. 읽은 부분 감상은 살았지만 나머지는 비었다.,B,82,이해되지 않는 부분을 붙든 점은 좋았어요.,이번 결과는 부족했던 과정을 알아차리는 출발점이에요. 다시 시도하며 내 기준과 확인 과정을 세워 볼 수 있어요.,다시 해본다면 빠른 결과보다 내가 직접 확인할 수 있는 자료나 경험에서 시작해 보세요.,,,문해력;분석력,회복력,반쪽 독후감 카드,"경험은 위임 불가. 본인이 안 한 일은 AI도, 인터넷도, 친구도 대신해 줄 수 없다.",이해되지 않는 부분을 붙든 점은 좋았어요. 하지만 바로 내서 질문이 감상으로 충분히 풀리지는 못했어요.,독후감을 써야 하지만 책을 충분히 읽지 못했다.,책을 직접 읽는 쪽에서 시작했다.,이해되지 않는 부분을 붙잡고 썼다.,이해 안 되는 부분을 솔직하게 담은 독후감,그대로 내며 직접 읽은 근거를 확인하지 못했다.,+,+,10,15,18,16,21,18,12,,,내가 읽었다 — 책 안에서 내 감상이 나온다.,막힌 자리를 솔직하게 적었다 — 이해되지 않은 부분도 책을 통과한 흔적이다.,막힌 자리를 적는 것도 독후감이다 — 이해 안 됨도 책을 통과한 흔적이다.,문해력,문해력,10,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,
A3R2,A,A3,R2,본인 경험 기반,어린왕자 독후감,"국어 시간에 『어린왕자』를 읽고 독후감을 써오라는 과제가 나왔다. 책 이름은 많이 들어봤고 유명한 문장도 어디선가 본 것 같지만, 아직 책을 제대로 읽지는 않았다. 제출일은 다가오는데 지금부터 책을 다 읽기에는 시간이 부족해 보인다.",책을 직접 읽고 쓴다,어린왕자 책을 펴서 내가 읽고 그 감상으로 쓴다.,이해되지 않는 부분을 붙들고 독후감을 쓴다,"책을 읽다가 이해되지 않거나 헷갈린 부분을 적고, 왜 어려웠는지 쓴 독후감 초안이 만들어졌다. 완벽한 해석은 아니지만, 내가 실제로 막힌 지점이 드러난다.",이해 안 되는 부분을 솔직하게 담은 독후감,어떤 문장이나 장면에서 막혔는지 덧붙이고 다시 읽은 뒤 생각을 정리한다,"한 번 읽으며 ""잘 모르겠지만""이 두 번 나오는 자리를 표시했다.",A,90,이상한 부분을 표시하며 이해되지 않던 장면을 조금 정리했어요.,"좋은 방향의 선택이 많았고, 한두 지점을 더 확인하면 더 단단해질 수 있어요.",다시 해본다면 그대로 진행하기 전에 이상한 부분을 표시하거나 처음부터 다시 확인해 보세요.,중심잡기,호기심,문해력,,반쪽 독후감 카드,"경험은 위임 불가. 본인이 안 한 일은 AI도, 인터넷도, 친구도 대신해 줄 수 없다.",이상한 부분을 표시하며 이해되지 않던 장면을 조금 정리했어요. 질문이 글의 중심으로 살아나기 시작했어요.,독후감을 써야 하지만 책을 충분히 읽지 못했다.,책을 직접 읽는 쪽에서 시작했다.,이해되지 않는 부분을 붙잡고 썼다.,이해 안 되는 부분을 솔직하게 담은 독후감,읽지 않은 장면과 설명하기 어려운 문장을 표시했다.,+,+,10,15,18,16,24,21,12,,,내가 읽었다 — 책 안에서 내 감상이 나온다.,막힌 자리를 솔직하게 적었다 — 이해되지 않은 부분도 책을 통과한 흔적이다.,막힌 자리를 적는 것도 독후감이다 — 이해 안 됨도 책을 통과한 흔적이다.,문해력;해석능력,문해력,12,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,
A3R3,A,A3,R3,본인 경험 기반,어린왕자 독후감,"국어 시간에 『어린왕자』를 읽고 독후감을 써오라는 과제가 나왔다. 책 이름은 많이 들어봤고 유명한 문장도 어디선가 본 것 같지만, 아직 책을 제대로 읽지는 않았다. 제출일은 다가오는데 지금부터 책을 다 읽기에는 시간이 부족해 보인다.",책을 직접 읽고 쓴다,어린왕자 책을 펴서 내가 읽고 그 감상으로 쓴다.,이해되지 않는 부분을 붙들고 독후감을 쓴다,"책을 읽다가 이해되지 않거나 헷갈린 부분을 적고, 왜 어려웠는지 쓴 독후감 초안이 만들어졌다. 완벽한 해석은 아니지만, 내가 실제로 막힌 지점이 드러난다.",이해 안 되는 부분을 솔직하게 담은 독후감,"AI에게 헷갈린 부분을 질문으로 바꾸게 한 뒤, 책에서 근거를 찾아 내 말로 고친다",안 읽은 부분 추측을 빼고 읽은 부분 감상만 남겼다. 솔직함이 자리를 잡았다.,S,96,모르겠던 장면을 끝까지 다시 확인했어요.,자기 기준을 세우고 마지막 확인까지 해낸 선택이라 결과의 완성도가 높아요.,다시 해본다면 내가 직접 확인한 근거를 하나 더 넣어 보세요.,중심잡기,호기심,문해력;검토력,,솔직한 감상 카드,"경험은 위임 불가. 본인이 안 한 일은 AI도, 인터넷도, 친구도 대신해 줄 수 없다.",모르겠던 장면을 끝까지 다시 확인했어요. 어려운 부분을 피하지 않은 시간이 감상의 깊이로 남았어요.,독후감을 써야 하지만 책을 충분히 읽지 못했다.,책을 직접 읽는 쪽에서 시작했다.,이해되지 않는 부분을 붙잡고 썼다.,이해 안 되는 부분을 솔직하게 담은 독후감,책에서 확인한 장면과 감상만 남기려 했다.,+,+,10,15,18,16,29,25,12,자기성찰,5,내가 읽었다 — 책 안에서 내 감상이 나온다.,막힌 자리를 솔직하게 적었다 — 이해되지 않은 부분도 책을 통과한 흔적이다.,막힌 자리를 적는 것도 독후감이다 — 이해 안 됨도 책을 통과한 흔적이다.,문해력;해석능력;자기성찰;검수능력,"문해력, 자기이해, 검토력",10,과정 소유권 보정,AI나 외부 도움을 자기 기준으로 걸러 과정 소유권을 회복한 경로.,얕게 읽었음을 인정하고 추측을 빼는 자리 — 자기성찰 카드와 강한 매칭
B1R1,B,B1,R1,본인 경험 기반,어린왕자 독후감,"국어 시간에 『어린왕자』를 읽고 독후감을 써오라는 과제가 나왔다. 책 이름은 많이 들어봤고 유명한 문장도 어디선가 본 것 같지만, 아직 책을 제대로 읽지는 않았다. 제출일은 다가오는데 지금부터 책을 다 읽기에는 시간이 부족해 보인다.",AI나 다른 도움으로 읽을 실마리를 잡는다,"AI, 요약, 소개 자료처럼 책 밖의 도움으로 읽을 부분을 찾는 길이다. 도움을 받더라도 책 안 장면을 직접 확인해야 내 감상이 생긴다.",AI나 검색 요약으로 줄거리를 파악하고 중요한 장면 하나를 책에서 찾아 읽는다,"AI나 검색으로 줄거리의 큰 흐름을 확인하고, 중요해 보이는 장면 하나를 책에서 찾아 읽은 뒤 독후감 초안이 만들어졌다. 전체를 읽지는 않았지만, 적어도 한 장면은 직접 확인했다.",요약 + 한 장면 직접 확인한 독후감,요약과 한 장면을 봤으니 그대로 제출한다,요약으로 잡은 줄거리에 장면 하나만 직접 본 채 그대로 냈다. 읽은 조각 밖은 빌린 말로 남았다.,C,60,요약에서 출발했지만 한 장면을 책에서 찾아본 점은 남았어요.,이번 결과는 부족했던 과정을 알아차리는 출발점이에요. 다시 시도하며 내 기준과 확인 과정을 세워 볼 수 있어요.,다시 해본다면 빠른 결과보다 내가 직접 확인할 수 있는 자료나 경험에서 시작해 보세요.,,,,회복력,,"경험은 위임 불가. 본인이 안 한 일은 AI도, 인터넷도, 친구도 대신해 줄 수 없다.",요약에서 출발했지만 한 장면을 책에서 찾아본 점은 남았어요. 다만 바로 내서 요약 말투와 내 감상이 섞였어요.,독후감을 써야 하지만 책을 충분히 읽지 못했다.,AI 도움으로 책에 접근할 길을 찾았다.,AI 요약을 보고 책에서 장면을 찾아 읽었다.,요약 + 한 장면 직접 확인한 독후감,그대로 내며 직접 읽은 근거를 확인하지 못했다.,0,-,10,0,9,8,12,10,8,,,"AI나 다른 도움으로 책에 들어갈 실마리를 찾았다 — 도움은 입구가 될 수 있지만, 감상은 책 안에서 직접 만난 장면에서 나온다.",요약으로 흐름을 잡고 한 장면은 직접 확인했다 — 책 안으로 돌아왔지만 전체 맥락은 아직 얕다.,요약으로 흐름을 잡았지만 직접 읽지 않은 부분의 빈틈이 남는다 — 한 장면이 전체를 대신할 수 없다.,,,-16,근거/검토 부족 페널티,"검토, 근거 확인, 자기 기준 형성이 부족한 경로.",
