시나리오 ID,시나리오 타이틀,상황,시나리오 의도,시나리오 메시지,tier2 좌표,1차 선택,1차 의도,1차 메시지,1차 시간비용,1차 에너지비용,1차 위임판단력 변화,1차 도메인지식 변화,tier1 베이스,tier1 변수,더 자세히 선택,더 자세히 의도,더 자세히 메시지,더 자세히 시간비용,더 자세히 에너지비용,더 자세히 위임판단력 변화,더 자세히 도메인지식 변화,tier2 베이스,tier2 변수,매칭 그룹 (matchGroups),R1 검토,R1 학생 narrative,R1 시간비용,R1 에너지비용,R1 위임판단력 변화,R1 도메인지식 변화,R1 review 점수,R1 합산 점수,R1 직접 매칭 카드,R1 직접 매칭 보너스,R1 획득 카드 목록,R1 EXP,R1 [검수·코드미사용] finals.score,R1 [검수] finals.grade,R2 검토,R2 학생 narrative,R2 시간비용,R2 에너지비용,R2 위임판단력 변화,R2 도메인지식 변화,R2 review 점수,R2 합산 점수,R2 직접 매칭 카드,R2 직접 매칭 보너스,R2 획득 카드 목록,R2 EXP,R2 [검수·코드미사용] finals.score,R2 [검수] finals.grade,R3 검토,R3 학생 narrative,R3 시간비용,R3 에너지비용,R3 위임판단력 변화,R3 도메인지식 변화,R3 review 점수,R3 합산 점수,R3 직접 매칭 카드,R3 직접 매칭 보너스,R3 획득 카드 목록,R3 EXP,R3 [검수·코드미사용] finals.score,R3 [검수] finals.grade
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A1,A. 내 이야기를 먼저 찾아본다,내 자리에서 시작했다 — AI를 쓰더라도 나를 대신 소개하게 하지 않았다.,"완벽하지 않아도 내 단어, 내 기억, 내 초안에서 시작한다.",25,20,+,+,10,15,A1. 나를 떠올리는 단어에서 시작해 직접 글을 쓴다,내가 고른 단어에서 글이 시작됐다 — 자기 안에서 재료를 찾는 것이 자기소개의 출발점이다.,내가 고른 단어를 바탕으로 직접 이어 썼다. 단어마다 뭔가 설명하려는 문장이 있었지만 연결이 어색하거나 설명이 부족한 곳도 있었다.,12,10,++,++,10,25,자기성찰,R1. 그대로 제출,직접 고른 단어와 내 말로 이어 쓴 자기소개를 그대로 냈다. 일부 문장이 갑자기 튀거나 왜 그 단어가 나를 보여주는지 이해하기 어려운 부분이 남았다.,2,1,++,++,10,70,,,"자기지식, 정리력",25,92,S,R2. 한 번 읽고 이상한 곳만 표시,"단어마다 짧은 설명을 덧붙이고 문장 흐름을 다시 봤다. 내가 고른 단어와 설명이 더 잘 이어져, 내가 어떤 사람인지 조금 더 또렷하게 보이는 자기소개가 됐다.",5,4,++,++,18,78,,,"자기지식, 정리력, 검수능력",27,95,S,R3. 처음부터 다시 읽고 내 얘기인지 확인,AI에게 읽고 궁금한 점을 물어보게 한 뒤 내가 답할 수 있는 내용만 보충했다. 독자가 궁금해할 부분을 발견하고 실제로 답할 수 있는 내용만 골라 채운 자기소개가 됐다.,15,11,++,++,30,90,자기지식,5,"자기지식, 정리력, 표현력, 자기검증",30,98,S
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A2,A. 내 이야기를 먼저 찾아본다,내 자리에서 시작했다 — AI를 쓰더라도 나를 대신 소개하게 하지 않았다.,"완벽하지 않아도 내 단어, 내 기억, 내 초안에서 시작한다.",25,20,+,+,10,15,A2. 나를 소개할 만한 일을 떠올려 짧은 이야기로 쓴다,실제로 겪은 일에서 글이 나왔다 — 경험이 자기소개의 근거가 된다.,실제로 겪은 일을 짧게 적은 이야기형 초안이 만들어졌다. 사건은 보이지만 그 일이 왜 나를 보여주는지는 아직 분명하지 않았다.,6,6,+,+,10,12,자기성찰 / 표현·소통,R1. 그대로 제출,실제로 겪은 일을 짧게 적은 이야기를 그대로 냈다. 경험은 들어 있지만 읽는 사람이 그 경험에서 내 특징을 스스로 짐작해야 하는 자기소개가 됐다.,2,1,+,+,10,57,,,"자기지식, 표현력",18,70,A,R2. 한 번 읽고 이상한 곳만 표시,이 일이 왜 나를 보여주는지 한 문장을 덧붙였다. 경험과 내 특징이 연결되어 친구들이 나를 조금 더 이해하기 쉬운 자기소개가 됐다.,5,4,+,+,18,65,,,"자기지식, 표현력, 검수능력",20,75,A,R3. 처음부터 다시 읽고 내 얘기인지 확인,"AI에게 이야기를 읽고 떠오르는 내 특징을 물어본 뒤 맞는 것만 골랐다. AI가 제안한 특징 중 실제 나와 맞는 것만 골라, 경험과 성격이 연결된 자기소개가 됐다.",15,11,+,++,30,77,,,"자기지식, 표현력, 검수능력, 자기검증",23,81,A
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A3,A. 내 이야기를 먼저 찾아본다,내 자리에서 시작했다 — AI를 쓰더라도 나를 대신 소개하게 하지 않았다.,"완벽하지 않아도 내 단어, 내 기억, 내 초안에서 시작한다.",25,20,+,+,10,15,A3. 서툴어도 일단 초안을 쓴 뒤 필요한 도움만 받는다,짧고 서툴어도 내가 먼저 썼다 — 내 말투는 살아 있지만 더 다듬을 여지가 남는다.,짧고 서툴지만 내가 직접 쓴 초안이 만들어졌다. 내 말투는 살아 있었지만 내용이 부족하거나 반복되는 부분이 있었다.,2,1,0,+,10,0,자기성찰,R1. 그대로 제출,짧고 어색해도 그대로 냈다. 내 말투는 살아 있지만 친구들이 나를 알기에는 정보가 부족하거나 정리가 덜 된 자기소개가 됐다.,2,1,0,0,10,45,,,자기지식,12,48,C,R2. 한 번 읽고 이상한 곳만 표시,"다시 읽어보고 빠진 내용을 추가하거나 반복을 줄였다. 처음보다 구체적인 내용이 들어가고 어색한 부분이 줄어, 서툴지만 나를 보여주는 힘이 커진 자기소개가 됐다.",3,3,0,0,18,53,,,"자기지식, 정리력",14,57,B,R3. 처음부터 다시 읽고 내 얘기인지 확인,AI에게 추가하거나 줄이면 좋을 곳을 표시하게 한 뒤 내가 고른 부분만 고쳤다. AI의 제안을 모두 따르지 않고 내게 맞는 내용만 골라 보충하거나 줄인 자기소개가 됐다.,13,10,0,+,30,65,자기성찰,5,"자기지식, 정리력, 자기성찰, 검수능력",17,65,B
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,B1,B. AI에게 시작을 도움받는다,AI로 시작을 열었다 — 내가 질문에 답하고 내 경험을 넣지 않으면 글이 일반적으로 흐를 수 있다.,"AI를 질문자, 구조 제공자, 초안 제공자로 쓰면서 시작을 도움받는다.",6,5,-,-,10,0,B1. AI에게 자기소개 질문을 받고 답해 글을 만든다,AI 질문에 답하며 글이 시작됐다 — 답이 짧거나 경험이 없으면 글이 일반적으로 흐를 수 있다.,AI가 준 질문에 답한 내용을 바탕으로 자기소개 초안이 만들어졌다. 시작은 쉬웠지만 답이 짧거나 경험이 빠진 자리가 있었다.,2,1,--,-,10,0,인식·해석,R1. 그대로 제출,AI가 준 질문에 답한 내용을 그대로 냈다. 질문에 답한 내용은 들어 있지만 왜 그렇게 생각하는지나 실제 경험은 부족한 자기소개가 됐다.,2,1,--,--,10,30,,,,8,15,D,R2. 한 번 읽고 이상한 곳만 표시,답마다 이유나 경험을 한 문장씩 덧붙였다. AI 질문에서 시작했지만 내 이유와 경험이 들어가면서 조금 더 나다운 자기소개가 됐다.,3,3,--,-,18,38,비판적 사고,5,,10,28,D,R3. 처음부터 다시 읽고 내 얘기인지 확인,AI에게 더 궁금한 질문을 하나만 더 받아 답을 보충했다. AI가 던진 추가 질문을 통해 빠진 내용을 발견하고 내가 답한 내용으로 보충한 자기소개가 됐다.,13,10,--,0,30,50,,,,12,38,C
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,B2,B. AI에게 시작을 도움받는다,AI로 시작을 열었다 — 내가 질문에 답하고 내 경험을 넣지 않으면 글이 일반적으로 흐를 수 있다.,"AI를 질문자, 구조 제공자, 초안 제공자로 쓰면서 시작을 도움받는다.",6,5,-,-,10,0,B2. AI에게 글의 순서를 받고 내 이야기에 맞게 바꾼다,AI 구조에 내 이야기를 채웠다 — 틀은 정리됐지만 내용이 틀에 맞춰 들어간 느낌이 남을 수 있다.,AI가 준 자기소개 순서를 바탕으로 내 정보를 넣고 일부 순서를 바꿨다. 구조는 정리됐지만 빈칸을 채운 느낌이 남았다.,4,8,0,0,10,5,인식·해석 / 표현·소통,R1. 그대로 제출,AI가 준 순서에 맞게 내 정보를 넣어 그대로 냈다. 읽기 편한 형식은 갖췄지만 내 이야기는 정해진 틀에 맞춰 넣은 정도로만 보이는 자기소개가 됐다.,2,1,0,0,10,35,,,자기지식,7,57,B,R2. 한 번 읽고 이상한 곳만 표시,내가 말하고 싶은 부분이 잘 보이도록 순서와 내용을 다시 봤다. AI가 준 구조를 그대로 따르지 않고 내가 중요하게 생각한 내용이 더 잘 드러나도록 정리한 자기소개가 됐다.,5,4,0,+,18,43,,,"자기지식, 표현력, 검수능력",9,65,B,R3. 처음부터 다시 읽고 내 얘기인지 확인,AI에게 흐름이 끊기거나 너무 빈칸처럼 보이는 부분을 표시하게 한 뒤 보충했다. 구조의 빈약한 부분을 찾고 그 자리에 내 이야기를 보충한 자기소개가 됐다.,15,11,0,+,30,55,표현력,5,"자기지식, 표현력, 검수능력, 자기검증",12,72,A
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,B3,B. AI에게 시작을 도움받는다,AI로 시작을 열었다 — 내가 질문에 답하고 내 경험을 넣지 않으면 글이 일반적으로 흐를 수 있다.,"AI를 질문자, 구조 제공자, 초안 제공자로 쓰면서 시작을 도움받는다.",6,5,-,-,10,0,B3. AI 초안을 받고 좋아 보이는 문장과 내 메모를 섞어 글을 만든다,AI 문장과 내 메모가 섞였다 — 어떤 표현이 내 이야기의 중심인지 확인하는 것이 핵심이다.,AI 초안에서 좋아 보이는 문장을 고르고 내가 쓴 짧은 메모를 함께 넣어 초안이 만들어졌다. 문장은 자연스럽지만 어느 표현이 내 이야기의 중심인지 흐릿했다.,6,16,++,++,10,25,인식·해석 / 표현·소통,R1. 그대로 제출,좋은 문장과 내 메모가 들어갔으니 그대로 냈다. AI 문장과 내 메모가 함께 들어 있지만 어떤 부분이 내 말이고 어떤 부분이 AI의 표현인지 애매한 자기소개가 됐다.,2,1,++,++,10,55,,,"자기지식, 표현력, 검수능력",10,88,S,R2. 한 번 읽고 이상한 곳만 표시,내 메모에서 살아 있던 표현이 사라지지 않았는지 확인했다. 내 짧은 메모에 있던 솔직한 표현을 되살려 더 내 말에 가까운 자기소개가 됐다.,5,4,++,++,18,63,검수능력,5,"자기지식, 표현력, 검수능력, 비판적 사고",12,93,S,R3. 처음부터 다시 읽고 내 얘기인지 확인,AI에게 너무 일반적이거나 과한 문장을 표시하게 한 뒤 내 말로 고쳤다. AI의 도움으로 과한 문장을 찾고 내가 실제로 말할 수 있는 표현으로 바꾼 자기소개가 됐다.,15,11,++,++,30,75,,,"자기지식, 표현력, 정리력, 검수능력, 자기검증",14,100,S
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,C1,C. AI에게 자기소개를 맡겨본다,결과물부터 맡겼다 — 검토 단계에서 내 재료와 말투를 얼마나 되찾는지가 중요하다.,AI에게 자기소개 결과물을 먼저 맡기는 길이다.,5,4,0,0,10,8,C1. 아무 정보 없이 AI에게 바로 써달라고 한다,AI가 아무 정보 없이 만든 글에서 시작했다 — 문장은 매끄럽지만 내 이야기는 거의 없다.,AI가 아무 정보 없이 만든 일반적인 자기소개 초안이 만들어졌다. 문장은 매끄럽지만 실제 나에 대한 정보는 거의 없었다.,2,1,--,-,10,-10,인식·해석,R1. 그대로 제출,아무 정보 없이 AI가 만든 글을 그대로 냈다. 글은 자연스럽지만 내가 누구인지보다 AI가 상상한 학생의 모습이 더 많이 남는 자기소개가 됐다.,2,1,--,--,10,28,,,"자기지식, 정리력, 자기성찰",5,15,D,R2. 한 번 읽고 이상한 곳만 표시,내가 실제로 하지 않은 말이나 경험을 직접 지웠다. 사실과 다른 부분은 줄었지만 남은 글도 아직 내 이야기가 충분하지 않은 자기소개가 됐다.,3,3,--,-,18,36,,,"자기지식, 정리력, 자기성찰, 비판적 사고",7,28,D,R3. 처음부터 다시 읽고 내 얘기인지 확인,AI에게 내가 설명하기 어려운 문장을 표시하게 한 뒤 고쳤다. 내가 책임지기 어려운 문장을 찾아내고 일부를 내 말로 바꾸었지만 여전히 내 재료를 더 넣어야 하는 자기소개가 됐다.,13,10,--,0,30,48,자기검증,5,"자기지식, 정리력, 표현력, 자기성찰, 자기검증",10,38,C
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,C2,C. AI에게 자기소개를 맡겨본다,결과물부터 맡겼다 — 검토 단계에서 내 재료와 말투를 얼마나 되찾는지가 중요하다.,AI에게 자기소개 결과물을 먼저 맡기는 길이다.,5,4,0,0,10,8,C2. 내 정보 몇 가지만 넣어 AI에게 써달라고 한다,기본 정보는 들어갔지만 이유와 맥락은 부족했다 — 검토에서 얼마나 채우는지가 중요하다.,"이름, 취미, 좋아하는 과목, 성격 같은 기본 정보를 바탕으로 AI가 만든 초안이 만들어졌다. 내 정보는 들어 있지만 이유와 맥락이 부족했다.",3,3,0,0,10,5,인식·해석 / 표현·소통,R1. 그대로 제출,기본 정보 몇 가지를 바탕으로 AI가 만든 글을 그대로 냈다. 내 정보가 들어 있어 그럴듯해 보이지만 왜 그것을 좋아하는지나 실제로 어떤 사람인지는 약한 자기소개가 됐다.,2,1,0,0,10,43,,,,3,57,B,R2. 한 번 읽고 이상한 곳만 표시,"왜 좋아하는지, 왜 그렇게 생각하는지 이유를 덧붙였다. 기본 정보 뒤에 내 이유가 붙어 단순 정보보다 내 생각이 조금 더 보이는 자기소개가 됐다.",5,4,0,+,18,51,,,비판적 사고,5,65,B,R3. 처음부터 다시 읽고 내 얘기인지 확인,AI에게 이 글을 읽고 나에 대해 더 궁금한 점을 물어보게 한 뒤 보충했다. AI가 던진 질문을 통해 기본 정보 뒤에 숨은 내 이야기를 조금 더 채운 자기소개가 됐다.,15,11,0,+,30,63,,,"자기지식, 정리력, 자기성찰, 자기검증",8,72,A
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,C3,C. AI에게 자기소개를 맡겨본다,결과물부터 맡겼다 — 검토 단계에서 내 재료와 말투를 얼마나 되찾는지가 중요하다.,AI에게 자기소개 결과물을 먼저 맡기는 길이다.,5,4,0,0,10,8,C3. AI 글을 받은 뒤 내 글로 다시 쓴다,"AI 흐름을 참고해 다시 썼다 — 내가 동의하는 내용만 골랐는지, 내 이야기가 들어갔는지가 핵심이다.",AI 글의 흐름이나 표현을 참고하되 내가 동의하는 내용만 골라 다시 썼다. AI에서 출발했지만 일부 판단은 내가 한 상태였다.,9,8,+,+,10,15,자기성찰 / 인식·해석,R1. 그대로 제출,AI 흐름을 참고해 다시 쓴 글을 그대로 냈다. 문장은 내가 다시 썼지만 AI 흐름에 맞추느라 내 이야기가 덜 들어간 부분이 남는 자기소개가 됐다.,2,1,++,++,10,53,,,,1,88,S,R2. 한 번 읽고 이상한 곳만 표시,왜 그 내용에 동의하는지 내 경험과 연결했다. AI 문장 중 내가 인정한 내용을 내 경험과 연결해 선택의 이유가 보이는 자기소개가 됐다.,5,4,++,++,18,61,,,,2,93,S,R3. 처음부터 다시 읽고 내 얘기인지 확인,AI에게 친구나 선생님이 물어볼 만한 질문을 만들게 한 뒤 대답하기 어려운 부분을 고쳤다. 질문을 예상해보며 내가 설명하기 어려운 부분을 고치고 더 책임질 수 있는 자기소개가 됐다.,15,11,++,++,30,73,,,,4,100,S
groupwork,모둠 발표 자료,"학기 초 모둠 발표가 다음 주로 잡혔다. 우리 모둠은 4명이 각자 파트를 맡았고, 내가 맡은 일은 자료 조사와 슬라이드 3장 만들기였다. 다른 애들이 어떤 흐름으로 준비하는지 아직 잘 모르는데, 숙제도 있고 학원도 있어서 시간이 많지는 않았다.",팀 작업에서 역할 분담과 AI 활용을 함께 굴리는 회기. 협업·소통·발표 자리.,혼자 빨리 끝낸 발표 자료는 모둠 안에서 아직 맞춰진 자료가 아니다.,A1,A. 모둠과 먼저 방향을 정한다,모둠 자리에서 시작했다 — 발표는 모둠이 함께 이해한 이야기일 때 단단하다.,"모둠이 함께 발표 질문을 정하고, 역할을 나누고, 각자 맡은 내용을 이해하려는 길이다.",25,20,+,+,10,15,A1. 모둠원들과 발표 질문을 먼저 정한다,모둠 질문에서 시작했다 — 발표의 중심이 잡힌다.,"모둠원들이 함께 정한 발표 질문 하나가 만들어진다. 예를 들어 “우리 동네에서 청소년이 안전하게 쉴 공간은 충분한가?”처럼 발표의 중심이 되는 질문은 생겼지만, 아직 자료와 역할은 정리되지 않았다.",12,10,++,++,10,25,표현·소통,R1. 그대로 제출,"발표 방향은 생겼지만, 질문이 사회 시간의 주제와 잘 맞는지, 우리 동네 상황을 충분히 담는지는 확인하지 못한 발표 준비가 된다.",2,1,++,++,10,70,,,"협업능력, 소통능력, 자기검증",25,93,S,R2. 한 번 읽고 이상한 곳만 표시,"모둠이 정한 질문을 다시 점검해, 발표 주제와 실제 동네 상황이 더 잘 이어지는 발표 방향이 된다.",5,4,++,++,18,78,,,"협업능력, 소통능력, 자기검증, 비판적 사고",27,96,S,R3. 출처 확인 + 모둠 흐름 맞추기,"AI가 빠질 수 있는 관점을 알려주지만, 모둠이 실제로 다룰 수 있는 내용만 골라 발표 질문을 보완한 준비가 된다.",15,11,++,++,30,90,협업능력,5,"협업능력, 소통능력, 발표력, 자기검증, 자기성찰",30,99,S
