시나리오 ID,시나리오 타이틀,상황,시나리오 의도,시나리오 메시지,tier2 좌표,1차 선택,1차 의도,1차 메시지,1차 시간비용,1차 에너지비용,1차 위임판단력 변화,1차 도메인지식 변화,tier1 베이스,tier1 변수,더 자세히 선택,더 자세히 의도,더 자세히 메시지,더 자세히 시간비용,더 자세히 에너지비용,더 자세히 위임판단력 변화,더 자세히 도메인지식 변화,tier2 베이스,tier2 변수,매칭 그룹 (matchGroups),R1 검토,R1 학생 narrative,R1 시간비용,R1 에너지비용,R1 위임판단력 변화,R1 도메인지식 변화,R1 review 점수,R1 합산 점수,R1 직접 매칭 카드,R1 직접 매칭 보너스,R1 획득 카드 목록,R1 EXP,R1 [검수·코드미사용] finals.score,R1 [검수] finals.grade,R2 검토,R2 학생 narrative,R2 시간비용,R2 에너지비용,R2 위임판단력 변화,R2 도메인지식 변화,R2 review 점수,R2 합산 점수,R2 직접 매칭 카드,R2 직접 매칭 보너스,R2 획득 카드 목록,R2 EXP,R2 [검수·코드미사용] finals.score,R2 [검수] finals.grade,R3 검토,R3 학생 narrative,R3 시간비용,R3 에너지비용,R3 위임판단력 변화,R3 도메인지식 변화,R3 review 점수,R3 합산 점수,R3 직접 매칭 카드,R3 직접 매칭 보너스,R3 획득 카드 목록,R3 EXP,R3 [검수·코드미사용] finals.score,R3 [검수] finals.grade
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A1,A. 직접 쓴다,내 손으로 직접 했다 — 자기 일은 자기가 한다.,내 추억과 관심사를 떠올려서 내 말로 쓴다.,25,20,+,+,20,8,A1. 추억과 관심사를 정리해 자기 말로 쓴다,내 경험을 들여다봤다 — 자기 안에서 글이 나온다.,초등학교 때 축구하다가 처음 골을 넣었던 일과 요즘 그림 그리는 걸 좋아한다는 말을 넣었다. 글은 조금 느리게 나왔지만 읽어 보니 내 얘기 같았다.,12,10,++,++,20,10,자기성찰,R1. 그대로 제출,떠올린 추억과 관심사를 자기 말로 묶어 그대로 냈다. 자기 자리가 글에 들어왔다.,2,1,++,++,10,68,,,"자기지식, 정리력",25,92,S,R2. 한 번 읽고 이상한 곳만 표시,한 번 읽으며 길어진 한 문장을 둘로 나눴다. 자기 글이 더 또렷해졌다.,5,4,++,++,20,78,,,"자기지식, 정리력, 검수능력",27,95,S,R3. 처음부터 다시 읽고 내 얘기인지 확인,처음부터 다시 읽고 올해 해 보고 싶은 일을 한 줄 더 넣었다. 자기 자리가 한 단계 깊어졌다.,15,11,++,++,30,88,자기지식,5,"자기지식, 정리력, 표현력, 자기검증",30,98,S
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A2,A. 직접 쓴다,내 손으로 직접 했다 — 자기 일은 자기가 한다.,내 추억과 관심사를 떠올려서 내 말로 쓴다.,25,20,+,+,20,8,A2. 자기 말로 쓰다가 한두 표현만 AI에 다듬어 달라 한다,자기 글에 AI 손이 점만 닿았다 — 내용은 내 것이고 표현이 매끄러워졌다.,직접 자기 말로 쓰다가 한두 표현이 어색해서 AI에게 다듬어 달라 했다. 내 말투는 그대로인데 한두 문장이 매끄러워졌다.,6,6,+,+,20,7,자기성찰 / 표현·소통,R1. 그대로 제출,자기 말로 쓰다가 어색한 한두 표현만 AI에 다듬어 받았다. 내용은 자기 안에서 나왔다.,2,1,+,+,10,65,,,"자기지식, 표현력",18,70,A,R2. 한 번 읽고 이상한 곳만 표시,한 번 읽으며 AI가 바꾼 한 표현이 자기 말투와 달라 원래 말로 되돌렸다.,5,4,+,+,20,75,,,"자기지식, 표현력, 검수능력",20,75,A,R3. 처음부터 다시 읽고 내 얘기인지 확인,AI가 다듬은 문장과 처음 쓴 문장을 나란히 두고 자기 말투에 맞는 쪽을 골랐다.,15,11,+,++,30,85,,,"자기지식, 표현력, 검수능력, 자기검증",23,81,A
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A3,A. 직접 쓴다,내 손으로 직접 했다 — 자기 일은 자기가 한다.,내 추억과 관심사를 떠올려서 내 말로 쓴다.,25,20,+,+,20,8,A3. 떠오르는 대로 쓰고 바로 끝낸다,떠오르는 대로 내보냈다 — 자기 안에서 끌어냈지만 정리 없이 나갔다.,생각나는 대로 쓰다 보니 문장이 길어졌다가 갑자기 끝났다. 농구 얘기도 있고 게임 얘기도 있는데 서로 잘 이어지지는 않았다.,2,1,0,+,20,3,자기성찰,R1. 그대로 제출,떠오르는 대로 적고 그대로 냈다. 자기 안에서 나왔지만 묶이지 않은 채 흩어졌다.,2,1,0,0,10,61,,,자기지식,12,48,C,R2. 한 번 읽고 이상한 곳만 표시,한 번 읽으며 갑자기 끝나는 문장을 찾아 한 줄을 덧붙였다.,3,3,0,0,20,71,,,"자기지식, 정리력",14,57,B,R3. 처음부터 다시 읽고 내 얘기인지 확인,흩어진 얘기 중 가장 쓰고 싶은 하나를 골라 글의 중심을 다시 잡았다.,13,10,0,+,30,81,자기성찰,5,"자기지식, 정리력, 자기성찰, 검수능력",17,65,B
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,B1,B. AI에게 부탁한다,AI에 위임했다 — 자기소개를 AI에 시킬 일인지 따져봐야 한다.,AI에게 정보를 주고 자기소개 글을 받아 본다.,6,5,-,-,20,4,B1. AI에게 이름만 주고 만들어 달라고 한다,AI에 다 맡겼다 — 내 빈자리를 가짜로 메운다.,AI가 내 이름을 넣어 반듯한 자기소개를 써 줬다. 그런데 글 안에는 내가 말한 적 없는 봉사활동과 독서 습관이 들어 있었다.,2,1,--,-,20,1,인식·해석,R1. 그대로 제출,이름만 주고 받은 AI 글을 그대로 냈다. 자기 자리에 자기가 없는 글이 들어갔다.,2,1,--,--,10,55,,,,8,15,D,R2. 한 번 읽고 이상한 곳만 표시,한 번 읽으며 한 적 없는 봉사활동 얘기를 발견하고 표시했다.,3,3,--,-,20,65,비판적 사고,5,,10,28,D,R3. 처음부터 다시 읽고 내 얘기인지 확인,자기가 말한 적 없는 내용을 모두 지우고 실제로 한 일만 남겼다.,13,10,--,0,30,75,,,,12,38,C
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,B2,B. AI에게 부탁한다,AI에 위임했다 — 자기소개를 AI에 시킬 일인지 따져봐야 한다.,AI에게 정보를 주고 자기소개 글을 받아 본다.,6,5,-,-,20,4,B2. 내 정보를 자세히 주고 AI 글을 받아 다듬는다,재료는 줬지만 글까지 맡겼다 — 말투가 내 것이 아니다.,"내가 좋아하는 것, 방학 때 있었던 일, 올해 해 보고 싶은 일을 AI에게 자세히 적어 줬다. 글은 깔끔했지만 몇 문장은 내 말투보다 너무 얌전했다.",4,8,0,0,20,5,인식·해석 / 표현·소통,R1. 그대로 제출,자기 정보를 자세히 주고 받은 AI 글을 다듬어 그대로 냈다. 글은 깔끔했지만 말투가 자기 것이 아니었다.,2,1,0,0,10,59,,,자기지식,7,57,B,R2. 한 번 읽고 이상한 곳만 표시,한 번 읽으며 너무 어른스럽게 들리는 한 문장을 자기 말투로 고쳤다.,5,4,0,+,20,69,,,"자기지식, 표현력, 검수능력",9,65,B,R3. 처음부터 다시 읽고 내 얘기인지 확인,AI가 정리한 글에 자기 말투와 실제 기억을 다시 넣었다.,15,11,0,+,30,79,표현력,5,"자기지식, 표현력, 검수능력, 자기검증",12,72,A
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,B3,B. AI에게 부탁한다,AI에 위임했다 — 자기소개를 AI에 시킬 일인지 따져봐야 한다.,AI에게 정보를 주고 자기소개 글을 받아 본다.,6,5,-,-,20,4,B3. 내가 먼저 자기소개를 쓰고 AI에게 표현 두세 개만 보여 달라 한다 — 내 말투에 맞는 것만 골라 쓴다,내 글이 중심이고 AI는 거들었다 — 표현만 받고 내 말투로 검수하면 글이 단단해진다.,"내가 먼저 자기소개를 쓰고 AI에게 어색한 표현 두세 개만 보여 달라 했다. 그중 내 말투에 맞는 것만 골라 썼더니, 내 얘기인데 더 매끄럽게 읽혔다.",6,16,++,++,20,10,인식·해석 / 표현·소통,R1. 그대로 제출,자기가 먼저 쓰고 AI 표현 두세 개 중 자기 말투에 맞는 것만 골라 썼다. 글의 무게는 자기 안에 있었다.,2,1,++,++,10,64,,,"자기지식, 표현력, 검수능력",10,88,S,R2. 한 번 읽고 이상한 곳만 표시,한 번 읽으며 AI가 바꾼 한 표현이 자기 말 같지 않아 다시 자기 말로 되돌렸다.,5,4,++,++,20,74,검수능력,5,"자기지식, 표현력, 검수능력, 비판적 사고",12,93,S,R3. 처음부터 다시 읽고 내 얘기인지 확인,처음 쓴 문장과 AI가 다듬은 문장을 비교해서 자기 말투에 맞는 것만 남겼다.,15,11,++,++,30,84,,,"자기지식, 표현력, 정리력, 검수능력, 자기검증",14,100,S
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,C1,C. 다른 사람·기성 자료에 기댄다,"다른 데서 가져왔다 — 적절히 골라 쓸 수도, 자기 자리를 비울 수도 있다.",친구 글이나 작년 내가 쓴 글에 기대서 풀어간다.,14,11,0,0,20,6,C1. 작년 자기소개를 다시 읽고 올해의 나를 처음부터 새로 쓴다,작년의 글이 거름이 되어 올해의 나를 자기 말로 자라게 했다 — 자기 자료를 적극 활용했다.,작년에 썼던 자기소개를 다시 읽으니 지금은 안 하는 취미와 새로 좋아하게 된 것이 또렷이 보였다. 작년 글을 거름 삼아 올해의 나로 처음부터 다시 썼다.,4,12,++,++,20,10,자기성찰 / 인식·해석,R1. 그대로 제출,작년 글을 다시 읽고 올해의 자기로 처음부터 새로 썼다. 작년의 자기가 거름이 되었다.,2,1,++,++,10,66,,,"자기지식, 정리력, 자기성찰",5,88,S,R2. 한 번 읽고 이상한 곳만 표시,한 번 읽으며 작년 글에서 가져온 한 문장이 지금의 자기와 어울리지 않아 빼냈다.,5,4,++,++,20,76,,,"자기지식, 정리력, 자기성찰, 비판적 사고",7,93,S,R3. 처음부터 다시 읽고 내 얘기인지 확인,작년 글을 다시 비추며 지금의 자기가 새로 더하고 싶은 한 문장을 넣었다.,15,11,++,++,30,86,자기검증,5,"자기지식, 정리력, 표현력, 자기성찰, 자기검증",10,100,S
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,C2,C. 다른 사람·기성 자료에 기댄다,"다른 데서 가져왔다 — 적절히 골라 쓸 수도, 자기 자리를 비울 수도 있다.",친구 글이나 작년 내가 쓴 글에 기대서 풀어간다.,14,11,0,0,20,6,C2. 친구 작년 자기소개를 가져와 이름만 바꿔 낸다,친구의 글이 내 자리에 들어왔다 — 친구의 자기소개는 내 것이 아니다.,친구가 작년에 쓴 자기소개를 그대로 가져와 이름만 바꿔 냈다. 친구가 좋아한다던 음악과 친구가 가고 싶다던 곳이 내 자리에 들어 있었다.,2,6,--,-,20,1,자기성찰 / 인식·해석,R1. 그대로 제출,친구 자기소개를 가져와 이름만 바꿔 냈다. 자기 자리에 친구가 들어왔다.,2,1,--,-,10,57,,,,3,22,D,R2. 한 번 읽고 이상한 곳만 표시,한 번 읽으며 친구가 좋아한다던 음악이 그대로 남아 있는 자리를 찾아냈다.,5,4,--,0,20,67,,,비판적 사고,5,32,D,R3. 처음부터 다시 읽고 내 얘기인지 확인,친구의 자기소개를 거의 다 지우고 자기 얘기로 다시 채웠다.,15,11,--,+,30,77,,,"자기지식, 정리력, 자기성찰, 자기검증",8,42,C
selfintro,자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,C3,C. 다른 사람·기성 자료에 기댄다,"다른 데서 가져왔다 — 적절히 골라 쓸 수도, 자기 자리를 비울 수도 있다.",친구 글이나 작년 내가 쓴 글에 기대서 풀어간다.,14,11,0,0,20,6,C3. 잘 부탁드립니다 한 줄만 적는다,한 줄만 적었다 — 자기소개를 건너뛰었다.,종이에 '안녕하세요. 잘 부탁드립니다.'라고만 적었다. 칸은 채웠지만 게시판에 붙으면 아무도 나를 알 수 없을 것 같았다.,2,1,--,-,20,1,자기성찰 / 인식·해석,R1. 그대로 제출,한 줄만 적고 그대로 냈다. 자기소개를 건너뛴 자리에 자기가 없었다.,2,1,--,--,10,57,,,,1,10,D,R2. 한 번 읽고 이상한 곳만 표시,한 번 읽어 보니 자기를 알려 주는 말이 거의 없다는 것이 보였다.,3,3,--,-,20,67,,,,2,21,D,R3. 처음부터 다시 읽고 내 얘기인지 확인,짧게라도 좋아하는 것과 올해 해 보고 싶은 일을 한 줄씩 더 적었다.,13,10,--,0,30,77,,,,4,30,D
groupwork,모둠 발표 자료,"학기 초 모둠 발표가 다음 주로 잡혔다. 우리 모둠은 4명이 각자 파트를 맡았고, 내가 맡은 일은 자료 조사와 슬라이드 3장 만들기였다. 다른 애들이 어떤 흐름으로 준비하는지 아직 잘 모르는데, 숙제도 있고 학원도 있어서 시간이 많지는 않았다.",팀 작업에서 역할 분담과 AI 활용을 함께 굴리는 회기. 협업·소통·발표 자리.,혼자 빨리 끝낸 발표 자료는 모둠 안에서 아직 맞춰진 자료가 아니다.,A1,A. 직접 조사해서 만든다,내 손으로 직접 했다 — 모둠 발표는 내가 이해해야 내 파트가 된다.,내가 자료를 찾고 모둠 발표에 맞게 슬라이드를 만든다.,25,20,+,+,20,8,A1. 자료를 찾고 모둠원과 공유한 뒤 슬라이드를 만든다,조사하고 모둠과 맞췄다 — 내 파트가 모둠 흐름 안에 자리 잡는다.,"자료 출처를 적어 두고, 모둠 채팅방에 내가 찾은 흐름을 먼저 공유했다. 슬라이드 3장은 조금 늦게 완성됐지만 다른 친구 파트와 이어지는 말이 생겼다.",12,10,++,++,20,10,표현·소통,R1. 그대로 제출,자료를 찾아 출처를 적고 모둠 채팅방에 흐름을 먼저 공유한 뒤 슬라이드를 만들어 그대로 냈다. 내 파트가 모둠 흐름 안에 자리 잡았다.,2,1,++,++,10,68,,,"협업능력, 소통능력, 자기검증",25,93,S,R2. 한 번 읽고 이상한 곳만 표시,한 번 읽으며 한 장 제목이 친구 파트와 겹친 자리를 찾아 다른 말로 바꿨다. 모둠 흐름이 더 또렷해졌다.,5,4,++,++,20,78,,,"협업능력, 소통능력, 자기검증, 비판적 사고",27,96,S,R3. 출처 확인 + 모둠 흐름 맞추기,출처와 발표 순서를 다시 확인하고 친구 파트로 넘어가는 한 줄을 넣었다. 모둠 안에서 내 파트가 한 단계 깊이 자리 잡았다.,15,11,++,++,30,88,협업능력,5,"협업능력, 소통능력, 발표력, 자기검증, 자기성찰",30,99,S
