path,value
cards.검수능력.color,#d32f2f
cards.검수능력.short,AI/타인 결과를 끝까지 확인하는 습관
cards.검수능력.full_definition,검수능력 — AI나 타인의 결과를 끝까지 확인하고 검증하는 습관
cards.검수능력.description,"주어진 결과를 그대로 받지 않고 한 번 더 점검한다.
AI 결과의 정확성·편향·맥락 적합성을 자기 시선으로 다시 본다.
학습자가 AI 시대에 필요한 핵심 메타 능력 중 하나."
cards.자기검증.color,#1976d2
cards.자기검증.short,자기 판단을 다시 점검하는 자세
cards.자기검증.full_definition,자기검증 — 자기 판단을 다시 한 번 점검하는 자세
cards.자기검증.description,"처음 결정에 머물지 않고 한 호흡 후 같은 판단을 내려도 되는지 다시 본다.
자기 사고의 약점·편향을 스스로 찾아내는 메타인지의 핵심 자리.
AI에 의존하기 전에 자기 판단부터 검증하는 능력."
cards.자기성찰.color,#388e3c
cards.자기성찰.short,회기 끝마다 학습을 돌아보는 메타 시선
cards.자기성찰.full_definition,자기성찰 — 한 회기 끝에서 학습을 돌아보는 메타 시선
cards.자기성찰.description,"한 회기 끝에서 무엇을 배웠는지, 어떤 선택이 어떻게 자랐는지 돌아본다.
학습이 단편이 아니라 누적이 되는 자리.
AI 활용의 결과를 자기 학습으로 흡수하는 다리."
cards.비판적 사고.color,#7b1fa2
cards.비판적 사고.short,주어진 정보를 의심하고 판단하는 시선
cards.비판적 사고.full_definition,비판적 사고 — 정보·선택지를 의심하고 검토하는 시선
cards.비판적 사고.description,"""당연히 그렇다""를 ""정말 그런가""로 다시 묻는다.
주어진 정보·선택지의 전제·편향·맥락을 검토한다.
AI 결과·인터넷 자료·타인 의견 모두에 적용되는 기본 시선."
cards.자기지식.color,#e64a19
cards.자기지식.short,자기 경험·관심을 자기 말로 정리하는 능력
cards.자기지식.full_definition,자기지식 — 자기 경험·관심·강점을 알고 자기 말로 정리하는 능력
cards.자기지식.description,"남이 아니라 자기 자신을 안다.
자기 경험·관심·강점을 자기 언어로 풀어낼 수 있다.
AI에게 맡기기 전에 먼저 자기 안에서 길어 올리는 자리."
cards.표현력.color,#c2185b
cards.표현력.short,자기 생각을 자기 언어로 풀어내는 힘
cards.표현력.full_definition,표현력 — 자기 생각을 자기 언어로 풀어내는 힘
cards.표현력.description,"머릿속에 있는 것을 글·말로 옮긴다.
어휘·문장 구조·맥락을 자기 결로 쥔다.
AI가 다듬을 수는 있어도 처음에 무엇을 표현할지는 자기 자리."
cards.정리력.color,#f57c00
cards.정리력.short,정보를 구조화하고 가지런히 만드는 능력
cards.정리력.full_definition,정리력 — 흩어진 정보를 구조화하고 가지런히 만드는 능력
cards.정리력.description,"흩어진 자료·생각·정보를 분류하고 우선순위를 매긴다.
읽는 사람이 한 호흡에 파악할 수 있게 가지런히 둔다.
AI 출력을 그대로 두지 않고 자기 구조로 다시 짜는 능력."
cards.협업능력.color,#0288d1
cards.협업능력.short,다른 사람과 함께 일하고 말하는 기능
cards.협업능력.full_definition,협업능력 — 다른 사람과 함께 일을 짜고 굴리는 능력
cards.협업능력.description,"혼자가 아니라 팀으로 결과를 낸다.
역할을 나누고 일정을 맞추고 충돌을 풀어낸다.
AI도 팀원의 한 명으로 다룰 수 있는 시선."
cards.소통능력.color,#00897b
cards.소통능력.short,다른 사람과 말로 만나고 의견을 나누는 기능
cards.소통능력.full_definition,소통능력 — 다른 사람과 말로 만나고 의견을 나누는 능력
cards.소통능력.description,"자기 의견을 전달하고 상대 의견을 듣는다.
말의 결을 상대 맥락에 맞춘다.
AI와의 대화에도 같은 결이 작동한다 — 어떻게 묻고 어떻게 듣는가."
cards.발표력.color,#5d4037
cards.발표력.short,여러 사람 앞에서 자기 결로 말하는 기능
cards.발표력.full_definition,발표력 — 여러 사람 앞에서 자기 결로 말하는 능력
cards.발표력.description,"목소리·시선·구성으로 메시지를 전달한다.
청중의 호흡을 읽고 페이스를 조절한다.
AI가 슬라이드를 만들어줘도 무대 위 자기 자리는 자기 몫."
cards.문해력.color,#512da8
cards.문해력.short,텍스트를 읽고 의미를 길어 올리는 능력
cards.문해력.full_definition,문해력 — 텍스트를 읽고 의미를 길어 올리는 능력
cards.문해력.description,"문장의 표면이 아니라 결을 읽는다.
행간·은유·생략된 맥락을 짚는다.
AI 요약에 머물지 않고 원문을 자기 시선으로 다시 만나는 자리."
cards.공감력.color,#d81b60
