scenario_id,leaf,tier1,tier2,review,scenario_title,scenario_learningMessage,situation_text,tier1_label,tier1_desc,tier1_lesson,tier2_label,tier2_lesson,t2_delegation_label,t2_delegation_delta,result_text,result_summary,result_lesson,result_basePoint,review_label,review_desc,review_lesson,reviewSupplement,final_score,final_grade,final_item,final_delegation,final_knowledge,final_awareness,raw_time,raw_energy,mult_time,mult_energy,discount_time_위+3,discount_energy_도+3,discount_time_위-3,discount_energy_도-3,t1_delta_위,t1_delta_도,t2_delta_위,t2_delta_도,review_delta_위,review_delta_도,total_delta_위,total_delta_도,peter_note
selfintro,A1R1,A,A1,R1,자기소개 글,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",직접 쓴다,내 추억과 관심사를 떠올려서 내 말로 쓴다.,내 손으로 직접 했다 — 자기 일은 자기가 한다.,추억과 관심사를 정리해 자기 말로 쓴다,내 경험을 들여다봤다 — 자기 안에서 글이 나온다.,++,2,초등학교 때 축구하다가 처음 골을 넣었던 일과 요즘 그림 그리는 걸 좋아한다는 말을 넣었다. 글은 조금 느리게 나왔지만 읽어 보니 내 얘기 같았다.,내 경험이 들어간 자기소개,자기소개는 자기가 가장 잘 안다 — 위임할 일이 아니었다.,92,그대로 제출,검토 없이 그대로 낸다.,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,92,S,처음의 나 카드,++,++,내가 고른 기억이 글 안에 남았다.,90,80,54,48,48,42,60,54,,,,,,,,,
selfintro,A1R2,A,A1,R2,자기소개 글,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",직접 쓴다,내 추억과 관심사를 떠올려서 내 말로 쓴다.,내 손으로 직접 했다 — 자기 일은 자기가 한다.,추억과 관심사를 정리해 자기 말로 쓴다,내 경험을 들여다봤다 — 자기 안에서 글이 나온다.,++,2,초등학교 때 축구하다가 처음 골을 넣었던 일과 요즘 그림 그리는 걸 좋아한다는 말을 넣었다. 글은 조금 느리게 나왔지만 읽어 보니 내 얘기 같았다.,내 경험이 들어간 자기소개,자기소개는 자기가 가장 잘 안다 — 위임할 일이 아니었다.,92,한 번 읽고 이상한 곳만 표시,명시적인 환각·오류만 발견.,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 문장 하나가 길어서 둘로 나눴다. 점수 +3.,95,S,처음의 나 카드,++,++,조금 고치니 내 말이 더 또렷해졌다.,98,86,59,52,53,46,65,58,,,,,,,,,
selfintro,A1R3,A,A1,R3,자기소개 글,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",직접 쓴다,내 추억과 관심사를 떠올려서 내 말로 쓴다.,내 손으로 직접 했다 — 자기 일은 자기가 한다.,추억과 관심사를 정리해 자기 말로 쓴다,내 경험을 들여다봤다 — 자기 안에서 글이 나온다.,++,2,초등학교 때 축구하다가 처음 골을 넣었던 일과 요즘 그림 그리는 걸 좋아한다는 말을 넣었다. 글은 조금 느리게 나왔지만 읽어 보니 내 얘기 같았다.,내 경험이 들어간 자기소개,자기소개는 자기가 가장 잘 안다 — 위임할 일이 아니었다.,92,처음부터 다시 읽고 내 얘기인지 확인,"내용, 말투, 빠진 경험까지 확인.",처음부터 다시 읽으니 빠진 것이 보였다. 도메인지식 +3,처음부터 다시 읽고 올해 해 보고 싶은 일을 한 문장 더 넣었다. 점수 +6.,98,S,내 말 카드,++,++,내가 직접 고른 말이라 게시판에 붙어도 괜찮았다.,112,95,67,57,61,51,73,63,,,,,,,,,
selfintro,A2R1,A,A2,R1,자기소개 글,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",직접 쓴다,내 추억과 관심사를 떠올려서 내 말로 쓴다.,내 손으로 직접 했다 — 자기 일은 자기가 한다.,키워드만 빠르게 적어 짧게 쓴다,키워드만 챙겼다 — 빨리 끝냈지만 내 깊이가 얕다.,+,1,"좋아하는 과목, 요즘 듣는 노래, 새 학기에 친해지고 싶은 마음을 짧게 적었다. 내용은 맞지만 조금 메모처럼 보였다.",빠르지만 조금 얇은 자기소개,자기를 보여주는 일에 시간을 줄이면 깊이가 줄어든다.,66,그대로 제출,검토 없이 그대로 낸다.,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,66,B,짧은 나 카드,+,+,내 얘기는 있었지만 조금 빨리 지나갔다.,65,55,39,33,33,27,45,39,,,,,,,,,
selfintro,A2R2,A,A2,R2,자기소개 글,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",직접 쓴다,내 추억과 관심사를 떠올려서 내 말로 쓴다.,내 손으로 직접 했다 — 자기 일은 자기가 한다.,키워드만 빠르게 적어 짧게 쓴다,키워드만 챙겼다 — 빨리 끝냈지만 내 깊이가 얕다.,+,1,"좋아하는 과목, 요즘 듣는 노래, 새 학기에 친해지고 싶은 마음을 짧게 적었다. 내용은 맞지만 조금 메모처럼 보였다.",빠르지만 조금 얇은 자기소개,자기를 보여주는 일에 시간을 줄이면 깊이가 줄어든다.,66,한 번 읽고 이상한 곳만 표시,명시적인 환각·오류만 발견.,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 키워드만 붙어 있는 문장을 조금 고쳤다. 점수 +6.,72,A,정리한 나 카드,+,+,키워드만 있던 글에 내 목소리가 조금 생겼다.,72,60,43,36,37,30,49,42,,,,,,,,,
selfintro,A2R3,A,A2,R3,자기소개 글,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",직접 쓴다,내 추억과 관심사를 떠올려서 내 말로 쓴다.,내 손으로 직접 했다 — 자기 일은 자기가 한다.,키워드만 빠르게 적어 짧게 쓴다,키워드만 챙겼다 — 빨리 끝냈지만 내 깊이가 얕다.,+,1,"좋아하는 과목, 요즘 듣는 노래, 새 학기에 친해지고 싶은 마음을 짧게 적었다. 내용은 맞지만 조금 메모처럼 보였다.",빠르지만 조금 얇은 자기소개,자기를 보여주는 일에 시간을 줄이면 깊이가 줄어든다.,66,처음부터 다시 읽고 내 얘기인지 확인,"내용, 말투, 빠진 경험까지 확인.",처음부터 다시 읽으니 빠진 것이 보였다. 도메인지식 +3,내가 왜 그걸 좋아하는지 한 가지 이유를 더 넣었다. 점수 +11.,77,A,작은 이유 카드,+,+,좋아하는 이유를 쓰니 짧은 글도 내 얘기가 됐다.,88,70,53,42,47,36,59,48,,,,,,,,,
selfintro,A3R1,A,A3,R1,자기소개 글,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",직접 쓴다,내 추억과 관심사를 떠올려서 내 말로 쓴다.,내 손으로 직접 했다 — 자기 일은 자기가 한다.,떠오르는 대로 쓰고 바로 끝낸다,떠오르는 대로 내보냈다 — 자기 글이지만 정리가 안 된다.,0,0,생각나는 대로 쓰다 보니 문장이 길어졌다가 갑자기 끝났다. 농구 얘기도 있고 게임 얘기도 있는데 서로 잘 이어지지는 않았다.,흩어진 자기소개,자기 글이라도 정리하지 않으면 자기가 안 보인다.,48,그대로 제출,검토 없이 그대로 낸다.,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,48,C,흩어진 자기소개,0,0,내 생각은 있었지만 한곳에 모이지 않았다.,50,40,30,24,24,18,36,30,,,,,,,,,
selfintro,A3R2,A,A3,R2,자기소개 글,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",직접 쓴다,내 추억과 관심사를 떠올려서 내 말로 쓴다.,내 손으로 직접 했다 — 자기 일은 자기가 한다.,떠오르는 대로 쓰고 바로 끝낸다,떠오르는 대로 내보냈다 — 자기 글이지만 정리가 안 된다.,0,0,생각나는 대로 쓰다 보니 문장이 길어졌다가 갑자기 끝났다. 농구 얘기도 있고 게임 얘기도 있는데 서로 잘 이어지지는 않았다.,흩어진 자기소개,자기 글이라도 정리하지 않으면 자기가 안 보인다.,48,한 번 읽고 이상한 곳만 표시,명시적인 환각·오류만 발견.,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 갑자기 끝나는 문장을 발견했다. 점수 +9.,57,B,다시 묶은 카드,0,0,읽어 보니 어디가 이상한지 조금 보였다.,58,46,35,28,29,22,41,34,,,,,,,,,
selfintro,A3R3,A,A3,R3,자기소개 글,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",직접 쓴다,내 추억과 관심사를 떠올려서 내 말로 쓴다.,내 손으로 직접 했다 — 자기 일은 자기가 한다.,떠오르는 대로 쓰고 바로 끝낸다,떠오르는 대로 내보냈다 — 자기 글이지만 정리가 안 된다.,0,0,생각나는 대로 쓰다 보니 문장이 길어졌다가 갑자기 끝났다. 농구 얘기도 있고 게임 얘기도 있는데 서로 잘 이어지지는 않았다.,흩어진 자기소개,자기 글이라도 정리하지 않으면 자기가 안 보인다.,48,처음부터 다시 읽고 내 얘기인지 확인,"내용, 말투, 빠진 경험까지 확인.",처음부터 다시 읽으니 빠진 것이 보였다. 도메인지식 +3,흩어진 얘기 중 하나를 골라 중심을 잡았다. 점수 +17.,65,B,고쳐 잡은 나 카드,0,+,흩어진 말 중에서 진짜 쓰고 싶은 말을 골랐다.,73,58,44,35,38,29,50,41,,,,,,,,,
selfintro,B1R1,B,B1,R1,자기소개 글,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",AI에게 부탁한다,AI에게 정보를 주고 자기소개 글을 받아 본다.,AI에 위임했다 — 자기소개를 AI에 시킬 일인지 따져봐야 한다.,AI에게 이름만 주고 만들어 달라고 한다,AI에 다 맡겼다 — 내 빈자리를 가짜로 메운다.,--,-2,AI가 내 이름을 넣어 반듯한 자기소개를 써 줬다. 그런데 글 안에는 내가 말한 적 없는 봉사활동과 독서 습관이 들어 있었다.,겉은 반듯하지만 내가 빠진 자기소개,AI에 자기소개를 시키면 내가 아닌 사람이 인사하게 된다.,15,그대로 제출,검토 없이 그대로 낸다.,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,15,D,,--,--,내가 안 적은 자기소개에는 내가 거의 없었다.,30,15,18,9,12,3,24,15,,,,,,,,,
