시나리오 타이틀,상황,시나리오 의도,시나리오 메시지,선택지,선택지 의도,선택지 메시지,선택지 시간비용,선택지 에너지비용,선택지 획득위임판단력,선택지 획득도메인지식,선택더자세히,더자세히 의도,더자세히 메시지,더자세히 시간 비용,더 자세히 에너지 비용,더자세히 획득위임판단력,더자세히 획득도메인지식,더 자세히 획득역량카드목록,더자세히 점수,R1 검토,R1 검토 의도,R1 검토 메시지,R1 시간비용,R1 에너지 비용,R1 획득위임판단력,R1 획득도메인지식,R1 획득 역량카드목록,R1 점수,R2 검토,R2 검토 의도,R2 검토 메시지,R2 시간비용,R2 에너지 비용,R2 획득위임판단력,R2 획득도메인지식,R2 획득 역량카드목록,R2 점수,R3 검토,R3 검토 의도,R3 검토 메시지,R3 시간비용,R3 에너지 비용,R3 획득위임판단력,R3 획득도메인지식,R3 획득 역량카드목록,R3 점수
자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A. 직접 쓴다,내 손으로 직접 했다 — 자기 일은 자기가 한다.,내 추억과 관심사를 떠올려서 내 말로 쓴다.,30,24,+,+,A1. 추억과 관심사를 정리해 자기 말로 쓴다,내 경험을 들여다봤다 — 자기 안에서 글이 나온다.,초등학교 때 축구하다가 처음 골을 넣었던 일과 요즘 그림 그리는 걸 좋아한다는 말을 넣었다. 글은 조금 느리게 나왔지만 읽어 보니 내 얘기 같았다.,24,24,++,++,R3=처음의 나 카드,92,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,++,++,처음의 나 카드,92,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 문장 하나가 길어서 둘로 나눴다. 점수 +3.,5,4,++,++,처음의 나 카드,95,R3. 처음부터 다시 읽고 내 얘기인지 확인,처음부터 다시 읽으니 빠진 것이 보였다. 도메인지식 +3,처음부터 다시 읽고 올해 해 보고 싶은 일을 한 문장 더 넣었다. 점수 +6.,13,9,++,++,내 말 카드,98
자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A. 직접 쓴다,내 손으로 직접 했다 — 자기 일은 자기가 한다.,내 추억과 관심사를 떠올려서 내 말로 쓴다.,30,24,+,+,A2. 자기 말로 쓰다가 한두 표현만 AI에 다듬어 달라 한다,자기 글에 AI 손이 점만 닿았다 — 내용은 내 것이고 표현이 매끄러워졌다.,직접 자기 말로 쓰다가 한두 표현이 어색해서 AI에게 다듬어 달라 했다. 내 말투는 그대로인데 한두 문장이 매끄러워졌다.,9,9,+,+,,70,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,+,+,다듬은 자기소개 카드,70,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 AI가 다듬은 한 표현이 내 말투와 달랐다. 점수 +5.,4,3,+,+,AI 표현 검수 카드,75,R3. 처음부터 다시 읽고 내 얘기인지 확인,처음부터 다시 읽으니 빠진 것이 보였다. 도메인지식 +3,AI가 다듬은 자리와 내가 처음 쓴 자리를 비교해서 더 자연스러운 쪽을 골랐다. 점수 +11.,14,9,+,++,함께 다듬은 카드,81
자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,A. 직접 쓴다,내 손으로 직접 했다 — 자기 일은 자기가 한다.,내 추억과 관심사를 떠올려서 내 말로 쓴다.,30,24,+,+,A3. 떠오르는 대로 쓰고 바로 끝낸다,떠오르는 대로 내보냈다 — 자기 안에서 끌어냈지만 정리 없이 나갔다.,생각나는 대로 쓰다 보니 문장이 길어졌다가 갑자기 끝났다. 농구 얘기도 있고 게임 얘기도 있는데 서로 잘 이어지지는 않았다.,0,0,0,+,R3=흩어진 자기소개,48,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,0,0,흩어진 자기소개,48,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 갑자기 끝나는 문장을 발견했다. 점수 +9.,5,4,0,0,다시 묶은 카드,57,R3. 처음부터 다시 읽고 내 얘기인지 확인,처음부터 다시 읽으니 빠진 것이 보였다. 도메인지식 +3,흩어진 얘기 중 하나를 골라 중심을 잡았다. 점수 +17.,14,11,0,+,고쳐 잡은 나 카드,65
자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,B. AI에게 부탁한다,AI에 위임했다 — 자기소개를 AI에 시킬 일인지 따져봐야 한다.,AI에게 정보를 주고 자기소개 글을 받아 본다.,18,9,-,-,B1. AI에게 이름만 주고 만들어 달라고 한다,AI에 다 맡겼다 — 내 빈자리를 가짜로 메운다.,AI가 내 이름을 넣어 반듯한 자기소개를 써 줬다. 그런데 글 안에는 내가 말한 적 없는 봉사활동과 독서 습관이 들어 있었다.,0,0,--,-,R2=타인의 말 경고 카드,15,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,--,--,,15,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 내가 한 적 없는 봉사활동 얘기가 있었다. 점수 +13.,5,4,--,-,타인의 말 경고 카드,28,R3. 처음부터 다시 읽고 내 얘기인지 확인,처음부터 다시 읽으니 빠진 것이 보였다. 도메인지식 +3,내가 말하지 않은 내용들을 지우고 실제로 한 일만 남겼다. 점수 +23.,14,10,--,0,빈자리 발견 카드,38
자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,B. AI에게 부탁한다,AI에 위임했다 — 자기소개를 AI에 시킬 일인지 따져봐야 한다.,AI에게 정보를 주고 자기소개 글을 받아 본다.,18,9,-,-,B2. 내 정보를 자세히 주고 AI 글을 받아 다듬는다,재료는 줬지만 글까지 맡겼다 — 말투가 내 것이 아니다.,"내가 좋아하는 것, 방학 때 있었던 일, 올해 해 보고 싶은 일을 AI에게 자세히 적어 줬다. 글은 깔끔했지만 몇 문장은 내 말투보다 너무 얌전했다.",9,8,0,0,R3=내 말로 표현,57,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,0,0,빌린 문장 카드,57,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 너무 어른스럽게 들리는 문장을 바꿨다. 점수 +8.,5,3,0,+,말투 점검 카드,65,R3. 처음부터 다시 읽고 내 얘기인지 확인,처음부터 다시 읽으니 빠진 것이 보였다. 도메인지식 +3,AI가 정리한 글에 내 말투와 실제 기억을 다시 넣었다. 점수 +15.,14,10,0,+,다시 내 말 카드,72
자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,B. AI에게 부탁한다,AI에 위임했다 — 자기소개를 AI에 시킬 일인지 따져봐야 한다.,AI에게 정보를 주고 자기소개 글을 받아 본다.,18,9,-,-,B3. 내가 먼저 자기소개를 쓰고 AI에게 표현 두세 개만 보여 달라 한다 — 내 말투에 맞는 것만 골라 쓴다,내 글이 중심이고 AI는 거들었다 — 표현만 받고 내 말투로 검수하면 글이 단단해진다.,"내가 먼저 자기소개를 쓰고 AI에게 어색한 표현 두세 개만 보여 달라 했다. 그중 내 말투에 맞는 것만 골라 썼더니, 내 얘기인데 더 매끄럽게 읽혔다.",6,12,++,++,R2=AI 다듬기 검수,88,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,++,++,내가 잡은 자기소개 카드,88,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 AI가 바꾼 표현 하나가 내 말 같지 않았다. 점수 +5.,4,4,++,++,검수 자기소개 카드,93,R3. 처음부터 다시 읽고 내 얘기인지 확인,처음부터 다시 읽으니 빠진 것이 보였다. 도메인지식 +3,내가 처음 쓴 문장과 AI가 다듬은 문장을 비교해서 내 말투에 맞는 것만 남겼다. 점수 +12.,13,10,++,++,함께 다듬은 카드,100
자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,C. 다른 사람·기성 자료에 기댄다,"다른 데서 가져왔다 — 적절히 골라 쓸 수도, 자기 자리를 비울 수도 있다.",친구 글이나 작년 내가 쓴 글에 기대서 풀어간다.,7,5,0,0,C1. 작년 자기소개를 다시 읽고 올해의 나를 처음부터 새로 쓴다,작년의 글이 거름이 되어 올해의 나를 자기 말로 자라게 했다 — 자기 자료를 적극 활용했다.,작년에 썼던 자기소개를 다시 읽으니 지금은 안 하는 취미와 새로 좋아하게 된 것이 또렷이 보였다. 작년 글을 거름 삼아 올해의 나로 처음부터 다시 썼다.,8,6,++,++,R3=표절 자가 점검,88,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,++,++,자기 자료 카드,88,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 작년 글에서 가져온 한 문장이 지금 나와 어울리지 않았다. 점수 +5.,5,3,++,++,자기 비교 카드,93,R3. 처음부터 다시 읽고 내 얘기인지 확인,처음부터 다시 읽으니 빠진 것이 보였다. 도메인지식 +3,"작년 글을 다시 비추며, 지금의 내가 새로 추가하고 싶은 한 문장을 더 넣었다. 점수 +12.",15,11,++,++,지금의 나 카드,100
자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,C. 다른 사람·기성 자료에 기댄다,"다른 데서 가져왔다 — 적절히 골라 쓸 수도, 자기 자리를 비울 수도 있다.",친구 글이나 작년 내가 쓴 글에 기대서 풀어간다.,7,5,0,0,C2. 친구 작년 자기소개를 가져와 이름만 바꿔 낸다,친구의 글이 내 자리에 들어왔다 — 친구의 자기소개는 내 것이 아니다.,친구가 작년에 쓴 자기소개를 그대로 가져와 이름만 바꿔 냈다. 친구가 좋아한다던 음악과 친구가 가고 싶다던 곳이 내 자리에 들어 있었다.,14,10,--,-,,22,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,--,-,친구 자기소개 카드,22,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 친구가 좋아한다던 음악이 내 글에 그대로 있었다. 점수 +10.,5,4,--,0,친구 그림자 경고 카드,32,R3. 처음부터 다시 읽고 내 얘기인지 확인,처음부터 다시 읽으니 빠진 것이 보였다. 도메인지식 +3,친구의 자기소개를 거의 다 지우고 내 얘기로 다시 채웠다. 점수 +20.,14,11,--,+,내 자리 회수 카드,42
자기소개 글,"새 학기 첫날, 선생님이 반 게시판에 붙일 자기소개 글을 내일 아침까지 써 오라고 하셨다. 100자에서 200자 정도면 되고, 좋아하는 것, 기억나는 일, 올해 해 보고 싶은 일을 넣으면 된다고 했다. 집에 와서 빈 종이를 보니 뭘 써야 할지 바로 떠오르지는 않았다.",자기 자리에서 시작해야 할 글에 AI를 어떻게 쓸지 가르는 첫 회기. 자기지식·자기검증 자리.,AI가 쓴 자기소개에는 내가 말하지 않은 내가 섞일 수 있다.,C. 다른 사람·기성 자료에 기댄다,"다른 데서 가져왔다 — 적절히 골라 쓸 수도, 자기 자리를 비울 수도 있다.",친구 글이나 작년 내가 쓴 글에 기대서 풀어간다.,7,5,0,0,C3. 잘 부탁드립니다 한 줄만 적는다,한 줄만 적었다 — 자기소개를 건너뛰었다.,종이에 '안녕하세요. 잘 부탁드립니다.'라고만 적었다. 칸은 채웠지만 게시판에 붙으면 아무도 나를 알 수 없을 것 같았다.,0,0,--,-,,10,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,--,--,,10,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 나를 알려 주는 말이 거의 없었다. 점수 +11.,5,3,--,-,,21,R3. 처음부터 다시 읽고 내 얘기인지 확인,처음부터 다시 읽으니 빠진 것이 보였다. 도메인지식 +3,짧게라도 좋아하는 것과 올해 해 보고 싶은 일을 추가했다. 점수 +20.,14,10,--,0,빈칸 경고 카드,30
모둠 발표 자료,"학기 초 모둠 발표가 다음 주로 잡혔다. 우리 모둠은 4명이 각자 파트를 맡았고, 내가 맡은 일은 자료 조사와 슬라이드 3장 만들기였다. 다른 애들이 어떤 흐름으로 준비하는지 아직 잘 모르는데, 숙제도 있고 학원도 있어서 시간이 많지는 않았다.",팀 작업에서 역할 분담과 AI 활용을 함께 굴리는 회기. 협업·소통·발표 자리.,혼자 빨리 끝낸 발표 자료는 모둠 안에서 아직 맞춰진 자료가 아니다.,A. 직접 조사해서 만든다,내 손으로 직접 했다 — 모둠 발표는 내가 이해해야 내 파트가 된다.,내가 자료를 찾고 모둠 발표에 맞게 슬라이드를 만든다.,30,25,+,+,A1. 자료를 찾고 모둠원과 공유한 뒤 슬라이드를 만든다,조사하고 모둠과 맞췄다 — 내 파트가 모둠 흐름 안에 자리 잡는다.,"자료 출처를 적어 두고, 모둠 채팅방에 내가 찾은 흐름을 먼저 공유했다. 슬라이드 3장은 조금 늦게 완성됐지만 다른 친구 파트와 이어지는 말이 생겼다.",27,26,,,R3=모둠 공유,93,R1. 그대로 제출,검토를 건너뛰었다 — 검증할 기회를 놓쳤다.,,0,0,++,++,모둠 공유 카드,93,R2. 한 번 읽고 이상한 곳만 표시,한 번 훑어 명백한 오류를 잡았다. 도메인지식 +1,한 번 읽어 보니 슬라이드 한 장의 제목이 친구 파트와 겹쳤다. 점수 +3.,5,4,++,++,모둠 공유 카드,96,R3. 출처 확인 + 모둠 흐름 맞추기,출처와 모둠 흐름을 다시 보니 빠진 것이 보였다. 도메인지식 +3,출처와 발표 순서를 다시 확인하고 친구 파트로 넘어가는 말을 넣었다. 점수 +6.,15,9,++,++,같이 맞춘 발표 카드,99
