episode_id,choice_index,icon_type,title,meaning
s0101,1,✉️,군인의 편지,개인의 감정과 체험을 기록으로 남긴다
s0101,2,📰,신문 보도,공식적 사실 기록을 남긴다
s0101,3,📷,사진,시각적 증거를 남긴다
s0101,4,🎙️,구술 인터뷰,살아있는 목소리를 기록으로 남긴다
s0102,1,❓,지식인 Q&A,누구나 이해할 수 있는 쉬운 설명을 남긴다
s0102,2,📜,정전협정 원문,법적 근거를 정확히 기록한다
s0102,3,📷,사진,시각적 증거를 남긴다
s0102,4,💬,카카오톡 대화,일상 속 대화로 지식을 전달한다
s0103,1,📓,중학생 일기,또래의 시선으로 DMZ를 기록한다
s0103,2,📄,학술 논문,과학적 측정 결과를 기록한다
s0103,3,📷,위성 사진,우주에서 본 증거를 남긴다
s0103,4,📄,강의록,전문가의 쉬운 설명을 기록한다
s0104,1,✉️,NNSC 장교의 편지,중립국 감시자의 시선을 기록한다
s0104,2,📰,신문 기획보도,복잡한 관리 체계를 정리한다
s0104,3,📷,사진,현장의 증거를 남긴다
s0104,4,💬,카카오톡 대화,실무 경험자의 지식을 전달한다
s0105,1,✉️,군인의 편지,현장 군인의 생생한 체험을 기록한다
s0105,2,📋,보도자료 타임라인,역사적 변화를 시간순으로 정리한다
s0105,3,📷,사진,현장의 모습을 시각적으로 남긴다
s0105,4,💬,문자 메시지,일상 속 대화로 정보를 전달한다
s0106,1,📓,생태학자의 일기,개인의 감동과 희망을 기록한다
s0106,2,📰,신문 기획보도,세계적 비교를 통해 객관적 분석을 남긴다
s0106,3,📷,사진,변화의 증거를 시각적으로 남긴다
s0106,4,🎙️,구술 인터뷰,연구자의 현장 경험을 기록한다
s0201,1,📓,종군기자의 일기,전쟁 현장의 참상을 기록한다
s0201,2,📋,환경부 보도자료,공식 조사 결과를 기록한다
s0201,3,📷,사진 자료,과거와 현재의 변화를 보여준다
s0201,4,🎙️,구술 인터뷰,주민의 살아있는 경험을 기록한다
s0202,1,📓,두루미의 일기,자연의 시선으로 DMZ를 기록한다
s0202,2,📰,뉴스 보도,과학적 사실을 기록한다
s0202,3,📷,사진,시각적 증거를 남긴다
s0202,4,🎙️,구술 인터뷰,주민의 경험을 기록한다
s0203,1,🐦,트위터(X) 스레드,현장 연구자의 발견을 기록한다
s0203,2,📋,국립생태원 보고서,공식 보호종 현황을 기록한다
s0203,3,📷,사진,멸종위기종의 모습을 남긴다
s0203,4,💬,카카오톡 대화,촬영 현장의 생생한 대화를 기록한다
s0204,1,🐦,트위터 스레드,숫자로 사실을 전달한다
s0204,2,📄,환경부 보도자료,공식 데이터를 기록한다
s0204,3,📷,사진,야생동물의 모습을 남긴다
s0204,4,🎙️,구술 인터뷰,연구자의 현장 경험을 기록한다
s0205,1,📝,주민의 블로그,지역 주민의 시선을 기록한다
s0205,2,📄,백과사전,공식 정보를 체계적으로 정리한다
s0205,3,📷,사진,보전지역의 모습을 남긴다
s0205,4,🎙️,라디오 인터뷰,현장 활동가의 경험을 기록한다
s0206,1,📓,용늪의 독백,자연의 시선으로 자신을 소개한다
s0206,2,📄,용늪 이모저모,체계적 정보를 기록한다
s0206,3,📷,사진,자연의 모습을 남긴다
s0206,4,🎙️,현장 해설,해설사의 생생한 설명을 기록한다
s0301,1,📓,만월대의 일기,천 년의 기다림을 기록한다
s0301,2,📋,보도자료,발굴 성과를 공식 기록한다
s0301,3,📷,사진,현장의 모습을 남긴다
s0301,4,🎙️,구술 인터뷰,발굴자의 감동을 기록한다
s0302,1,✉️,경순왕의 편지,천 년 전 왕의 목소리를 기록한다
s0302,2,📰,신문 보도,현장 르포를 기록한다
s0302,3,📷,사진,왕릉의 모습을 남긴다
s0302,4,💬,카카오톡 대화,방문 경험을 기록한다
s0303,1,📓,후손의 일기,가족의 기억을 기록한다
s0303,2,📰,신문 보도,역사적 사실을 기록한다
s0303,3,📷,사진,문화유산의 모습을 남긴다
s0303,4,🎙️,구술 인터뷰,해설사의 지식을 기록한다
s0304,1,📓,군사의 딸 일기,전쟁 속 가족의 아픔을 기록한다
s0304,2,📰,신문 보도,역사적 전투를 기록한다
s0304,3,📷,사진,접경 문화유산의 모습을 남긴다
s0304,4,🎙️,구술 인터뷰,향토사학자의 지식을 기록한다
s0305,1,✉️,보웬의 편지,발견자의 떨림을 기록한다
s0305,2,📰,신문 보도,학술적 의미를 기록한다
s0305,3,📷,사진,30만 년 전 석기를 남긴다
s0305,4,🎙️,구술 인터뷰,박물관 전문가의 설명을 기록한다
s0306,1,📓,역사학자의 일기,평생의 소망을 기록한다
s0306,2,📰,신문 보도,학술적 가치를 기록한다
s0306,3,📷,사진,현장의 모습을 남긴다
s0306,4,🎙️,구술 인터뷰,향토사학자의 열정을 기록한다
